DisputeId,Transactions,OpenedAt,ResolvedAt,ReasonCode,State,Outcome,DisputedAmount
22,817981,2026-03-18T06:46:27Z,2026-03-25T06:46:27Z,CANCELLED,RESOLVED,CUSTOMER_WON,9.43
23,823717,2026-04-04T10:58:57Z,,FRAUD,UNDER_REVIEW,,23.58
24,997477,2026-04-27T10:51:27Z,2026-05-25T10:51:27Z,NOT_AS_DESCRIBED,RESOLVED,WITHDRAWN,10.84
25,860694,2026-04-29T06:02:22Z,,NOT_AS_DESCRIBED,OPEN,,6.91
26,794734,2026-03-29T15:35:06Z,,DUPLICATE,UNDER_REVIEW,,66.86
27,577694,2026-03-08T11:54:52Z,2026-04-13T11:54:52Z,FRAUD,RESOLVED,CHARGEBACK,28.79
28,25555,2026-02-03T17:25:36Z,2026-02-24T17:25:36Z,DUPLICATE,RESOLVED,CUSTOMER_WON,49.47
29,117811,2026-02-04T12:00:51Z,,DUPLICATE,OPEN,,14.89
30,277501,2026-02-06T04:59:30Z,,NOT_RECEIVED,UNDER_REVIEW,,17.1
31,488102,2026-03-18T11:57:56Z,2026-03-31T11:57:56Z,NOT_RECEIVED,RESOLVED,MERCHANT_WON,14.75
32,495609,2026-02-17T21:11:12Z,,CANCELLED,UNDER_REVIEW,,14.83
33,703102,2026-03-15T16:18:56Z,2026-04-14T16:18:56Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,8.89
34,725693,2026-03-10T01:24:25Z,,DUPLICATE,OPEN,,22.14
35,570568,2026-02-27T02:58:17Z,2026-03-25T02:58:17Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,4.63
36,201567,2026-02-21T17:55:25Z,,NOT_RECEIVED,OPEN,,38.5
37,523136,2026-03-07T09:22:20Z,2026-03-21T09:22:20Z,NOT_RECEIVED,RESOLVED,CHARGEBACK,10.73
38,696532,2026-04-16T01:00:21Z,2026-06-02T01:00:21Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,31.91
39,282173,2026-02-06T08:10:38Z,,FRAUD,OPEN,,19.39
40,593524,2026-03-15T14:04:10Z,2026-05-10T14:04:10Z,FRAUD,RESOLVED,MERCHANT_WON,18.75
41,32636,2026-02-18T00:07:13Z,2026-03-25T00:07:13Z,FRAUD,RESOLVED,CUSTOMER_WON,6.67
42,35034,2026-01-13T17:53:55Z,2026-03-14T17:53:55Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,40.27
43,643945,2026-04-04T09:34:20Z,,NOT_AS_DESCRIBED,OPEN,,32.32
44,550597,2026-04-01T03:21:52Z,,FRAUD,OPEN,,4.93
45,510822,2026-02-18T21:24:33Z,2026-03-14T21:24:33Z,FRAUD,RESOLVED,CUSTOMER_WON,2.34
46,656337,2026-03-17T23:29:41Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,70.44
47,127,2026-01-31T14:41:38Z,2026-03-27T14:41:38Z,DUPLICATE,RESOLVED,MERCHANT_WON,18.35
48,772320,2026-04-21T01:43:49Z,,FRAUD,OPEN,,31.89
49,32784,2026-02-12T23:02:55Z,,NOT_AS_DESCRIBED,OPEN,,8.3
50,791267,2026-03-14T23:17:46Z,2026-03-22T23:17:46Z,FRAUD,RESOLVED,CHARGEBACK,5.82
51,590472,2026-03-16T03:33:14Z,2026-05-10T03:33:14Z,NOT_AS_DESCRIBED,RESOLVED,MERCHANT_WON,18.96
52,648583,2026-03-25T21:46:30Z,2026-05-09T21:46:30Z,FRAUD,RESOLVED,WITHDRAWN,19.03
53,584518,2026-03-06T09:58:19Z,2026-05-04T09:58:19Z,NOT_RECEIVED,RESOLVED,CHARGEBACK,11.96
54,240435,2026-03-07T09:04:33Z,2026-04-09T09:04:33Z,FRAUD,RESOLVED,MERCHANT_WON,5.8
55,650595,2026-03-19T17:42:25Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,18.82
56,50516,2026-01-19T19:41:25Z,2026-03-10T19:41:25Z,CANCELLED,RESOLVED,CUSTOMER_WON,23.54
57,710598,2026-03-30T03:40:09Z,2026-04-17T03:40:09Z,FRAUD,RESOLVED,CUSTOMER_WON,51.4
58,452305,2026-03-15T11:58:20Z,2026-03-25T11:58:20Z,FRAUD,RESOLVED,MERCHANT_WON,20.55
59,603956,2026-02-25T02:58:09Z,2026-03-21T02:58:09Z,FRAUD,RESOLVED,MERCHANT_WON,13.25
60,494728,2026-03-03T22:55:34Z,2026-04-11T22:55:34Z,FRAUD,RESOLVED,CUSTOMER_WON,11.92
61,893482,2026-04-28T06:37:17Z,2026-05-13T06:37:17Z,FRAUD,RESOLVED,MERCHANT_WON,4.23
62,551128,2026-03-03T19:48:08Z,2026-03-17T19:48:08Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,12.64
63,690115,2026-03-13T14:44:07Z,,FRAUD,OPEN,,21.95
64,545862,2026-03-16T22:39:04Z,2026-04-12T22:39:04Z,DUPLICATE,RESOLVED,CUSTOMER_WON,10.3
65,493367,2026-03-07T02:15:19Z,,NOT_RECEIVED,UNDER_REVIEW,,53.46
66,389102,2026-03-09T21:18:45Z,2026-04-16T21:18:45Z,FRAUD,RESOLVED,MERCHANT_WON,42.06
67,879375,2026-03-29T14:46:21Z,2026-05-13T14:46:21Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,23.75
68,700569,2026-04-02T21:46:54Z,2026-05-11T21:46:54Z,DUPLICATE,RESOLVED,MERCHANT_WON,16.06
69,217172,2026-03-04T14:04:05Z,2026-03-21T14:04:05Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,13.56
70,404977,2026-02-17T05:58:57Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,30.38
71,983174,2026-05-04T19:21:39Z,,DUPLICATE,UNDER_REVIEW,,15.11
72,342275,2026-02-08T21:09:18Z,,FRAUD,UNDER_REVIEW,,13.65
73,592451,2026-04-06T06:21:31Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,6.87
74,395652,2026-03-10T10:30:52Z,2026-03-13T10:30:52Z,FRAUD,RESOLVED,CUSTOMER_WON,22.2
75,304632,2026-02-17T08:08:10Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,32.04
76,794455,2026-04-06T22:51:35Z,2026-04-26T22:51:35Z,DUPLICATE,RESOLVED,MERCHANT_WON,48.7
77,237488,2026-03-04T01:41:55Z,2026-04-19T01:41:55Z,DUPLICATE,RESOLVED,CUSTOMER_WON,24.32
78,347667,2026-03-10T11:39:10Z,2026-04-16T11:39:10Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,37.91
79,427104,2026-03-15T03:25:38Z,2026-04-24T03:25:38Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,14.68
80,475987,2026-02-25T08:15:48Z,,FRAUD,UNDER_REVIEW,,14.94
81,127364,2026-02-15T15:25:20Z,2026-03-23T15:25:20Z,NOT_AS_DESCRIBED,RESOLVED,MERCHANT_WON,32.07
82,302592,2026-02-19T17:46:57Z,2026-03-31T17:46:57Z,NOT_RECEIVED,RESOLVED,WITHDRAWN,42.28
83,273261,2026-02-05T19:30:48Z,,CANCELLED,UNDER_REVIEW,,49.28
84,918158,2026-03-25T04:21:43Z,2026-05-22T04:21:43Z,NOT_AS_DESCRIBED,RESOLVED,MERCHANT_WON,60.24
85,432149,2026-02-15T01:07:37Z,,NOT_AS_DESCRIBED,OPEN,,43.03
86,247946,2026-02-02T00:38:29Z,2026-03-31T00:38:29Z,FRAUD,RESOLVED,MERCHANT_WON,26.06
87,613085,2026-03-26T23:31:32Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,35.05
88,246436,2026-02-12T08:34:56Z,2026-02-28T08:34:56Z,FRAUD,RESOLVED,CUSTOMER_WON,34.04
89,730310,2026-03-15T11:17:31Z,2026-04-14T11:17:31Z,FRAUD,RESOLVED,CUSTOMER_WON,11.06
90,860367,2026-05-03T03:22:34Z,2026-06-22T03:22:34Z,FRAUD,RESOLVED,CUSTOMER_WON,43.8
91,659339,2026-04-02T06:47:53Z,,NOT_RECEIVED,UNDER_REVIEW,,17.95
92,269101,2026-03-04T20:59:31Z,,FRAUD,UNDER_REVIEW,,9.6
93,104103,2026-01-26T05:38:31Z,2026-02-05T05:38:31Z,FRAUD,RESOLVED,MERCHANT_WON,3.32
94,778946,2026-03-31T02:50:07Z,,FRAUD,UNDER_REVIEW,,8.34
95,909045,2026-04-03T00:50:45Z,,FRAUD,UNDER_REVIEW,,24.77
96,93984,2026-02-16T01:42:30Z,2026-02-25T01:42:30Z,NOT_RECEIVED,RESOLVED,MERCHANT_WON,7.6
97,202545,2026-02-17T18:27:22Z,,DUPLICATE,UNDER_REVIEW,,7.79
98,498817,2026-03-23T23:34:42Z,2026-04-14T23:34:42Z,DUPLICATE,RESOLVED,CHARGEBACK,37.23
99,293896,2026-02-24T05:01:51Z,2026-03-26T05:01:51Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,17.55
100,807925,2026-04-12T15:28:52Z,,FRAUD,OPEN,,19.6
101,553501,2026-03-29T11:40:22Z,2026-04-14T11:40:22Z,FRAUD,RESOLVED,MERCHANT_WON,12.88
102,182821,2026-03-01T15:09:15Z,,NOT_RECEIVED,UNDER_REVIEW,,34.67
103,841523,2026-04-24T21:13:49Z,2026-06-23T21:13:49Z,FRAUD,RESOLVED,CUSTOMER_WON,22.52
104,883353,2026-04-13T03:16:02Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,41.31
105,193140,2026-02-19T16:23:58Z,2026-03-26T16:23:58Z,FRAUD,RESOLVED,CUSTOMER_WON,112.85
106,161552,2026-02-23T21:13:08Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,8.51
107,337273,2026-02-17T23:01:27Z,2026-04-14T23:01:27Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,20.3
108,187741,2026-02-08T19:41:17Z,2026-03-09T19:41:17Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,30.62
109,280503,2026-03-02T05:34:10Z,2026-04-02T05:34:10Z,FRAUD,RESOLVED,MERCHANT_WON,19.13
110,950677,2026-04-05T05:15:18Z,2026-05-27T05:15:18Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,15.68
111,751495,2026-03-28T00:51:09Z,2026-04-15T00:51:09Z,FRAUD,RESOLVED,CUSTOMER_WON,45.15
112,632400,2026-04-04T19:36:32Z,2026-04-14T19:36:32Z,FRAUD,RESOLVED,CUSTOMER_WON,94.69
113,865965,2026-03-21T03:08:57Z,2026-05-02T03:08:57Z,FRAUD,RESOLVED,CUSTOMER_WON,27.83
114,972837,2026-04-27T06:44:22Z,2026-06-26T06:44:22Z,FRAUD,RESOLVED,CUSTOMER_WON,31.58
115,109582,2026-01-14T02:55:49Z,,FRAUD,OPEN,,8.41
116,684504,2026-03-31T00:49:20Z,,NOT_RECEIVED,OPEN,,15.63
117,875758,2026-04-08T17:13:22Z,2026-04-19T17:13:22Z,NOT_RECEIVED,RESOLVED,MERCHANT_WON,7.0
118,361470,2026-03-09T23:24:41Z,2026-04-14T23:24:41Z,NOT_AS_DESCRIBED,RESOLVED,MERCHANT_WON,13.81
119,932358,2026-05-06T20:33:14Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,15.17
120,175878,2026-02-28T18:41:16Z,2026-03-28T18:41:16Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,24.98
121,112162,2026-01-16T05:58:35Z,2026-03-14T05:58:35Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,8.87
122,251737,2026-03-09T16:51:18Z,2026-04-13T16:51:18Z,FRAUD,RESOLVED,MERCHANT_WON,12.79
123,256200,2026-02-27T21:45:28Z,2026-03-14T21:45:28Z,FRAUD,RESOLVED,CUSTOMER_WON,26.26
124,573636,2026-03-10T05:50:59Z,2026-05-04T05:50:59Z,NOT_AS_DESCRIBED,RESOLVED,MERCHANT_WON,20.24
125,161505,2026-02-13T12:45:22Z,2026-03-29T12:45:22Z,FRAUD,RESOLVED,CHARGEBACK,18.2
126,70451,2026-02-16T20:52:49Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,6.18
127,17233,2026-02-08T20:00:06Z,,NOT_AS_DESCRIBED,OPEN,,29.46
128,720692,2026-03-25T22:00:56Z,2026-05-03T22:00:56Z,FRAUD,RESOLVED,MERCHANT_WON,77.29
129,287810,2026-02-01T19:19:12Z,2026-02-04T19:19:12Z,FRAUD,RESOLVED,CUSTOMER_WON,72.45
130,450321,2026-03-11T14:05:41Z,,FRAUD,UNDER_REVIEW,,43.2
131,966342,2026-04-07T08:02:03Z,2026-04-11T08:02:03Z,DUPLICATE,RESOLVED,WITHDRAWN,42.89
132,880580,2026-04-25T14:54:33Z,,FRAUD,UNDER_REVIEW,,17.76
133,439150,2026-03-14T18:51:37Z,,NOT_RECEIVED,UNDER_REVIEW,,20.61
134,950692,2026-04-23T12:40:12Z,2026-04-29T12:40:12Z,FRAUD,RESOLVED,CHARGEBACK,23.42
135,860301,2026-05-03T15:56:07Z,,FRAUD,UNDER_REVIEW,,8.08
136,516957,2026-03-20T05:18:56Z,,CANCELLED,UNDER_REVIEW,,24.09
137,196071,2026-01-22T23:37:29Z,2026-01-28T23:37:29Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,48.89
138,33727,2026-01-10T08:24:20Z,2026-01-24T08:24:20Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,11.85
139,547914,2026-02-23T13:12:33Z,,FRAUD,UNDER_REVIEW,,21.29
140,17176,2026-02-10T04:01:18Z,2026-04-06T04:01:18Z,FRAUD,RESOLVED,MERCHANT_WON,15.37
141,203639,2026-02-12T22:42:17Z,,FRAUD,UNDER_REVIEW,,32.46
142,842540,2026-04-22T00:25:33Z,,NOT_AS_DESCRIBED,OPEN,,15.82
143,173866,2026-01-18T09:08:40Z,2026-02-26T09:08:40Z,FRAUD,RESOLVED,CUSTOMER_WON,2.41
144,999721,2026-04-02T23:02:11Z,,DUPLICATE,UNDER_REVIEW,,17.09
145,828402,2026-03-28T10:41:06Z,2026-03-31T10:41:06Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,11.1
146,55696,2026-02-06T20:33:02Z,2026-03-04T20:33:02Z,FRAUD,RESOLVED,MERCHANT_WON,10.45
147,997422,2026-04-04T13:36:21Z,2026-04-28T13:36:21Z,NOT_RECEIVED,RESOLVED,MERCHANT_WON,4.52
148,429091,2026-02-10T17:01:29Z,,FRAUD,UNDER_REVIEW,,4.54
149,511729,2026-03-14T18:01:36Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,4.28
150,835645,2026-03-21T21:13:05Z,,NOT_RECEIVED,UNDER_REVIEW,,19.99
151,180228,2026-01-26T14:53:26Z,,FRAUD,OPEN,,8.94
152,492786,2026-03-28T02:58:41Z,,FRAUD,UNDER_REVIEW,,16.64
153,888775,2026-05-01T09:33:45Z,,NOT_RECEIVED,OPEN,,114.55
154,996851,2026-04-23T01:45:46Z,2026-06-06T01:45:46Z,FRAUD,RESOLVED,CUSTOMER_WON,43.12
155,42429,2026-02-04T09:10:31Z,2026-02-16T09:10:31Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,52.13
156,989020,2026-05-12T00:27:59Z,2026-05-20T00:27:59Z,DUPLICATE,RESOLVED,MERCHANT_WON,40.09
157,308610,2026-02-02T01:27:00Z,2026-02-14T01:27:00Z,FRAUD,RESOLVED,CUSTOMER_WON,197.7
158,577506,2026-03-11T02:01:13Z,2026-04-03T02:01:13Z,FRAUD,RESOLVED,MERCHANT_WON,33.6
159,899567,2026-04-30T08:33:33Z,,NOT_RECEIVED,OPEN,,364.31
160,358418,2026-02-20T09:54:49Z,2026-04-07T09:54:49Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,17.78
161,378354,2026-03-05T00:35:12Z,2026-03-31T00:35:12Z,NOT_AS_DESCRIBED,RESOLVED,WITHDRAWN,19.75
162,951598,2026-04-29T03:08:38Z,,FRAUD,OPEN,,13.5
163,712450,2026-04-20T15:58:59Z,2026-04-25T15:58:59Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,6.55
164,404852,2026-02-26T15:03:44Z,2026-03-03T15:03:44Z,NOT_RECEIVED,RESOLVED,MERCHANT_WON,11.77
165,785823,2026-03-24T02:53:04Z,,FRAUD,UNDER_REVIEW,,78.55
166,946049,2026-04-17T00:33:44Z,2026-04-24T00:33:44Z,FRAUD,RESOLVED,CUSTOMER_WON,9.43
167,22548,2026-01-11T00:28:22Z,2026-02-20T00:28:22Z,NOT_RECEIVED,RESOLVED,CHARGEBACK,22.19
168,884649,2026-04-16T08:34:51Z,2026-04-29T08:34:51Z,FRAUD,RESOLVED,CUSTOMER_WON,10.05
169,721819,2026-03-30T16:38:46Z,2026-04-14T16:38:46Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,42.95
170,220886,2026-02-13T05:56:36Z,2026-03-01T05:56:36Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,123.01
171,791082,2026-04-22T04:05:33Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,25.11
172,851246,2026-05-01T02:43:19Z,,FRAUD,OPEN,,21.49
173,327348,2026-02-27T15:46:58Z,2026-03-26T15:46:58Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,32.9
174,209671,2026-01-21T20:22:28Z,,FRAUD,UNDER_REVIEW,,79.98
175,203156,2026-02-15T00:02:50Z,2026-03-07T00:02:50Z,DUPLICATE,RESOLVED,CUSTOMER_WON,63.84
176,863724,2026-04-05T16:45:52Z,,DUPLICATE,UNDER_REVIEW,,16.75
177,466167,2026-03-25T07:57:45Z,2026-05-16T07:57:45Z,NOT_RECEIVED,RESOLVED,MERCHANT_WON,29.7
178,7410,2026-01-05T16:10:48Z,2026-01-08T16:10:48Z,FRAUD,RESOLVED,CUSTOMER_WON,9.7
179,572137,2026-03-14T16:54:04Z,2026-04-20T16:54:04Z,NOT_AS_DESCRIBED,RESOLVED,MERCHANT_WON,9.37
180,46097,2026-02-05T09:38:35Z,,DUPLICATE,OPEN,,14.89
181,450802,2026-03-11T08:13:50Z,2026-04-21T08:13:50Z,FRAUD,RESOLVED,CUSTOMER_WON,14.84
182,822164,2026-04-17T16:11:29Z,2026-05-10T16:11:29Z,DUPLICATE,RESOLVED,WITHDRAWN,27.29
183,568355,2026-04-06T15:39:21Z,2026-05-05T15:39:21Z,FRAUD,RESOLVED,CUSTOMER_WON,14.17
184,499071,2026-03-26T01:47:12Z,,DUPLICATE,UNDER_REVIEW,,15.25
185,497619,2026-03-22T08:41:41Z,2026-04-13T08:41:41Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,44.36
186,145614,2026-02-25T13:21:01Z,2026-03-21T13:21:01Z,CANCELLED,RESOLVED,WITHDRAWN,15.68
187,293858,2026-02-14T07:24:03Z,2026-03-19T07:24:03Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,24.93
188,969430,2026-04-24T21:42:31Z,2026-06-02T21:42:31Z,CANCELLED,RESOLVED,MERCHANT_WON,18.46
189,693949,2026-03-17T00:52:36Z,2026-05-06T00:52:36Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,115.82
190,282984,2026-02-03T08:42:03Z,2026-02-24T08:42:03Z,FRAUD,RESOLVED,CUSTOMER_WON,163.78
191,183726,2026-01-27T14:51:15Z,2026-02-17T14:51:15Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,21.93
192,791845,2026-04-14T20:05:44Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,12.23
193,76600,2026-02-04T05:33:15Z,2026-03-03T05:33:15Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,51.67
194,672850,2026-03-09T21:47:04Z,,NOT_RECEIVED,OPEN,,71.04
195,307901,2026-02-03T18:33:05Z,2026-03-16T18:33:05Z,DUPLICATE,RESOLVED,WITHDRAWN,48.9
196,29184,2026-02-02T14:17:52Z,2026-02-07T14:17:52Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,85.6
197,581932,2026-03-05T06:05:09Z,,NOT_RECEIVED,UNDER_REVIEW,,77.97
198,830613,2026-03-22T14:17:13Z,2026-04-19T14:17:13Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,25.63
199,825989,2026-03-27T04:44:28Z,2026-05-25T04:44:28Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,34.0
200,347227,2026-02-25T10:36:28Z,2026-04-08T10:36:28Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,69.86
201,804666,2026-03-23T20:44:03Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,25.25
202,227966,2026-01-22T16:59:44Z,,FRAUD,UNDER_REVIEW,,41.86
203,305882,2026-02-15T19:11:18Z,,FRAUD,UNDER_REVIEW,,12.49
204,90598,2026-02-04T07:07:08Z,,NOT_RECEIVED,UNDER_REVIEW,,14.86
205,921820,2026-04-25T16:01:53Z,2026-05-08T16:01:53Z,FRAUD,RESOLVED,CUSTOMER_WON,5.01
206,767511,2026-04-14T11:44:26Z,2026-04-26T11:44:26Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,23.34
207,54746,2026-01-10T00:44:21Z,,FRAUD,OPEN,,49.23
208,665860,2026-03-14T02:02:00Z,,NOT_AS_DESCRIBED,OPEN,,54.02
209,616600,2026-02-28T12:48:22Z,,FRAUD,OPEN,,21.9
210,449206,2026-03-14T19:24:47Z,2026-03-22T19:24:47Z,FRAUD,RESOLVED,MERCHANT_WON,26.26
211,38186,2026-01-07T19:43:35Z,2026-02-24T19:43:35Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,3.96
212,128173,2026-01-21T22:52:18Z,2026-02-15T22:52:18Z,FRAUD,RESOLVED,WITHDRAWN,8.05
213,729804,2026-03-14T19:39:45Z,2026-05-02T19:39:45Z,NOT_RECEIVED,RESOLVED,MERCHANT_WON,4.31
214,114257,2026-02-09T04:02:28Z,,CANCELLED,UNDER_REVIEW,,56.12
215,743317,2026-04-12T01:53:44Z,,NOT_AS_DESCRIBED,UNDER_REVIEW,,48.49
216,236294,2026-02-04T11:17:40Z,,NOT_RECEIVED,UNDER_REVIEW,,17.19
217,698768,2026-03-07T00:31:03Z,2026-04-08T00:31:03Z,FRAUD,RESOLVED,CUSTOMER_WON,6.61
218,231542,2026-02-25T01:10:55Z,2026-03-09T01:10:55Z,FRAUD,RESOLVED,CUSTOMER_WON,46.29
219,257838,2026-02-19T01:54:37Z,2026-03-03T01:54:37Z,FRAUD,RESOLVED,MERCHANT_WON,40.05
220,817853,2026-04-20T00:16:28Z,2026-06-14T00:16:28Z,DUPLICATE,RESOLVED,CUSTOMER_WON,3.51
221,226660,2026-02-03T19:16:41Z,,FRAUD,UNDER_REVIEW,,25.39
222,811183,2026-04-20T08:02:23Z,,FRAUD,OPEN,,12.34
223,17890,2026-01-05T06:58:55Z,,DUPLICATE,UNDER_REVIEW,,29.43
224,838152,2026-04-14T20:52:09Z,,NOT_RECEIVED,UNDER_REVIEW,,38.29
225,639615,2026-04-13T11:45:25Z,,FRAUD,OPEN,,10.54
226,995418,2026-05-15T21:36:49Z,2026-05-20T21:36:49Z,NOT_RECEIVED,RESOLVED,WITHDRAWN,30.59
227,599894,2026-03-30T13:51:23Z,2026-05-15T13:51:23Z,FRAUD,RESOLVED,CUSTOMER_WON,43.5
228,271767,2026-02-28T17:21:18Z,2026-03-22T17:21:18Z,NOT_AS_DESCRIBED,RESOLVED,WITHDRAWN,38.83
229,270682,2026-02-02T16:31:33Z,2026-03-15T16:31:33Z,FRAUD,RESOLVED,WITHDRAWN,23.33
230,219795,2026-02-27T22:36:26Z,2026-04-12T22:36:26Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,52.91
231,335130,2026-03-04T07:30:22Z,,NOT_AS_DESCRIBED,OPEN,,51.4
232,845072,2026-03-22T05:23:50Z,2026-03-27T05:23:50Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,12.71
233,168577,2026-01-29T09:05:43Z,2026-03-27T09:05:43Z,FRAUD,RESOLVED,MERCHANT_WON,7.11
234,541264,2026-03-27T15:19:40Z,2026-04-15T15:19:40Z,NOT_AS_DESCRIBED,RESOLVED,CUSTOMER_WON,9.79
235,507568,2026-04-01T09:00:23Z,2026-04-13T09:00:23Z,NOT_RECEIVED,RESOLVED,MERCHANT_WON,39.24
236,853757,2026-04-15T22:21:36Z,,NOT_RECEIVED,OPEN,,52.01
237,223357,2026-02-13T04:11:53Z,2026-03-11T04:11:53Z,NOT_RECEIVED,RESOLVED,CHARGEBACK,17.27
238,284363,2026-02-15T20:37:03Z,,FRAUD,UNDER_REVIEW,,9.94
239,810823,2026-04-28T07:30:04Z,2026-05-21T07:30:04Z,NOT_RECEIVED,RESOLVED,CHARGEBACK,28.04
240,610981,2026-04-04T19:26:03Z,2026-05-15T19:26:03Z,DUPLICATE,RESOLVED,CUSTOMER_WON,18.29
241,645176,2026-03-28T23:24:19Z,2026-04-04T23:24:19Z,FRAUD,RESOLVED,MERCHANT_WON,58.52
242,667573,2026-03-13T01:47:12Z,2026-05-03T01:47:12Z,DUPLICATE,RESOLVED,MERCHANT_WON,16.06
243,641701,2026-03-09T18:36:12Z,,FRAUD,UNDER_REVIEW,,12.04
244,927727,2026-05-06T11:12:03Z,,DUPLICATE,OPEN,,10.39
