GuestId,GuestNumber,HomeCountry,Segment,AgeBand,PartySize,AccessibilityNeeds,LoyaltyTier,VisitIntent
92,GST0000092,US,VIP_TRAVELER,ADULT,1,DIETARY,VIP_CLUB,FAMILY_DAY
93,GST0000093,US,VIP_TRAVELER,ADULT,4,MOBILITY,NONE,RIDE_DAY
94,GST0000094,US,LOCAL_MEMBER,ADULT,3,HEARING,HOTEL_GUEST,VACATION
95,GST0000095,US,SCHOOL_TRIP,SENIOR,11,MOBILITY,VIP_CLUB,FAMILY_DAY
96,GST0000096,US,LOCAL_MEMBER,ADULT,2,NONE,ANNUAL_PASS,FAMILY_DAY
97,GST0000097,US,FAMILY,ADULT,2,NONE,NONE,EVENT_NIGHT
98,GST0000098,US,THRILL_SEEKER,ADULT,3,MOBILITY,HOTEL_GUEST,VACATION
99,GST0000099,GB,FAMILY,ADULT,3,NONE,NONE,EVENT_NIGHT
100,GST0000100,US,THRILL_SEEKER,CHILD,1,SENSORY,VIP_CLUB,RIDE_DAY
101,GST0000101,BR,FAMILY,CHILD,5,NONE,NONE,VACATION
102,GST0000102,US,FAMILY,CHILD,6,MOBILITY,HOTEL_GUEST,FAMILY_DAY
103,GST0000103,JP,LOCAL_MEMBER,SENIOR,2,NONE,NONE,FAMILY_DAY
104,GST0000104,US,THRILL_SEEKER,ADULT,2,NONE,NONE,FAMILY_DAY
105,GST0000105,US,SCHOOL_TRIP,TEEN,24,NONE,NONE,FAMILY_DAY
106,GST0000106,US,FAMILY,TEEN,5,NONE,HOTEL_GUEST,EVENT_NIGHT
107,GST0000107,US,FAMILY,TEEN,4,NONE,NONE,VACATION
108,GST0000108,US,TOUR_GROUP,ADULT,5,NONE,ANNUAL_PASS,FAMILY_DAY
109,GST0000109,US,SCHOOL_TRIP,TEEN,16,NONE,HOTEL_GUEST,RIDE_DAY
110,GST0000110,FR,SCHOOL_TRIP,ADULT,17,DIETARY,NONE,RIDE_DAY
111,GST0000111,US,SCHOOL_TRIP,ADULT,22,NONE,HOTEL_GUEST,RIDE_DAY
112,GST0000112,FR,LOCAL_MEMBER,ADULT,2,NONE,NONE,FAMILY_DAY
113,GST0000113,GB,FAMILY,ADULT,1,NONE,NONE,RIDE_DAY
114,GST0000114,MX,THRILL_SEEKER,ADULT,3,NONE,NONE,RIDE_DAY
115,GST0000115,DE,SCHOOL_TRIP,TEEN,18,NONE,HOTEL_GUEST,VACATION
116,GST0000116,US,SCHOOL_TRIP,TEEN,18,MOBILITY,NONE,VACATION
117,GST0000117,US,SCHOOL_TRIP,TEEN,17,DIETARY,NONE,RIDE_DAY
118,GST0000118,BR,FAMILY,CHILD,2,NONE,NONE,VACATION
119,GST0000119,CA,FAMILY,CHILD,4,MOBILITY,NONE,RIDE_DAY
120,GST0000120,CA,LOCAL_MEMBER,CHILD,2,NONE,ANNUAL_PASS,VACATION
121,GST0000121,US,TOUR_GROUP,ADULT,11,DIETARY,NONE,VACATION
122,GST0000122,US,FAMILY,ADULT,2,NONE,HOTEL_GUEST,WATER_PARK
123,GST0000123,US,SCHOOL_TRIP,SENIOR,12,NONE,NONE,VACATION
124,GST0000124,DE,THRILL_SEEKER,ADULT,3,MOBILITY,HOTEL_GUEST,WATER_PARK
125,GST0000125,GB,SCHOOL_TRIP,CHILD,13,NONE,NONE,FAMILY_DAY
126,GST0000126,BR,TOUR_GROUP,ADULT,12,NONE,NONE,RIDE_DAY
127,GST0000127,US,FAMILY,ADULT,2,MOBILITY,ANNUAL_PASS,RIDE_DAY
128,GST0000128,US,FAMILY,TEEN,5,HEARING,ANNUAL_PASS,VACATION
129,GST0000129,DE,TOUR_GROUP,ADULT,11,NONE,NONE,VACATION
130,GST0000130,US,SCHOOL_TRIP,ADULT,14,NONE,ANNUAL_PASS,FAMILY_DAY
131,GST0000131,CA,LOCAL_MEMBER,ADULT,4,NONE,NONE,WATER_PARK
132,GST0000132,US,LOCAL_MEMBER,ADULT,4,NONE,ANNUAL_PASS,RIDE_DAY
133,GST0000133,US,SCHOOL_TRIP,ADULT,17,NONE,HOTEL_GUEST,FAMILY_DAY
134,GST0000134,BR,FAMILY,ADULT,6,NONE,ANNUAL_PASS,WATER_PARK
135,GST0000135,US,FAMILY,ADULT,2,NONE,NONE,FAMILY_DAY
136,GST0000136,US,FAMILY,ADULT,1,MOBILITY,ANNUAL_PASS,EVENT_NIGHT
137,GST0000137,CA,THRILL_SEEKER,CHILD,2,MOBILITY,HOTEL_GUEST,RIDE_DAY
138,GST0000138,DE,THRILL_SEEKER,TEEN,1,NONE,NONE,RIDE_DAY
139,GST0000139,BR,LOCAL_MEMBER,TEEN,3,NONE,HOTEL_GUEST,VACATION
140,GST0000140,BR,THRILL_SEEKER,CHILD,2,SENSORY,NONE,VACATION
141,GST0000141,CA,FAMILY,ADULT,5,NONE,ANNUAL_PASS,VACATION
142,GST0000142,DE,SCHOOL_TRIP,ADULT,16,NONE,NONE,WATER_PARK
143,GST0000143,US,LOCAL_MEMBER,TEEN,3,SENSORY,NONE,FAMILY_DAY
144,GST0000144,US,FAMILY,ADULT,3,NONE,NONE,WATER_PARK
145,GST0000145,US,LOCAL_MEMBER,ADULT,4,DIETARY,HOTEL_GUEST,RIDE_DAY
146,GST0000146,US,TOUR_GROUP,CHILD,6,NONE,ANNUAL_PASS,RIDE_DAY
147,GST0000147,US,LOCAL_MEMBER,CHILD,3,NONE,HOTEL_GUEST,WATER_PARK
148,GST0000148,BR,VIP_TRAVELER,ADULT,4,NONE,ANNUAL_PASS,FAMILY_DAY
149,GST0000149,US,SCHOOL_TRIP,CHILD,12,NONE,NONE,RIDE_DAY
150,GST0000150,US,THRILL_SEEKER,ADULT,1,NONE,VIP_CLUB,FAMILY_DAY
151,GST0000151,US,FAMILY,CHILD,2,NONE,NONE,RIDE_DAY
152,GST0000152,CA,THRILL_SEEKER,TEEN,2,SENSORY,NONE,VACATION
153,GST0000153,US,FAMILY,ADULT,6,NONE,ANNUAL_PASS,RIDE_DAY
154,GST0000154,US,FAMILY,ADULT,5,SENSORY,NONE,FAMILY_DAY
155,GST0000155,CA,THRILL_SEEKER,SENIOR,2,NONE,NONE,RIDE_DAY
156,GST0000156,US,FAMILY,CHILD,5,NONE,HOTEL_GUEST,FAMILY_DAY
157,GST0000157,GB,VIP_TRAVELER,ADULT,1,NONE,ANNUAL_PASS,RIDE_DAY
158,GST0000158,US,LOCAL_MEMBER,ADULT,4,NONE,HOTEL_GUEST,FAMILY_DAY
159,GST0000159,BR,FAMILY,CHILD,5,DIETARY,ANNUAL_PASS,VACATION
160,GST0000160,US,TOUR_GROUP,TEEN,5,NONE,NONE,FAMILY_DAY
161,GST0000161,US,VIP_TRAVELER,CHILD,4,NONE,ANNUAL_PASS,EVENT_NIGHT
162,GST0000162,US,FAMILY,ADULT,5,NONE,NONE,FAMILY_DAY
163,GST0000163,GB,FAMILY,ADULT,2,NONE,VIP_CLUB,WATER_PARK
164,GST0000164,BR,SCHOOL_TRIP,ADULT,20,NONE,NONE,RIDE_DAY
165,GST0000165,US,VIP_TRAVELER,CHILD,3,NONE,NONE,FAMILY_DAY
166,GST0000166,US,THRILL_SEEKER,SENIOR,1,SENSORY,NONE,RIDE_DAY
167,GST0000167,US,SCHOOL_TRIP,CHILD,12,NONE,ANNUAL_PASS,FAMILY_DAY
168,GST0000168,US,LOCAL_MEMBER,ADULT,2,NONE,ANNUAL_PASS,RIDE_DAY
169,GST0000169,US,TOUR_GROUP,ADULT,7,NONE,NONE,RIDE_DAY
170,GST0000170,US,THRILL_SEEKER,TEEN,3,NONE,HOTEL_GUEST,VACATION
171,GST0000171,US,VIP_TRAVELER,TEEN,2,NONE,NONE,FAMILY_DAY
172,GST0000172,DE,THRILL_SEEKER,SENIOR,3,NONE,NONE,EVENT_NIGHT
173,GST0000173,US,FAMILY,CHILD,2,DIETARY,NONE,RIDE_DAY
174,GST0000174,BR,SCHOOL_TRIP,CHILD,20,NONE,NONE,VACATION
175,GST0000175,US,FAMILY,ADULT,5,NONE,NONE,VACATION
176,GST0000176,US,FAMILY,TEEN,5,MOBILITY,NONE,RIDE_DAY
177,GST0000177,US,TOUR_GROUP,ADULT,12,NONE,NONE,RIDE_DAY
178,GST0000178,AE,THRILL_SEEKER,CHILD,3,NONE,HOTEL_GUEST,RIDE_DAY
179,GST0000179,CA,THRILL_SEEKER,SENIOR,3,NONE,NONE,RIDE_DAY
180,GST0000180,US,FAMILY,ADULT,5,NONE,NONE,FAMILY_DAY
181,GST0000181,US,FAMILY,CHILD,5,NONE,NONE,FAMILY_DAY
182,GST0000182,US,SCHOOL_TRIP,ADULT,19,DIETARY,NONE,WATER_PARK
183,GST0000183,MX,LOCAL_MEMBER,SENIOR,2,NONE,NONE,RIDE_DAY
184,GST0000184,US,VIP_TRAVELER,SENIOR,3,NONE,HOTEL_GUEST,FAMILY_DAY
185,GST0000185,MX,SCHOOL_TRIP,ADULT,21,NONE,NONE,RIDE_DAY
186,GST0000186,US,FAMILY,CHILD,6,NONE,ANNUAL_PASS,RIDE_DAY
187,GST0000187,US,SCHOOL_TRIP,TEEN,20,NONE,ANNUAL_PASS,FAMILY_DAY
188,GST0000188,BR,FAMILY,ADULT,5,DIETARY,HOTEL_GUEST,VACATION
189,GST0000189,US,TOUR_GROUP,ADULT,4,HEARING,NONE,FAMILY_DAY
190,GST0000190,US,FAMILY,ADULT,1,HEARING,NONE,WATER_PARK
191,GST0000191,FR,LOCAL_MEMBER,ADULT,4,NONE,NONE,VACATION
192,GST0000192,CA,THRILL_SEEKER,CHILD,2,NONE,HOTEL_GUEST,FAMILY_DAY
193,GST0000193,US,FAMILY,ADULT,1,NONE,NONE,FAMILY_DAY
194,GST0000194,US,VIP_TRAVELER,TEEN,2,NONE,NONE,FAMILY_DAY
195,GST0000195,US,VIP_TRAVELER,ADULT,1,SENSORY,NONE,RIDE_DAY
196,GST0000196,US,VIP_TRAVELER,ADULT,2,NONE,NONE,VACATION
197,GST0000197,US,THRILL_SEEKER,ADULT,2,NONE,NONE,WATER_PARK
198,GST0000198,CA,VIP_TRAVELER,ADULT,2,NONE,ANNUAL_PASS,WATER_PARK
199,GST0000199,US,FAMILY,CHILD,2,NONE,ANNUAL_PASS,EVENT_NIGHT
200,GST0000200,US,SCHOOL_TRIP,ADULT,20,MOBILITY,NONE,VACATION
201,GST0000201,GB,VIP_TRAVELER,ADULT,1,NONE,VIP_CLUB,WATER_PARK
202,GST0000202,GB,FAMILY,SENIOR,6,NONE,ANNUAL_PASS,FAMILY_DAY
203,GST0000203,US,SCHOOL_TRIP,ADULT,12,NONE,NONE,RIDE_DAY
204,GST0000204,US,FAMILY,ADULT,2,DIETARY,ANNUAL_PASS,VACATION
205,GST0000205,US,LOCAL_MEMBER,SENIOR,3,NONE,NONE,RIDE_DAY
206,GST0000206,MX,LOCAL_MEMBER,ADULT,4,NONE,NONE,EVENT_NIGHT
207,GST0000207,US,TOUR_GROUP,ADULT,4,NONE,VIP_CLUB,EVENT_NIGHT
208,GST0000208,US,TOUR_GROUP,SENIOR,12,NONE,NONE,RIDE_DAY
209,GST0000209,US,THRILL_SEEKER,ADULT,2,DIETARY,NONE,RIDE_DAY
210,GST0000210,US,THRILL_SEEKER,ADULT,1,MOBILITY,NONE,RIDE_DAY
211,GST0000211,US,THRILL_SEEKER,ADULT,3,NONE,NONE,VACATION
212,GST0000212,US,LOCAL_MEMBER,CHILD,1,DIETARY,NONE,RIDE_DAY
213,GST0000213,US,TOUR_GROUP,TEEN,10,NONE,NONE,RIDE_DAY
214,GST0000214,US,THRILL_SEEKER,ADULT,2,NONE,ANNUAL_PASS,RIDE_DAY
215,GST0000215,US,VIP_TRAVELER,CHILD,3,NONE,ANNUAL_PASS,FAMILY_DAY
216,GST0000216,CA,FAMILY,ADULT,1,MOBILITY,NONE,FAMILY_DAY
217,GST0000217,US,SCHOOL_TRIP,ADULT,22,DIETARY,NONE,RIDE_DAY
218,GST0000218,BR,THRILL_SEEKER,CHILD,3,NONE,NONE,RIDE_DAY
219,GST0000219,US,THRILL_SEEKER,ADULT,1,NONE,NONE,VACATION
220,GST0000220,MX,THRILL_SEEKER,ADULT,3,DIETARY,ANNUAL_PASS,VACATION
221,GST0000221,US,TOUR_GROUP,CHILD,12,NONE,NONE,VACATION
222,GST0000222,DE,FAMILY,SENIOR,5,DIETARY,NONE,FAMILY_DAY
223,GST0000223,AE,THRILL_SEEKER,ADULT,2,NONE,NONE,VACATION
224,GST0000224,US,FAMILY,TEEN,5,HEARING,NONE,FAMILY_DAY
225,GST0000225,CA,THRILL_SEEKER,ADULT,3,MOBILITY,NONE,FAMILY_DAY
226,GST0000226,US,THRILL_SEEKER,CHILD,1,NONE,NONE,RIDE_DAY
227,GST0000227,CA,TOUR_GROUP,TEEN,10,NONE,NONE,RIDE_DAY
228,GST0000228,US,VIP_TRAVELER,CHILD,2,NONE,NONE,EVENT_NIGHT
229,GST0000229,FR,TOUR_GROUP,SENIOR,10,MOBILITY,NONE,RIDE_DAY
230,GST0000230,US,THRILL_SEEKER,SENIOR,1,NONE,NONE,RIDE_DAY
231,GST0000231,MX,THRILL_SEEKER,ADULT,2,NONE,NONE,EVENT_NIGHT
232,GST0000232,US,FAMILY,ADULT,6,SENSORY,NONE,RIDE_DAY
233,GST0000233,US,FAMILY,ADULT,1,NONE,NONE,EVENT_NIGHT
234,GST0000234,US,FAMILY,TEEN,4,MOBILITY,HOTEL_GUEST,WATER_PARK
235,GST0000235,FR,LOCAL_MEMBER,CHILD,2,NONE,ANNUAL_PASS,RIDE_DAY
236,GST0000236,US,SCHOOL_TRIP,ADULT,24,NONE,NONE,WATER_PARK
237,GST0000237,US,FAMILY,ADULT,4,NONE,NONE,VACATION
238,GST0000238,US,FAMILY,SENIOR,2,NONE,NONE,RIDE_DAY
239,GST0000239,BR,FAMILY,ADULT,3,NONE,ANNUAL_PASS,FAMILY_DAY
240,GST0000240,US,FAMILY,TEEN,5,SENSORY,NONE,EVENT_NIGHT
241,GST0000241,US,THRILL_SEEKER,SENIOR,1,SENSORY,ANNUAL_PASS,WATER_PARK
242,GST0000242,US,VIP_TRAVELER,ADULT,1,NONE,NONE,WATER_PARK
243,GST0000243,GB,VIP_TRAVELER,SENIOR,2,SENSORY,NONE,RIDE_DAY
244,GST0000244,US,VIP_TRAVELER,ADULT,4,NONE,NONE,FAMILY_DAY
245,GST0000245,US,SCHOOL_TRIP,CHILD,10,HEARING,HOTEL_GUEST,EVENT_NIGHT
246,GST0000246,US,THRILL_SEEKER,ADULT,2,MOBILITY,HOTEL_GUEST,RIDE_DAY
247,GST0000247,US,THRILL_SEEKER,ADULT,1,NONE,NONE,RIDE_DAY
248,GST0000248,MX,TOUR_GROUP,ADULT,8,MOBILITY,VIP_CLUB,EVENT_NIGHT
249,GST0000249,US,FAMILY,TEEN,4,NONE,HOTEL_GUEST,FAMILY_DAY
250,GST0000250,BR,FAMILY,ADULT,5,DIETARY,NONE,EVENT_NIGHT
251,GST0000251,US,FAMILY,ADULT,1,NONE,NONE,RIDE_DAY
252,GST0000252,BR,FAMILY,TEEN,5,MOBILITY,NONE,WATER_PARK
253,GST0000253,US,FAMILY,ADULT,3,NONE,NONE,FAMILY_DAY
254,GST0000254,US,SCHOOL_TRIP,ADULT,20,NONE,NONE,VACATION
255,GST0000255,JP,LOCAL_MEMBER,TEEN,2,NONE,ANNUAL_PASS,FAMILY_DAY
256,GST0000256,MX,TOUR_GROUP,ADULT,12,NONE,HOTEL_GUEST,RIDE_DAY
257,GST0000257,CA,THRILL_SEEKER,SENIOR,2,DIETARY,NONE,WATER_PARK
258,GST0000258,MX,FAMILY,TEEN,3,DIETARY,VIP_CLUB,RIDE_DAY
259,GST0000259,CA,LOCAL_MEMBER,ADULT,1,NONE,HOTEL_GUEST,RIDE_DAY
260,GST0000260,MX,TOUR_GROUP,CHILD,12,NONE,HOTEL_GUEST,RIDE_DAY
261,GST0000261,US,FAMILY,CHILD,6,NONE,NONE,VACATION
262,GST0000262,FR,VIP_TRAVELER,ADULT,4,NONE,NONE,FAMILY_DAY
263,GST0000263,JP,THRILL_SEEKER,SENIOR,3,NONE,ANNUAL_PASS,VACATION
264,GST0000264,US,THRILL_SEEKER,ADULT,2,SENSORY,ANNUAL_PASS,VACATION
265,GST0000265,AE,SCHOOL_TRIP,ADULT,14,MOBILITY,ANNUAL_PASS,RIDE_DAY
266,GST0000266,CA,FAMILY,CHILD,3,HEARING,NONE,EVENT_NIGHT
267,GST0000267,DE,THRILL_SEEKER,SENIOR,3,NONE,NONE,FAMILY_DAY
268,GST0000268,US,FAMILY,TEEN,1,NONE,VIP_CLUB,EVENT_NIGHT
269,GST0000269,MX,SCHOOL_TRIP,CHILD,16,NONE,NONE,VACATION
270,GST0000270,JP,SCHOOL_TRIP,ADULT,11,NONE,NONE,FAMILY_DAY
271,GST0000271,US,FAMILY,SENIOR,3,NONE,NONE,VACATION
272,GST0000272,US,FAMILY,ADULT,4,NONE,NONE,RIDE_DAY
273,GST0000273,US,FAMILY,TEEN,6,NONE,NONE,FAMILY_DAY
274,GST0000274,BR,FAMILY,SENIOR,4,NONE,HOTEL_GUEST,VACATION
275,GST0000275,US,THRILL_SEEKER,ADULT,1,NONE,NONE,FAMILY_DAY
276,GST0000276,GB,LOCAL_MEMBER,ADULT,4,NONE,NONE,FAMILY_DAY
277,GST0000277,GB,LOCAL_MEMBER,TEEN,1,MOBILITY,NONE,FAMILY_DAY
278,GST0000278,US,THRILL_SEEKER,ADULT,2,DIETARY,NONE,RIDE_DAY
279,GST0000279,US,FAMILY,ADULT,6,MOBILITY,NONE,WATER_PARK
280,GST0000280,US,LOCAL_MEMBER,ADULT,3,NONE,ANNUAL_PASS,RIDE_DAY
281,GST0000281,JP,THRILL_SEEKER,ADULT,1,NONE,ANNUAL_PASS,FAMILY_DAY
282,GST0000282,DE,LOCAL_MEMBER,ADULT,1,NONE,VIP_CLUB,VACATION
283,GST0000283,US,TOUR_GROUP,ADULT,9,NONE,HOTEL_GUEST,RIDE_DAY
284,GST0000284,MX,FAMILY,CHILD,5,NONE,NONE,VACATION
285,GST0000285,MX,LOCAL_MEMBER,ADULT,1,NONE,NONE,VACATION
286,GST0000286,GB,THRILL_SEEKER,ADULT,2,NONE,NONE,RIDE_DAY
287,GST0000287,US,TOUR_GROUP,ADULT,8,NONE,HOTEL_GUEST,VACATION
288,GST0000288,US,THRILL_SEEKER,CHILD,3,HEARING,HOTEL_GUEST,WATER_PARK
289,GST0000289,CA,FAMILY,ADULT,1,DIETARY,NONE,VACATION
290,GST0000290,MX,THRILL_SEEKER,ADULT,1,NONE,NONE,EVENT_NIGHT
291,GST0000291,US,FAMILY,ADULT,5,NONE,NONE,FAMILY_DAY
292,GST0000292,CA,SCHOOL_TRIP,CHILD,19,NONE,ANNUAL_PASS,RIDE_DAY
293,GST0000293,CA,FAMILY,ADULT,4,NONE,HOTEL_GUEST,RIDE_DAY
294,GST0000294,JP,SCHOOL_TRIP,ADULT,21,NONE,HOTEL_GUEST,RIDE_DAY
