EmployeeId,EmployeeNumber,Park,HomeZone,EmployeeName,RoleType,SkillTier,EmploymentType,HireDate,MascotQualifiedFlag,ActiveFlag
97,EMP000097,3,7,Employee 00097,SAFETY_COORDINATOR,LEAD,PART_TIME,2023-10-27T06:00:00Z,False,True
98,EMP000098,2,30,Employee 00098,ENTERTAINMENT_HOST,CERTIFIED,FULL_TIME,2023-09-11T04:00:00Z,False,True
99,EMP000099,3,3,Employee 00099,AREA_SUPERVISOR,LEAD,SEASONAL,2025-08-29T14:00:00Z,False,True
100,EMP000100,2,4,Employee 00100,MECHANIC,SPECIALIST,FULL_TIME,2025-07-01T13:00:00Z,False,True
101,EMP000101,5,9,Employee 00101,AREA_SUPERVISOR,MANAGER,PART_TIME,2025-05-09T17:00:00Z,False,True
102,EMP000102,2,6,Employee 00102,RIDE_OPERATOR,LEAD,PART_TIME,2024-09-04T06:00:00Z,False,True
103,EMP000103,3,26,Employee 00103,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2024-02-04T09:00:00Z,False,True
104,EMP000104,2,16,Employee 00104,GUEST_SERVICES,CERTIFIED,SEASONAL,2024-11-19T13:00:00Z,False,True
105,EMP000105,3,7,Employee 00105,GUEST_SERVICES,FOUNDATION,FULL_TIME,2025-08-27T14:00:00Z,False,True
106,EMP000106,6,14,Employee 00106,RIDE_OPERATOR,LEAD,FULL_TIME,2024-01-27T15:00:00Z,False,True
107,EMP000107,1,2,Employee 00107,RIDE_OPERATOR,LEAD,FULL_TIME,2023-10-10T10:00:00Z,False,True
108,EMP000108,5,22,Employee 00108,ENTERTAINMENT_HOST,FOUNDATION,PART_TIME,2025-10-21T08:00:00Z,False,True
109,EMP000109,4,1,Employee 00109,RIDE_OPERATOR,LEAD,SEASONAL,2024-06-27T01:00:00Z,False,True
110,EMP000110,5,5,Employee 00110,MECHANIC,SPECIALIST,PART_TIME,2025-07-21T07:00:00Z,False,True
111,EMP000111,2,16,Employee 00111,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2024-12-09T06:00:00Z,False,True
112,EMP000112,6,28,Employee 00112,MECHANIC,CERTIFIED,SEASONAL,2023-12-13T04:00:00Z,False,True
113,EMP000113,5,9,Employee 00113,ENTERTAINMENT_HOST,FOUNDATION,PART_TIME,2023-10-17T04:00:00Z,True,True
114,EMP000114,1,25,Employee 00114,MECHANIC,CERTIFIED,FULL_TIME,2023-05-27T04:00:00Z,False,True
115,EMP000115,3,29,Employee 00115,GUEST_SERVICES,FOUNDATION,PART_TIME,2025-12-27T17:00:00Z,False,False
116,EMP000116,2,6,Employee 00116,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2025-07-31T14:00:00Z,False,True
117,EMP000117,1,2,Employee 00117,SAFETY_COORDINATOR,LEAD,SEASONAL,2025-04-23T06:00:00Z,False,True
118,EMP000118,5,12,Employee 00118,AREA_SUPERVISOR,MANAGER,FULL_TIME,2023-07-02T14:00:00Z,False,True
119,EMP000119,1,27,Employee 00119,RIDE_OPERATOR,LEAD,PART_TIME,2024-02-27T02:00:00Z,False,False
120,EMP000120,5,5,Employee 00120,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2024-09-08T14:00:00Z,False,True
121,EMP000121,5,9,Employee 00121,RIDE_OPERATOR,LEAD,FULL_TIME,2024-05-27T17:00:00Z,False,True
122,EMP000122,6,14,Employee 00122,RIDE_OPERATOR,LEAD,PART_TIME,2025-08-06T17:00:00Z,False,True
123,EMP000123,3,29,Employee 00123,RIDE_OPERATOR,LEAD,PART_TIME,2024-10-20T00:00:00Z,False,True
124,EMP000124,6,14,Employee 00124,RIDE_OPERATOR,LEAD,PART_TIME,2025-07-30T16:00:00Z,False,True
125,EMP000125,3,8,Employee 00125,ENTERTAINMENT_HOST,CERTIFIED,FULL_TIME,2023-11-10T01:00:00Z,True,True
126,EMP000126,5,10,Employee 00126,AREA_SUPERVISOR,LEAD,FULL_TIME,2024-08-23T13:00:00Z,False,True
127,EMP000127,3,7,Employee 00127,AREA_SUPERVISOR,LEAD,FULL_TIME,2025-09-02T01:00:00Z,False,True
128,EMP000128,3,7,Employee 00128,MECHANIC,LEAD,FULL_TIME,2025-04-23T03:00:00Z,False,True
129,EMP000129,4,20,Employee 00129,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2024-08-13T04:00:00Z,False,True
130,EMP000130,1,25,Employee 00130,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2025-09-16T12:00:00Z,False,True
131,EMP000131,3,29,Employee 00131,MECHANIC,CERTIFIED,FULL_TIME,2024-09-20T15:00:00Z,False,True
132,EMP000132,1,2,Employee 00132,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2024-10-02T07:00:00Z,False,True
133,EMP000133,5,21,Employee 00133,ENTERTAINMENT_HOST,CERTIFIED,FULL_TIME,2025-02-09T16:00:00Z,False,True
134,EMP000134,1,23,Employee 00134,ENTERTAINMENT_HOST,CERTIFIED,FULL_TIME,2023-05-25T08:00:00Z,False,True
135,EMP000135,6,28,Employee 00135,RIDE_OPERATOR,LEAD,SEASONAL,2025-02-05T00:00:00Z,False,True
136,EMP000136,5,22,Employee 00136,AREA_SUPERVISOR,LEAD,PART_TIME,2025-01-01T11:00:00Z,False,True
137,EMP000137,2,16,Employee 00137,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2025-05-16T00:00:00Z,False,True
138,EMP000138,4,15,Employee 00138,AREA_SUPERVISOR,MANAGER,PART_TIME,2025-10-27T08:00:00Z,False,True
139,EMP000139,3,26,Employee 00139,MECHANIC,CERTIFIED,SEASONAL,2025-10-21T13:00:00Z,False,True
140,EMP000140,2,4,Employee 00140,GUEST_SERVICES,LEAD,FULL_TIME,2023-08-04T16:00:00Z,False,True
141,EMP000141,5,19,Employee 00141,SAFETY_COORDINATOR,SPECIALIST,FULL_TIME,2023-07-19T08:00:00Z,False,True
142,EMP000142,2,6,Employee 00142,RIDE_OPERATOR,LEAD,PART_TIME,2024-06-14T06:00:00Z,False,True
143,EMP000143,3,8,Employee 00143,GUEST_SERVICES,CERTIFIED,FULL_TIME,2025-07-09T10:00:00Z,False,True
144,EMP000144,4,18,Employee 00144,AREA_SUPERVISOR,LEAD,FULL_TIME,2024-07-02T06:00:00Z,False,True
145,EMP000145,2,16,Employee 00145,RIDE_OPERATOR,LEAD,FULL_TIME,2024-11-01T10:00:00Z,False,True
146,EMP000146,4,15,Employee 00146,GUEST_SERVICES,CERTIFIED,FULL_TIME,2024-11-01T04:00:00Z,False,True
147,EMP000147,2,30,Employee 00147,RIDE_OPERATOR,LEAD,FULL_TIME,2023-05-13T12:00:00Z,False,True
148,EMP000148,1,27,Employee 00148,RIDE_OPERATOR,LEAD,FULL_TIME,2023-07-22T14:00:00Z,False,True
149,EMP000149,6,28,Employee 00149,RIDE_OPERATOR,FOUNDATION,PART_TIME,2024-08-11T11:00:00Z,False,True
150,EMP000150,4,18,Employee 00150,GUEST_SERVICES,CERTIFIED,SEASONAL,2024-02-26T12:00:00Z,False,False
151,EMP000151,4,15,Employee 00151,RIDE_OPERATOR,FOUNDATION,PART_TIME,2024-03-20T04:00:00Z,False,True
152,EMP000152,1,25,Employee 00152,RIDE_OPERATOR,FOUNDATION,SEASONAL,2025-10-25T13:00:00Z,False,True
153,EMP000153,1,23,Employee 00153,ENTERTAINMENT_HOST,CERTIFIED,SEASONAL,2024-09-24T15:00:00Z,True,True
154,EMP000154,3,26,Employee 00154,SAFETY_COORDINATOR,LEAD,FULL_TIME,2025-05-27T13:00:00Z,False,True
155,EMP000155,5,5,Employee 00155,ENTERTAINMENT_HOST,CERTIFIED,PART_TIME,2024-12-30T11:00:00Z,True,True
156,EMP000156,3,7,Employee 00156,MECHANIC,LEAD,PART_TIME,2023-12-06T05:00:00Z,False,True
157,EMP000157,3,26,Employee 00157,MECHANIC,SPECIALIST,PART_TIME,2023-11-01T06:00:00Z,False,True
158,EMP000158,3,7,Employee 00158,SAFETY_COORDINATOR,CERTIFIED,SEASONAL,2023-06-02T01:00:00Z,False,True
159,EMP000159,5,9,Employee 00159,RIDE_OPERATOR,LEAD,PART_TIME,2025-06-21T04:00:00Z,False,True
160,EMP000160,2,16,Employee 00160,RIDE_OPERATOR,LEAD,PART_TIME,2025-10-23T12:00:00Z,False,True
161,EMP000161,1,2,Employee 00161,MECHANIC,CERTIFIED,PART_TIME,2024-08-27T06:00:00Z,False,True
162,EMP000162,4,15,Employee 00162,GUEST_SERVICES,CERTIFIED,FULL_TIME,2023-07-31T05:00:00Z,False,True
163,EMP000163,1,27,Employee 00163,RIDE_OPERATOR,LEAD,FULL_TIME,2025-01-13T00:00:00Z,False,True
164,EMP000164,6,28,Employee 00164,AREA_SUPERVISOR,MANAGER,FULL_TIME,2025-03-14T12:00:00Z,False,True
165,EMP000165,5,17,Employee 00165,ENTERTAINMENT_HOST,CERTIFIED,FULL_TIME,2024-08-10T04:00:00Z,True,True
166,EMP000166,5,10,Employee 00166,RIDE_OPERATOR,LEAD,SEASONAL,2025-10-24T03:00:00Z,False,True
167,EMP000167,3,3,Employee 00167,AREA_SUPERVISOR,MANAGER,PART_TIME,2025-12-02T04:00:00Z,False,True
168,EMP000168,3,7,Employee 00168,RIDE_OPERATOR,LEAD,FULL_TIME,2025-08-01T02:00:00Z,False,True
169,EMP000169,2,30,Employee 00169,AREA_SUPERVISOR,MANAGER,FULL_TIME,2023-07-29T00:00:00Z,False,True
170,EMP000170,6,11,Employee 00170,ENTERTAINMENT_HOST,CERTIFIED,PART_TIME,2023-10-27T06:00:00Z,False,True
171,EMP000171,2,16,Employee 00171,SAFETY_COORDINATOR,CERTIFIED,PART_TIME,2023-11-07T02:00:00Z,False,True
172,EMP000172,5,10,Employee 00172,RIDE_OPERATOR,LEAD,SEASONAL,2024-03-08T09:00:00Z,False,True
173,EMP000173,1,23,Employee 00173,MECHANIC,CERTIFIED,FULL_TIME,2023-11-29T17:00:00Z,False,True
174,EMP000174,1,25,Employee 00174,GUEST_SERVICES,LEAD,PART_TIME,2023-07-05T07:00:00Z,False,True
175,EMP000175,3,26,Employee 00175,MECHANIC,CERTIFIED,FULL_TIME,2025-05-09T01:00:00Z,False,True
176,EMP000176,3,8,Employee 00176,RIDE_OPERATOR,LEAD,FULL_TIME,2024-03-24T08:00:00Z,False,True
177,EMP000177,5,21,Employee 00177,AREA_SUPERVISOR,MANAGER,SEASONAL,2025-09-17T11:00:00Z,False,True
178,EMP000178,5,21,Employee 00178,AREA_SUPERVISOR,LEAD,FULL_TIME,2024-12-12T15:00:00Z,False,True
179,EMP000179,3,26,Employee 00179,GUEST_SERVICES,CERTIFIED,FULL_TIME,2023-06-23T02:00:00Z,False,True
180,EMP000180,4,20,Employee 00180,GUEST_SERVICES,LEAD,FULL_TIME,2024-02-13T16:00:00Z,False,True
181,EMP000181,6,13,Employee 00181,AREA_SUPERVISOR,LEAD,FULL_TIME,2024-12-10T08:00:00Z,False,True
182,EMP000182,3,3,Employee 00182,MECHANIC,SPECIALIST,PART_TIME,2024-04-28T08:00:00Z,False,True
183,EMP000183,5,19,Employee 00183,RIDE_OPERATOR,FOUNDATION,SEASONAL,2025-07-05T00:00:00Z,False,True
184,EMP000184,6,11,Employee 00184,MECHANIC,CERTIFIED,FULL_TIME,2025-02-28T12:00:00Z,False,True
185,EMP000185,1,2,Employee 00185,AREA_SUPERVISOR,LEAD,FULL_TIME,2024-01-30T17:00:00Z,False,True
186,EMP000186,5,12,Employee 00186,MECHANIC,CERTIFIED,PART_TIME,2024-02-14T10:00:00Z,False,True
187,EMP000187,3,3,Employee 00187,AREA_SUPERVISOR,MANAGER,FULL_TIME,2024-12-30T01:00:00Z,False,True
188,EMP000188,3,7,Employee 00188,AREA_SUPERVISOR,MANAGER,SEASONAL,2023-06-02T01:00:00Z,False,True
189,EMP000189,3,26,Employee 00189,AREA_SUPERVISOR,MANAGER,FULL_TIME,2023-09-28T12:00:00Z,False,True
190,EMP000190,2,30,Employee 00190,GUEST_SERVICES,FOUNDATION,FULL_TIME,2023-11-21T03:00:00Z,False,True
191,EMP000191,5,9,Employee 00191,SAFETY_COORDINATOR,LEAD,FULL_TIME,2025-01-18T15:00:00Z,False,True
192,EMP000192,3,8,Employee 00192,RIDE_OPERATOR,LEAD,FULL_TIME,2023-05-01T10:00:00Z,False,True
193,EMP000193,3,7,Employee 00193,SAFETY_COORDINATOR,CERTIFIED,PART_TIME,2023-04-28T09:00:00Z,False,True
194,EMP000194,2,4,Employee 00194,ENTERTAINMENT_HOST,CERTIFIED,FULL_TIME,2023-09-10T11:00:00Z,True,True
195,EMP000195,3,3,Employee 00195,GUEST_SERVICES,CERTIFIED,SEASONAL,2025-12-11T10:00:00Z,False,True
196,EMP000196,6,13,Employee 00196,SAFETY_COORDINATOR,LEAD,SEASONAL,2025-01-30T06:00:00Z,False,True
197,EMP000197,3,3,Employee 00197,RIDE_OPERATOR,FOUNDATION,PART_TIME,2025-08-10T09:00:00Z,False,True
198,EMP000198,3,7,Employee 00198,SAFETY_COORDINATOR,LEAD,PART_TIME,2025-05-09T00:00:00Z,False,True
199,EMP000199,3,26,Employee 00199,GUEST_SERVICES,LEAD,PART_TIME,2025-01-03T15:00:00Z,False,True
200,EMP000200,2,6,Employee 00200,GUEST_SERVICES,LEAD,FULL_TIME,2023-06-14T15:00:00Z,False,True
201,EMP000201,1,27,Employee 00201,RIDE_OPERATOR,LEAD,FULL_TIME,2025-11-01T07:00:00Z,False,True
202,EMP000202,6,28,Employee 00202,MECHANIC,SPECIALIST,FULL_TIME,2024-04-29T03:00:00Z,False,True
203,EMP000203,6,14,Employee 00203,RIDE_OPERATOR,LEAD,FULL_TIME,2024-08-04T12:00:00Z,False,True
204,EMP000204,5,17,Employee 00204,GUEST_SERVICES,LEAD,SEASONAL,2023-10-15T10:00:00Z,False,True
205,EMP000205,3,7,Employee 00205,MECHANIC,CERTIFIED,FULL_TIME,2023-12-11T10:00:00Z,False,True
206,EMP000206,3,7,Employee 00206,RIDE_OPERATOR,FOUNDATION,PART_TIME,2024-11-24T16:00:00Z,False,True
207,EMP000207,2,6,Employee 00207,GUEST_SERVICES,CERTIFIED,FULL_TIME,2025-07-17T04:00:00Z,False,True
208,EMP000208,3,26,Employee 00208,AREA_SUPERVISOR,LEAD,PART_TIME,2023-05-12T16:00:00Z,False,True
209,EMP000209,1,27,Employee 00209,ENTERTAINMENT_HOST,CERTIFIED,SEASONAL,2024-02-19T03:00:00Z,False,True
210,EMP000210,5,10,Employee 00210,RIDE_OPERATOR,LEAD,FULL_TIME,2023-07-03T16:00:00Z,False,True
211,EMP000211,3,26,Employee 00211,GUEST_SERVICES,FOUNDATION,SEASONAL,2023-11-16T03:00:00Z,False,True
212,EMP000212,3,26,Employee 00212,ENTERTAINMENT_HOST,CERTIFIED,SEASONAL,2025-04-15T03:00:00Z,False,True
213,EMP000213,5,5,Employee 00213,SAFETY_COORDINATOR,LEAD,PART_TIME,2024-08-09T12:00:00Z,False,True
214,EMP000214,6,13,Employee 00214,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2023-06-09T13:00:00Z,False,True
215,EMP000215,1,25,Employee 00215,AREA_SUPERVISOR,MANAGER,FULL_TIME,2025-02-08T06:00:00Z,False,True
216,EMP000216,5,17,Employee 00216,AREA_SUPERVISOR,MANAGER,FULL_TIME,2025-06-21T14:00:00Z,False,True
