MerchantId,MerchantName,Category,RiskTier,PopularityWeight,Country
31,"Khan, Price and Frank",FUEL,LOW,1.076386862000251,USA
32,Baker Ltd,TRAVEL,HIGH,1.323403543690308,USA
33,"Jensen, Wright and Newman",DIGITAL,LOW,1.1503443296998042,USA
34,Lindsey-Lopez,DIGITAL,LOW,1.198013631214628,CAN
35,Holland-Garcia,GROCERY,LOW,1.303735381755069,USA
36,Arnold-Gray,RETAIL,LOW,1.203189905223069,DEU
37,"Bradley, Perez and Moore",RETAIL,LOW,2.2755201287847187,USA
38,Nunez and Sons,RETAIL,LOW,1.60901389293907,USA
39,Horn LLC,DIGITAL,LOW,1.371383647349517,USA
40,"Reyes, Perez and King",DIGITAL,LOW,1.0337720784154147,USA
41,Watkins-Andersen,DINING,MED,2.304048341600741,MEX
42,Sloan-Romero,GROCERY,LOW,1.790798797620798,USA
43,Collins LLC,RETAIL,LOW,1.4928439581750113,CAN
44,"Wolfe, Martin and Blevins",GROCERY,LOW,1.4251520913245597,AUS
45,"Tucker, Rodgers and Mckinney",DINING,LOW,1.0573924580326735,USA
46,Obrien-Palmer,GROCERY,LOW,1.1430457100425866,USA
47,"Sanders, Lee and Mendoza",FUEL,LOW,1.5332350760796423,USA
48,Garcia and Sons,DIGITAL,LOW,1.0553085196208962,AUS
49,"Torres, Yates and Murphy",GROCERY,MED,1.3554120018741815,USA
50,Lewis-Torres,FUEL,LOW,1.0636838130501463,AUS
51,Wells-Freeman,RETAIL,LOW,1.2179787592620657,DEU
52,"Watson, Hawkins and Day",RETAIL,LOW,4.672214509966518,USA
53,Roberts PLC,RETAIL,LOW,1.2068950814317052,USA
54,Hernandez PLC,RETAIL,LOW,1.439909542350614,USA
55,"Robles, Duncan and Bates",RETAIL,LOW,1.1539974410505487,USA
56,"Bailey, Wilson and Robinson",DINING,LOW,3.3108872975600856,MEX
57,"Brown, Bradley and Martinez",DIGITAL,LOW,1.3491108534884508,USA
58,"Williams, Harrison and Steele",RETAIL,LOW,2.139304619943759,USA
59,Cervantes and Sons,GROCERY,LOW,1.1296157610266377,AUS
60,"Flowers, Roman and Moore",RETAIL,LOW,2.1910761557105167,USA
61,Taylor-Snow,RETAIL,LOW,2.1438325973816372,USA
62,"Schneider, Nguyen and Butler",DINING,LOW,1.3411505151168268,USA
63,Reyes-Young,DIGITAL,LOW,1.4777501463352318,CAN
64,Malone-Martinez,FUEL,LOW,1.1141128690879865,USA
65,Hines Inc,GROCERY,LOW,7.1868841917165565,DEU
66,"Roy, Johnson and Gray",DINING,LOW,1.083248225915713,USA
67,"Taylor, Larson and Perkins",TRAVEL,LOW,4.749195036588312,USA
68,Brown Ltd,GROCERY,LOW,1.0505497992580055,USA
69,Mcdonald PLC,DINING,LOW,6.569798575911369,CAN
70,"Roberts, Francis and Koch",GROCERY,LOW,8.51434675221079,USA
71,Harvey Ltd,DINING,LOW,1.784240693266973,USA
72,Garcia-Cochran,DINING,LOW,1.4602046656935834,USA
73,Fitzgerald Ltd,RETAIL,LOW,1.539420054875105,USA
74,Owens Ltd,DIGITAL,LOW,1.869282536599326,CAN
75,Hester-Hall,GROCERY,HIGH,1.5588157042797393,USA
76,Mitchell-Ayers,DIGITAL,LOW,4.262810955923816,USA
77,"Brooks, Levine and King",RETAIL,LOW,2.2775873705950933,USA
78,"Fuller, Calhoun and Robertson",DIGITAL,HIGH,5.262943472933817,USA
79,Reed Group,DINING,LOW,1.2255850484801412,USA
80,Finley-Lin,RETAIL,LOW,1.7653520738149127,USA
81,Schwartz and Sons,GROCERY,LOW,1.6680194861183173,USA
82,"Martinez, Williams and Cox",TRAVEL,LOW,1.1158144154887149,USA
83,West Ltd,DINING,LOW,1.3423845376205765,USA
84,"Boyer, Webb and Hughes",RETAIL,LOW,4.976798940230222,USA
85,Haynes-Cordova,RETAIL,LOW,1.4829638258662867,USA
86,Anthony-Taylor,RETAIL,LOW,5.145240183774464,USA
87,Thomas-Brooks,RETAIL,LOW,7.257199250929148,USA
88,Fisher LLC,GROCERY,LOW,3.691632817721259,USA
89,"Rivera, Cowan and Taylor",FUEL,LOW,1.2423416187776235,DEU
90,Jones Inc,GROCERY,LOW,1.5692732717669557,USA
91,"Friedman, Dyer and Smith",FUEL,LOW,1.299436270374997,USA
92,Mcknight and Sons,RETAIL,LOW,1.465947261736613,USA
93,Tyler Group,DINING,LOW,3.8491749074821078,USA
94,Vasquez-Santiago,GROCERY,MED,1.015025372641553,USA
95,Martin-Davis,DIGITAL,LOW,1.5842174133145475,GBR
96,Hunter PLC,DIGITAL,LOW,1.4792731415365183,USA
97,"Hopkins, Wilkinson and White",RETAIL,LOW,1.3097166132092677,USA
98,Delacruz Group,RETAIL,LOW,6.8141456297423995,USA
99,Jones-Castillo,GROCERY,LOW,1.5897090201361388,USA
100,Garcia Group,RETAIL,LOW,1.2482221175008932,USA
101,Rivas-Cabrera,RETAIL,LOW,1.0151196067457167,USA
102,"Wright, Camacho and Lopez",RETAIL,MED,1.0852334603182063,USA
103,Woodard-Cooper,RETAIL,LOW,1.0586732186764174,USA
104,Parsons Inc,GROCERY,MED,1.4728312898043456,USA
105,Hudson Group,GROCERY,LOW,1.5093378252004395,USA
106,Young-Smith,GROCERY,LOW,1.1820498474710257,USA
107,"Perez, Kim and Wilson",RETAIL,LOW,3.138095899529526,USA
108,Harmon-Martin,DIGITAL,LOW,1.7018100286810365,USA
109,Marsh Inc,RETAIL,LOW,1.2453327814583923,USA
110,"Casey, Farmer and Hicks",GROCERY,LOW,1.0148464588018407,USA
111,Lopez-Lewis,GROCERY,LOW,3.9429132227715353,USA
112,"Richardson, Bryant and Lee",TRAVEL,LOW,1.1066873795540986,USA
113,George Group,DINING,LOW,1.2767951291674622,USA
114,"King, Collins and Oconnor",GROCERY,LOW,1.1977989541825944,USA
115,"Smith, Brown and Rocha",DIGITAL,LOW,3.509079224007855,USA
116,Cross Group,TRAVEL,LOW,1.0074642113302725,USA
117,Harmon Inc,RETAIL,LOW,1.1038221080111388,USA
118,Swanson-Gilbert,RETAIL,LOW,2.7338905137755862,USA
119,Velez-Jones,FUEL,LOW,2.336083120437574,USA
120,Perry-Ross,TRAVEL,LOW,2.1494842717655187,GBR
121,Washington-Allen,DIGITAL,LOW,2.3397828815591524,USA
122,Lucas LLC,RETAIL,LOW,2.232410481284924,USA
123,"Nichols, Martin and Mendoza",RETAIL,LOW,1.2012328741685447,USA
124,Velazquez-Gonzalez,RETAIL,LOW,1.0264314177565224,USA
125,"Conway, Adams and Hardy",RETAIL,HIGH,1.0195753254525093,USA
126,"Wilkinson, Williams and Shaw",RETAIL,LOW,1.2129137553777845,USA
127,"Cole, Bennett and Oliver",DINING,LOW,1.157216805359218,USA
128,"Phillips, Mcintyre and Blevins",RETAIL,LOW,1.2650565936029097,USA
129,"Copeland, Christian and Davis",TRAVEL,MED,2.281439856636841,USA
130,Diaz and Sons,DINING,LOW,1.382953918783354,USA
131,"Johnson, Park and Stevens",RETAIL,LOW,1.198702224244936,CAN
132,Walker PLC,DIGITAL,LOW,1.9389043492727456,USA
133,"Thompson, Woods and Stokes",DINING,LOW,2.782194226657754,USA
134,"Miranda, Miles and Cook",RETAIL,LOW,2.0462820723872346,USA
135,Eaton LLC,RETAIL,LOW,1.47295634866507,USA
136,Parks-Johnson,RETAIL,LOW,1.1237728477705744,USA
137,Graham Group,RETAIL,LOW,1.7896944469974374,USA
138,Carter Inc,RETAIL,LOW,1.0890909984047734,USA
139,"Christian, Murray and Hancock",DIGITAL,LOW,2.509843571593083,USA
140,Mayer Inc,DINING,LOW,1.3724711185063996,USA
141,Best LLC,FUEL,LOW,1.1494727058833778,MEX
142,"Taylor, Flynn and Martinez",GROCERY,MED,1.0429484496010106,USA
143,Hayes-Johnson,GROCERY,LOW,1.3104190672327327,DEU
144,Cohen PLC,DINING,LOW,1.089842287734872,USA
145,Davenport-Walker,RETAIL,LOW,1.3071575699713942,USA
146,Johnson Ltd,RETAIL,LOW,1.2679972280535081,USA
147,Petersen PLC,RETAIL,HIGH,1.9577051340892975,USA
148,James LLC,FUEL,HIGH,3.455009528025772,USA
149,"Boyd, Martin and Carter",RETAIL,LOW,3.1884721053164053,DEU
150,"Peterson, Griffith and Golden",DIGITAL,LOW,1.6271299017220113,USA
151,Jefferson Ltd,TRAVEL,LOW,1.4990834408455305,USA
152,Chavez Inc,DIGITAL,LOW,4.186170778579896,USA
153,Acevedo and Sons,TRAVEL,LOW,1.8733642549782783,USA
154,Cox-Medina,FUEL,LOW,1.9382163652894178,MEX
155,"Turner, Weber and Hernandez",GROCERY,LOW,1.608252982087464,USA
156,Castillo Group,DINING,LOW,1.8639875585566343,GBR
157,Davidson and Sons,RETAIL,LOW,1.3200473903187333,USA
158,"Hall, Ramirez and Ryan",TRAVEL,LOW,1.9352561110333102,USA
159,"Frye, Allison and Flores",DINING,LOW,8.749730779053893,DEU
160,Thompson-Reyes,DIGITAL,LOW,3.637972697534672,USA
161,Vazquez-Edwards,GROCERY,LOW,4.24406808787716,USA
162,Nguyen-Horton,GROCERY,HIGH,1.315326179900158,USA
163,Green Inc,GROCERY,LOW,1.4743827249051291,DEU
164,"Herrera, Rich and Mcconnell",RETAIL,LOW,1.0906414190163407,USA
165,Moore-Porter,RETAIL,LOW,3.096413893592697,USA
166,Carter Ltd,DINING,LOW,1.248408466368279,USA
167,Baldwin-Williams,DIGITAL,LOW,1.9176078299105592,USA
168,Burton-Wall,RETAIL,MED,1.8334446180970032,USA
169,Harris-Silva,GROCERY,LOW,1.6913401606908933,USA
170,Pacheco-Bright,DIGITAL,LOW,2.305848714349839,CAN
171,Alexander LLC,RETAIL,LOW,1.3574627707480833,USA
172,"Stewart, Black and Anthony",RETAIL,HIGH,1.2734683060969876,USA
173,"Morris, Perkins and Burton",DINING,MED,2.6342503488713196,USA
174,"Lane, Evans and Wallace",GROCERY,LOW,1.6946156243794948,USA
175,Lopez LLC,FUEL,LOW,4.405644002037115,USA
176,Lopez-Gordon,RETAIL,LOW,1.0731859962805432,USA
177,Clark LLC,GROCERY,LOW,1.0663911840942113,USA
178,"Wheeler, Price and Hicks",TRAVEL,HIGH,1.2757387954875314,USA
179,Castillo-Daniels,TRAVEL,LOW,1.0090368048823162,USA
180,Daniels LLC,GROCERY,LOW,1.5568704701258103,USA
181,"Brennan, Cross and Murphy",DIGITAL,LOW,1.1616691139908903,USA
182,Gardner Inc,DINING,LOW,1.5877366566946893,USA
183,Cook-Ramirez,RETAIL,LOW,10.383125766232764,USA
184,Nelson-Daniel,GROCERY,MED,1.847289765670033,USA
185,Rice PLC,DINING,LOW,3.0430010460857453,USA
186,Bishop-Gilmore,RETAIL,LOW,1.7644953782215156,CAN
187,"Duffy, Fernandez and Carter",FUEL,LOW,2.294000195843807,USA
188,Schultz-Moore,FUEL,MED,1.6581983377115743,USA
189,"Mccarthy, Orozco and Rich",RETAIL,LOW,1.1866046587161478,USA
190,Miller Inc,FUEL,LOW,1.209543327503749,USA
191,Harvey Group,GROCERY,LOW,1.0397946068127664,USA
192,"Townsend, Smith and Cruz",FUEL,LOW,1.3726801194918994,CAN
193,"Mills, Bell and Cohen",GROCERY,LOW,7.856451739651182,USA
194,"Lawson, Torres and Rodriguez",FUEL,LOW,1.0897120432449863,USA
195,Andrade-Robinson,FUEL,LOW,3.6466895797233527,USA
196,Gibson-Leon,DIGITAL,MED,1.8624468712429894,USA
197,"Owen, Lee and Diaz",RETAIL,LOW,1.7824568066223991,USA
198,"Soto, Saunders and Velasquez",RETAIL,LOW,2.848730504513575,USA
199,"Wilkins, Davis and Munoz",RETAIL,LOW,1.0229225417922931,GBR
200,Spencer-Kim,FUEL,LOW,2.0671235426500933,USA
201,Mccarty-Schmitt,FUEL,HIGH,1.6374773779882426,USA
202,Murphy-Wood,TRAVEL,LOW,2.5264127708694772,USA
203,Brown-Taylor,TRAVEL,LOW,1.3078562030320275,USA
204,"Cruz, Winters and Brown",RETAIL,LOW,1.876367846014849,USA
205,Dennis-Thomas,TRAVEL,LOW,1.0204815024976368,CAN
206,"Wilson, Maxwell and Barker",GROCERY,LOW,1.4268619072652027,USA
207,Davis Inc,GROCERY,LOW,1.2945828606684628,USA
208,Perez and Sons,GROCERY,LOW,1.1670532239121199,CAN
209,Wade and Sons,RETAIL,LOW,1.1342829195053197,DEU
210,Bell LLC,DIGITAL,LOW,1.1337880949369006,MEX
211,Rich-Bradley,RETAIL,LOW,1.72833170753466,USA
212,"Knapp, Walter and Oconnell",GROCERY,LOW,1.1528428994716076,USA
213,Reynolds and Sons,RETAIL,LOW,5.590026536442336,USA
214,Hall LLC,RETAIL,MED,2.4755879121111604,USA
215,"Garcia, Collins and Nelson",DINING,LOW,1.0506123998110088,DEU
216,"Palmer, Combs and Ortega",DIGITAL,LOW,1.496197864228625,DEU
217,Shelton PLC,RETAIL,LOW,1.1485484698442212,USA
218,Reeves-Nichols,RETAIL,LOW,3.2406278033399754,USA
219,Bell Inc,RETAIL,LOW,2.1956507977145265,USA
220,Murphy-Doyle,RETAIL,LOW,1.0926598115445083,USA
221,Mitchell PLC,GROCERY,LOW,1.628230827548587,CAN
222,"Smith, Weber and Tucker",GROCERY,LOW,1.0304462067279125,USA
223,Proctor Ltd,FUEL,LOW,1.163672820092608,USA
224,"Ellis, Torres and Pena",TRAVEL,LOW,1.073396422641762,CAN
225,Diaz-Bell,GROCERY,LOW,3.751876564537666,USA
226,"Mcdonald, Le and Alexander",DINING,LOW,1.1655327821966388,USA
227,Jones Group,GROCERY,LOW,3.2080297945668645,USA
228,"Mullins, Shepherd and Holder",DINING,LOW,1.5623080490858523,USA
229,Olsen Inc,RETAIL,LOW,2.9588011636251403,GBR
230,Wilkins Group,GROCERY,LOW,1.3408551055986055,USA
231,"Campbell, Barnett and Noble",DINING,MED,1.5397002620901956,USA
232,"Martinez, Adams and Thomas",DINING,LOW,4.502748089873634,USA
233,Craig-Bailey,RETAIL,LOW,1.1740319594313955,USA
234,Ibarra-Hunt,TRAVEL,LOW,1.0110769442593568,USA
235,Perez-Colon,RETAIL,LOW,2.2070337022742015,USA
236,"Jones, Parsons and James",DINING,LOW,1.3092874182419236,USA
237,Melendez LLC,DIGITAL,LOW,2.504650601650654,USA
238,Harris-Bell,TRAVEL,LOW,2.769463899163805,MEX
239,"Cabrera, Gilbert and Savage",FUEL,LOW,1.1440313643524265,USA
240,"Johnson, Chavez and Manning",RETAIL,LOW,1.6402553196596126,USA
241,"Scott, Taylor and Nelson",RETAIL,LOW,1.2234397263528642,USA
242,"Kim, Parsons and White",TRAVEL,LOW,1.2353412127166716,USA
243,"Mills, Chen and Alvarez",RETAIL,LOW,1.1302566559781855,USA
244,Brown LLC,DIGITAL,MED,1.1359014569305392,USA
245,Eaton-Mays,GROCERY,LOW,2.4264755951206682,CAN
246,Ellis Ltd,RETAIL,LOW,4.581168956150229,USA
247,Holland-Fuller,RETAIL,MED,1.6118623691886593,CAN
248,Sims-Barnett,DINING,LOW,1.0835982840909906,USA
249,"Sosa, Ross and Francis",DIGITAL,LOW,1.1123983529054222,USA
250,"Brown, Cortez and Moreno",RETAIL,HIGH,1.2812084415405538,DEU
251,Boyd-Saunders,DINING,LOW,1.2331818221869373,USA
252,Orr Inc,RETAIL,MED,1.2195236097083226,USA
253,"Vaughan, Miller and Wood",GROCERY,LOW,1.5389640057768104,GBR
254,Sanders Group,DIGITAL,LOW,1.2014324690451497,USA
255,"Mason, Barron and Herrera",DINING,LOW,1.0440768575234265,USA
256,"Villarreal, Reed and Mcdonald",FUEL,LOW,1.1701354383381495,MEX
257,"Bailey, Williams and Torres",DIGITAL,LOW,1.340935874274443,USA
258,"Nguyen, Phillips and Reid",GROCERY,LOW,8.263638217958189,MEX
259,Ramirez-Martin,RETAIL,LOW,1.0835347675878257,USA
260,Pratt-Hall,FUEL,LOW,1.2259753572838872,USA
261,Short-Fuller,GROCERY,LOW,1.3060172181087515,USA
262,Flowers-Lee,GROCERY,LOW,3.414525441421302,GBR
263,"Lawson, Parker and Moses",FUEL,LOW,1.1787941920458596,USA
264,Baker Group,FUEL,LOW,1.2117132509419584,USA
265,"Petersen, Ortiz and Walsh",RETAIL,LOW,2.395479976591612,USA
266,"Cook, Livingston and Henry",DINING,LOW,2.2298192691776597,USA
267,"Cook, Burnett and Murray",GROCERY,MED,1.8597055297559566,USA
268,Ward-Woodward,RETAIL,LOW,1.0172243938610932,USA
269,"Bryant, Davis and Jacobson",RETAIL,LOW,1.0709135948489998,USA
270,"Smith, Spears and Hamilton",GROCERY,LOW,3.3308416928906763,USA
271,"Harris, Sanders and Murray",DINING,LOW,5.47777339072931,USA
272,"Coleman, Hendrix and Lopez",DIGITAL,LOW,2.2445817527049496,USA
273,"Guerra, Cole and Sparks",TRAVEL,LOW,1.9470456068750008,GBR
274,"Johnston, Lopez and Garcia",GROCERY,LOW,1.0550542252766433,GBR
275,"Ortiz, Jones and Evans",DINING,LOW,1.451534097889235,USA
276,"Mendoza, West and Woods",RETAIL,MED,2.675283507160372,USA
277,Oliver and Sons,RETAIL,LOW,2.122345215874751,USA
278,Sandoval-Gonzalez,TRAVEL,LOW,1.052262084262655,USA
279,Mcguire-Thompson,RETAIL,LOW,1.264314468601221,MEX
280,Pugh-Holland,RETAIL,LOW,1.6756601213615305,USA
281,"Mccoy, Hill and Warner",FUEL,HIGH,1.083470759437358,USA
282,Price-Taylor,GROCERY,LOW,1.4697397727201065,USA
283,Todd PLC,DINING,LOW,2.5669209922305702,GBR
284,"Freeman, Morris and Scott",RETAIL,LOW,1.4538267180772726,USA
285,"Simmons, Reynolds and Williams",DIGITAL,LOW,1.0843029260519454,USA
286,"Hughes, Simpson and Kemp",RETAIL,LOW,1.1101912776494653,USA
287,Arnold Inc,RETAIL,MED,4.003766500130682,GBR
288,"Bonilla, Morgan and Todd",GROCERY,LOW,6.137360771711959,MEX
289,Munoz Inc,FUEL,LOW,1.0912725945215938,GBR
290,Perez-Morris,GROCERY,LOW,1.0039335555812465,USA
291,"Miller, Weaver and Perry",TRAVEL,LOW,1.306822497426412,GBR
292,Hartman PLC,DINING,LOW,1.0826341790972769,USA
293,Johnson Ltd,RETAIL,LOW,1.0869020276288435,USA
294,Mcmahon Inc,FUEL,LOW,1.7599424576623257,USA
295,Fuller Inc,RETAIL,LOW,1.2121744410511381,USA
296,"Perez, Dudley and Gonzalez",RETAIL,LOW,1.6244836599315262,USA
297,"Phillips, Carr and Stark",GROCERY,LOW,1.0517379341105222,CAN
298,Rivera-Eaton,RETAIL,LOW,1.0400529873590338,USA
299,"Mckinney, Farrell and Austin",DIGITAL,MED,1.179176621065436,USA
300,"Beard, Lopez and Richard",FUEL,LOW,1.245241468002454,USA
301,Vaughn and Sons,GROCERY,LOW,1.9134964750174805,CAN
302,"Palmer, Oconnor and Patrick",TRAVEL,LOW,1.081517165536713,USA
303,"Lee, Wilkinson and Trevino",DINING,MED,1.1372876549228532,USA
304,"Colon, Weiss and Wagner",DINING,LOW,4.5237498517806305,USA
305,"Lopez, Smith and Ho",GROCERY,LOW,1.65698573943594,USA
306,"Gordon, Yang and Hall",GROCERY,LOW,1.292605866230538,USA
307,"Ferguson, Choi and Evans",RETAIL,LOW,1.1245453844241613,USA
308,"Alvarez, Gonzalez and Cooper",TRAVEL,HIGH,1.0414355346331643,USA
309,Ramsey Inc,GROCERY,LOW,1.2036661121730414,USA
310,Bridges-Mcbride,DINING,LOW,1.9502162237733682,USA
311,Mendoza and Sons,GROCERY,LOW,2.1071499081643306,USA
312,"Gray, Perez and Williams",RETAIL,LOW,4.7118647303897365,USA
313,Mullins-Young,RETAIL,LOW,2.7556697880456205,USA
314,"Melton, Diaz and Flores",RETAIL,MED,2.0897772791247635,USA
315,"Johnson, Williams and Stevenson",RETAIL,LOW,1.3568961287932877,DEU
316,Smith-Martin,DINING,LOW,2.0721596669324445,USA
317,Kelley-Pratt,TRAVEL,LOW,2.135732610958608,USA
318,Osborne and Sons,FUEL,LOW,1.0565775243863662,USA
319,Yu Inc,FUEL,LOW,2.1246526912228467,USA
320,Carter-Perry,DINING,MED,1.6763557313125363,USA
321,"Ward, Tate and Lopez",RETAIL,LOW,1.6826445504602634,AUS
322,Jackson-Smith,RETAIL,MED,2.9180959594826072,GBR
323,Griffith PLC,GROCERY,LOW,1.6674855474085544,USA
324,"Brady, Miller and King",RETAIL,LOW,1.0404197868539693,USA
325,Arnold-Padilla,DINING,LOW,1.573971600530692,USA
326,"Ramirez, Richardson and Taylor",TRAVEL,LOW,1.008445087526904,GBR
327,"Dudley, Perez and Davis",RETAIL,LOW,1.1133902747049855,USA
328,Banks-Turner,DIGITAL,HIGH,1.252281130477281,USA
329,Pierce-Hull,GROCERY,LOW,1.5444049164145146,USA
330,Smith Group,GROCERY,LOW,1.1245805730491318,USA
331,Robertson Ltd,RETAIL,HIGH,1.141251322756767,USA
332,"Reynolds, Dillon and Woods",DIGITAL,LOW,1.2934502159330332,USA
333,Johnson LLC,DINING,LOW,1.6576339161863156,USA
334,"Carter, Gomez and Grant",GROCERY,LOW,3.2162850851400764,USA
335,Carrillo Group,GROCERY,MED,2.4766644747117703,USA
336,"Edwards, Wright and Peters",DINING,LOW,1.0701073300257802,USA
337,Gregory Inc,DIGITAL,LOW,1.0412090915102798,USA
338,Schultz-Cook,TRAVEL,HIGH,1.2301124841450206,USA
339,Brooks Group,DIGITAL,LOW,1.0890388930884594,USA
340,Lopez Group,DIGITAL,LOW,1.2629191766298558,USA
341,Thompson-Johnson,GROCERY,MED,1.0140217643825828,USA
342,Rice Group,RETAIL,HIGH,1.6077970768156233,USA
343,Ponce and Sons,FUEL,LOW,1.1491089544081876,USA
344,Henderson-Bowers,RETAIL,LOW,1.05730186973174,USA
345,Green-Washington,RETAIL,MED,1.1729978234156053,USA
346,"Peterson, Fisher and Lopez",RETAIL,LOW,1.1512628926609276,USA
347,Conley-Chan,RETAIL,LOW,2.2657423326389607,USA
348,"Guzman, Flores and Barron",DINING,MED,1.3652078948601836,USA
349,Hernandez-Nelson,GROCERY,LOW,1.3695708173585661,USA
350,Navarro-Black,DINING,LOW,1.951725065960777,USA
351,"Martinez, Porter and Fernandez",RETAIL,LOW,1.1976144374527853,GBR
352,"Schwartz, Snyder and Smith",GROCERY,LOW,2.751433880485829,DEU
353,Patel-Stone,FUEL,LOW,7.406369916444162,USA
354,Hansen-Clark,RETAIL,LOW,1.559571209429112,CAN
355,Burgess-Costa,GROCERY,MED,1.3458899787057872,CAN
356,Blanchard Group,DINING,LOW,1.6030463250952425,USA
357,Adkins-Brooks,RETAIL,LOW,1.088287720990476,USA
358,Nguyen Group,RETAIL,LOW,1.0369128043836344,USA
359,Owen-Harmon,GROCERY,MED,1.1500299177786268,USA
360,Pena-Richards,DINING,MED,3.114540263547264,USA
361,French-Clark,GROCERY,LOW,1.2991093469106632,CAN
362,Ruiz-Stephens,GROCERY,LOW,1.9405918415989256,USA
363,Romero-Lopez,DIGITAL,LOW,1.2408602601885663,USA
364,Williams Group,DIGITAL,MED,1.459849873287539,CAN
365,"Snyder, Ball and Maldonado",RETAIL,LOW,1.0353453174863907,USA
366,Cooper-Miller,DINING,LOW,1.7037357117880012,CAN
367,Lewis Inc,GROCERY,LOW,1.0126598630539876,USA
368,Morales PLC,GROCERY,LOW,1.139685975128006,USA
369,"Gutierrez, Reynolds and Bradley",DIGITAL,LOW,4.327557616713454,USA
370,Vasquez Inc,RETAIL,LOW,1.5965325592498603,USA
371,Morris-Smith,DINING,LOW,1.9190350368554097,USA
372,Conley Inc,FUEL,LOW,1.014845564051285,MEX
373,Watson-Cruz,DINING,LOW,1.2905582475446935,USA
374,"Simmons, Walker and Morales",FUEL,LOW,2.0415585008177133,USA
375,Hawkins Group,GROCERY,LOW,1.2519026706736147,USA
376,Hodges Inc,RETAIL,LOW,1.2673170790678165,USA
377,Lopez-Coleman,DIGITAL,LOW,1.6578686654692314,CAN
378,"Roberts, Coleman and Larson",FUEL,MED,1.4798203816749291,USA
379,Garner LLC,DIGITAL,LOW,1.1405387546291361,USA
380,"Buchanan, Johnson and Ward",DINING,LOW,2.6708963392475,USA
381,Webb-Barnes,DINING,LOW,1.231704611100618,CAN
382,Martinez-Guerrero,GROCERY,LOW,1.8886022760109682,MEX
383,Yoder-Pittman,GROCERY,LOW,1.0117459248519274,USA
384,Velasquez Ltd,TRAVEL,LOW,1.3664031015467648,USA
385,"Peck, Kirk and Miller",RETAIL,LOW,1.0096510920102182,GBR
386,Mitchell Inc,FUEL,LOW,1.121801508763717,USA
387,Hicks-Valdez,RETAIL,LOW,1.0214258735684412,DEU
388,Pruitt-Schwartz,GROCERY,MED,1.3793073318598192,USA
389,Gregory LLC,GROCERY,MED,1.0430004397249575,USA
390,Wilson Ltd,DINING,MED,1.521545141466098,USA
391,Brown Ltd,TRAVEL,LOW,1.1737011146867011,USA
392,"Scott, Williams and Osborne",DINING,LOW,1.5617953085631768,USA
393,Smith-Wright,DINING,LOW,1.6474821036533285,CAN
394,Perry-English,FUEL,LOW,1.6426363891115086,GBR
395,"Martin, Becker and Nguyen",DIGITAL,LOW,1.3227732298255845,USA
396,"Hunter, Joseph and Walker",RETAIL,LOW,1.8716609642472393,USA
397,"Ruiz, Mitchell and Parker",RETAIL,LOW,1.5086538266085867,USA
398,Williams-Diaz,GROCERY,LOW,2.5267294660094564,USA
399,Harrison-Bennett,DINING,LOW,1.2335176072296228,USA
400,"Johnson, Ramirez and Walsh",FUEL,MED,1.0287673157952155,USA
401,Ellis-Murphy,DINING,LOW,3.0300343331408763,USA
402,"Ellis, Martin and Hill",DIGITAL,LOW,1.2946693237990081,USA
403,"Crawford, Martin and Cohen",GROCERY,LOW,2.100965498505279,MEX
