DateId,DateKey,CalendarDate,Year,Quarter,Month,WeekOfYear,DayOfWeek,IsWeekend
96,20260406,2026-04-06,2026,2,4,15,1,False
97,20260407,2026-04-07,2026,2,4,15,2,False
98,20260408,2026-04-08,2026,2,4,15,3,False
99,20260409,2026-04-09,2026,2,4,15,4,False
100,20260410,2026-04-10,2026,2,4,15,5,False
101,20260411,2026-04-11,2026,2,4,15,6,True
102,20260412,2026-04-12,2026,2,4,15,7,True
103,20260413,2026-04-13,2026,2,4,16,1,False
104,20260414,2026-04-14,2026,2,4,16,2,False
105,20260415,2026-04-15,2026,2,4,16,3,False
106,20260416,2026-04-16,2026,2,4,16,4,False
107,20260417,2026-04-17,2026,2,4,16,5,False
108,20260418,2026-04-18,2026,2,4,16,6,True
109,20260419,2026-04-19,2026,2,4,16,7,True
110,20260420,2026-04-20,2026,2,4,17,1,False
111,20260421,2026-04-21,2026,2,4,17,2,False
112,20260422,2026-04-22,2026,2,4,17,3,False
113,20260423,2026-04-23,2026,2,4,17,4,False
114,20260424,2026-04-24,2026,2,4,17,5,False
115,20260425,2026-04-25,2026,2,4,17,6,True
116,20260426,2026-04-26,2026,2,4,17,7,True
117,20260427,2026-04-27,2026,2,4,18,1,False
118,20260428,2026-04-28,2026,2,4,18,2,False
119,20260429,2026-04-29,2026,2,4,18,3,False
120,20260430,2026-04-30,2026,2,4,18,4,False
121,20260501,2026-05-01,2026,2,5,18,5,False
122,20260502,2026-05-02,2026,2,5,18,6,True
123,20260503,2026-05-03,2026,2,5,18,7,True
124,20260504,2026-05-04,2026,2,5,19,1,False
125,20260505,2026-05-05,2026,2,5,19,2,False
126,20260506,2026-05-06,2026,2,5,19,3,False
127,20260507,2026-05-07,2026,2,5,19,4,False
128,20260508,2026-05-08,2026,2,5,19,5,False
129,20260509,2026-05-09,2026,2,5,19,6,True
130,20260510,2026-05-10,2026,2,5,19,7,True
131,20260511,2026-05-11,2026,2,5,20,1,False
132,20260512,2026-05-12,2026,2,5,20,2,False
133,20260513,2026-05-13,2026,2,5,20,3,False
134,20260514,2026-05-14,2026,2,5,20,4,False
135,20260515,2026-05-15,2026,2,5,20,5,False
136,20260516,2026-05-16,2026,2,5,20,6,True
137,20260517,2026-05-17,2026,2,5,20,7,True
138,20260518,2026-05-18,2026,2,5,21,1,False
139,20260519,2026-05-19,2026,2,5,21,2,False
140,20260520,2026-05-20,2026,2,5,21,3,False
141,20260521,2026-05-21,2026,2,5,21,4,False
142,20260522,2026-05-22,2026,2,5,21,5,False
143,20260523,2026-05-23,2026,2,5,21,6,True
144,20260524,2026-05-24,2026,2,5,21,7,True
145,20260525,2026-05-25,2026,2,5,22,1,False
146,20260526,2026-05-26,2026,2,5,22,2,False
147,20260527,2026-05-27,2026,2,5,22,3,False
148,20260528,2026-05-28,2026,2,5,22,4,False
149,20260529,2026-05-29,2026,2,5,22,5,False
150,20260530,2026-05-30,2026,2,5,22,6,True
151,20260531,2026-05-31,2026,2,5,22,7,True
152,20260601,2026-06-01,2026,2,6,23,1,False
153,20260602,2026-06-02,2026,2,6,23,2,False
154,20260603,2026-06-03,2026,2,6,23,3,False
155,20260604,2026-06-04,2026,2,6,23,4,False
156,20260605,2026-06-05,2026,2,6,23,5,False
157,20260606,2026-06-06,2026,2,6,23,6,True
158,20260607,2026-06-07,2026,2,6,23,7,True
159,20260608,2026-06-08,2026,2,6,24,1,False
160,20260609,2026-06-09,2026,2,6,24,2,False
161,20260610,2026-06-10,2026,2,6,24,3,False
162,20260611,2026-06-11,2026,2,6,24,4,False
163,20260612,2026-06-12,2026,2,6,24,5,False
164,20260613,2026-06-13,2026,2,6,24,6,True
165,20260614,2026-06-14,2026,2,6,24,7,True
166,20260615,2026-06-15,2026,2,6,25,1,False
167,20260616,2026-06-16,2026,2,6,25,2,False
168,20260617,2026-06-17,2026,2,6,25,3,False
169,20260618,2026-06-18,2026,2,6,25,4,False
170,20260619,2026-06-19,2026,2,6,25,5,False
171,20260620,2026-06-20,2026,2,6,25,6,True
172,20260621,2026-06-21,2026,2,6,25,7,True
173,20260622,2026-06-22,2026,2,6,26,1,False
174,20260623,2026-06-23,2026,2,6,26,2,False
175,20260624,2026-06-24,2026,2,6,26,3,False
176,20260625,2026-06-25,2026,2,6,26,4,False
177,20260626,2026-06-26,2026,2,6,26,5,False
178,20260627,2026-06-27,2026,2,6,26,6,True
179,20260628,2026-06-28,2026,2,6,26,7,True
180,20260629,2026-06-29,2026,2,6,27,1,False
