SalesOrderLineId,SalesOrderId,LineNumber,Customer,Product,ShipFromLocation,ShipToLocation,OrderDate,RequestedShipDate,PromisedDeliveryDate,ActualDeliveryDate,OrderedQty,AllocatedQty,ShippedQty,BackorderedQty,UnitSellPrice,Status,Channel
54,100031,1,38,182,5,16,149,151,152,155.0,3,2,1,2,18.02,Delivered,Ecomm
55,100032,1,57,64,1,24,130,133,139,,1,0,0,1,10.7,Open,B2B
56,100032,2,225,80,18,7,58,62,65,,4,1,0,4,5.07,Open,Store
57,100032,3,12,134,18,8,2,5,9,,2,1,0,2,44.39,Open,Store
58,100033,1,248,71,31,24,5,8,15,,2,1,0,2,20.84,Open,B2B
59,100034,1,251,87,14,7,151,153,155,155.0,3,2,1,2,13.91,Delivered,Store
60,100035,1,19,40,23,35,47,51,56,,2,1,0,2,10.36,Open,Store
61,100035,2,200,161,23,16,66,67,68,,3,1,0,3,9.59,Open,B2B
62,100036,1,269,10,25,8,21,24,31,,2,0,0,2,34.69,Open,Store
63,100037,1,195,36,5,7,8,10,13,,2,1,0,2,9.6,Open,Store
64,100037,2,297,73,23,8,30,33,38,,2,1,0,2,4.87,Open,Store
65,100037,3,149,191,25,34,73,75,77,,2,1,0,2,19.82,Open,Store
66,100038,1,41,98,31,27,19,22,23,24.0,5,4,3,2,6.8,Delivered,Ecomm
67,100038,2,142,79,23,10,169,172,173,,4,3,2,2,25.98,PartShipped,Store
68,100039,1,207,138,23,27,36,38,44,,2,1,0,2,16.3,Open,Ecomm
69,100040,1,112,12,9,27,180,180,180,,2,1,0,2,10.13,Open,Ecomm
70,100041,1,129,185,30,24,93,95,96,,3,1,0,3,20.47,Open,B2B
71,100042,1,131,79,18,2,47,49,55,,1,0,0,1,24.31,Open,Store
72,100043,1,105,144,25,16,180,180,180,,3,1,0,3,15.77,Open,B2B
73,100043,2,280,23,18,39,140,141,143,,1,0,0,1,4.6,Cancelled,Store
74,100044,1,71,147,32,3,108,109,116,,2,1,0,2,58.54,Open,Ecomm
75,100045,1,112,138,18,27,103,105,109,,2,1,0,2,17.04,Open,B2B
76,100045,2,72,132,9,20,168,172,177,,1,0,0,1,36.67,Open,Store
77,100045,3,266,21,25,11,74,77,81,82.0,4,3,2,2,5.9,Delivered,Store
78,100046,1,111,38,14,12,32,35,37,,1,0,0,1,12.44,Open,Store
79,100047,1,153,22,32,13,60,62,66,69.0,4,3,2,2,5.38,Delivered,Store
80,100047,2,257,192,32,28,172,174,179,,4,3,2,2,14.17,PartShipped,Store
81,100047,3,151,179,31,33,100,101,102,,1,0,0,1,8.15,Open,Store
82,100048,1,197,116,31,10,162,164,167,,1,0,0,1,26.86,Open,Store
83,100049,1,221,135,14,38,13,15,21,,2,1,0,2,30.5,Open,Store
84,100049,2,56,147,1,28,167,168,173,173.0,3,2,1,2,58.24,Delivered,Store
85,100049,3,300,84,18,33,100,104,107,,3,1,0,3,5.16,Open,Store
86,100050,1,148,4,23,39,16,17,18,,2,1,0,2,8.83,Open,Store
87,100051,1,201,98,23,3,44,45,52,53.0,3,2,1,2,6.51,Delivered,Ecomm
88,100051,2,35,149,30,2,136,139,144,144.0,4,2,1,3,19.94,Delivered,Store
89,100052,1,257,58,18,11,157,158,163,,1,0,0,1,15.88,Open,Store
90,100053,1,293,199,23,3,158,159,163,,1,0,0,1,5.59,Open,B2B
91,100054,1,236,16,18,16,121,123,124,,2,1,0,2,12.91,Open,Ecomm
92,100054,2,170,64,9,16,136,137,141,144.0,3,2,1,2,10.29,Delivered,B2B
93,100055,1,144,102,32,28,68,69,74,,1,0,0,1,33.69,Open,Store
94,100055,2,34,72,9,11,98,102,107,,2,1,0,2,5.83,Open,Store
95,100055,3,55,23,32,16,175,177,178,,4,1,0,4,4.53,Open,Ecomm
96,100055,4,56,185,23,39,18,22,29,,3,0,0,3,21.81,Cancelled,Store
97,100055,5,79,110,18,38,133,137,138,,3,0,0,3,13.01,Cancelled,Store
98,100056,1,249,28,18,24,81,85,86,,1,0,0,1,19.64,Open,Ecomm
99,100056,2,212,50,31,37,33,35,41,,1,0,0,1,9.33,Open,Store
100,100056,3,241,3,25,7,11,12,18,21.0,3,2,1,2,20.33,Delivered,Store
101,100057,1,124,200,25,33,116,119,125,,2,1,0,2,3.29,Open,Store
102,100057,2,238,15,9,11,175,179,180,,2,1,0,2,15.44,Open,Store
103,100058,1,218,84,23,27,176,177,180,,2,1,0,2,5.04,Open,B2B
104,100059,1,199,114,31,27,131,133,138,,2,1,0,2,6.28,Open,Ecomm
105,100060,1,36,146,23,36,88,92,98,,1,0,0,1,9.45,Open,Store
106,100061,1,240,114,32,13,99,102,106,106.0,4,3,2,2,6.22,Delivered,Store
107,100061,2,32,20,18,7,44,46,50,53.0,3,2,1,2,9.9,Delivered,Store
108,100062,1,129,141,25,27,71,73,79,,1,0,0,1,45.3,Open,Ecomm
109,100063,1,161,26,18,3,75,79,81,83.0,3,2,1,2,4.18,Delivered,Ecomm
110,100063,2,193,153,1,13,29,32,39,41.0,5,2,1,4,19.45,Delivered,Store
111,100063,3,83,144,18,16,86,87,88,88.0,3,2,1,2,15.46,Delivered,Ecomm
112,100064,1,216,128,30,27,175,179,180,180.0,4,3,2,2,14.04,Delivered,Ecomm
113,100065,1,162,121,31,3,104,106,107,,1,0,0,1,7.99,Open,Ecomm
114,100065,2,233,138,14,39,6,9,10,9.0,3,2,1,2,16.15,Delivered,Store
115,100065,3,257,39,32,28,147,151,158,,1,0,0,1,8.07,Open,Store
116,100066,1,4,108,30,35,64,67,72,,2,1,0,2,16.41,Open,Store
117,100066,2,238,98,31,11,73,74,78,78.0,3,2,1,2,6.51,Delivered,Store
118,100066,3,297,108,18,24,67,71,74,,1,0,0,1,14.89,Cancelled,B2B
119,100067,1,266,143,23,20,107,110,114,,3,1,0,3,6.65,Open,Store
120,100068,1,283,40,32,36,117,119,125,,3,2,1,2,10.84,PartShipped,Store
121,100068,2,70,56,30,24,116,120,121,,1,0,0,1,4.97,Open,Ecomm
122,100068,3,170,26,23,11,58,61,64,,1,0,0,1,4.23,Open,Store
123,100069,1,211,176,23,22,136,137,138,,1,0,0,1,12.46,Open,Store
124,100070,1,70,158,18,38,38,41,44,,3,2,1,2,18.82,PartShipped,Store
125,100070,2,140,149,23,33,85,86,88,,2,1,0,2,20.98,Open,Store
126,100071,1,189,141,1,24,5,7,12,,2,1,0,2,48.92,Open,B2B
127,100071,2,274,174,23,13,133,135,138,138.0,3,2,1,2,8.19,Delivered,Store
128,100071,3,28,6,23,3,19,21,28,,1,0,0,1,26.57,Open,Ecomm
129,100072,1,126,173,30,36,6,9,13,,1,0,0,1,8.21,Open,Store
130,100073,1,246,172,5,34,14,15,20,20.0,3,2,1,2,23.92,Delivered,Store
131,100074,1,34,164,32,16,89,93,94,,2,0,0,2,26.79,Cancelled,B2B
132,100075,1,71,102,32,33,162,164,170,,1,0,0,1,34.9,Open,Store
133,100076,1,26,37,31,20,118,121,125,126.0,3,2,1,2,11.01,Delivered,Store
134,100077,1,222,187,25,20,8,9,15,,1,0,0,1,6.24,Open,Store
135,100078,1,154,161,31,24,40,41,44,,1,0,0,1,9.78,Open,Ecomm
136,100079,1,44,159,9,36,23,27,29,,2,1,0,2,9.12,Open,Store
137,100079,2,272,71,30,13,167,171,178,,2,1,0,2,19.36,Open,Store
138,100080,1,242,54,23,27,45,47,53,,1,0,0,1,10.17,Open,Ecomm
139,100080,2,24,123,1,13,120,121,122,,1,0,0,1,6.69,Open,Store
140,100080,3,270,177,1,38,133,134,135,138.0,3,2,1,2,72.9,Delivered,Store
141,100081,1,30,123,25,7,31,33,36,,1,0,0,1,6.45,Open,Store
142,100081,2,61,75,9,36,75,79,84,,3,2,0,3,32.11,Open,Store
143,100081,3,68,97,1,21,46,47,48,47.0,4,3,2,2,54.25,Delivered,Store
144,100082,1,275,85,31,10,109,112,118,120.0,3,2,1,2,4.07,Delivered,Store
145,100083,1,244,71,25,40,44,46,50,,4,0,0,4,20.95,Cancelled,Store
146,100084,1,89,113,9,33,116,117,118,,1,0,0,1,16.84,Open,Store
147,100084,2,135,94,32,16,156,157,161,,2,1,0,2,18.28,Open,Ecomm
148,100084,3,143,27,31,24,36,40,45,45.0,3,2,1,2,15.32,Delivered,Ecomm
149,100085,1,290,69,31,12,122,123,127,,1,0,0,1,13.67,Open,Store
150,100086,1,134,82,30,24,116,117,119,,2,1,0,2,18.07,Open,B2B
151,100087,1,226,159,32,24,32,36,40,,2,1,0,2,9.57,Open,Ecomm
152,100087,2,146,49,5,33,95,98,99,102.0,4,3,2,2,7.78,Delivered,Store
153,100087,3,185,27,18,20,1,4,5,,2,1,0,2,17.07,Open,Store
154,100088,1,211,127,30,3,11,14,17,,2,1,0,2,19.75,Open,B2B
155,100089,1,28,191,9,7,117,121,127,,1,0,0,1,20.08,Open,Store
156,100090,1,62,3,32,27,5,9,12,,2,0,0,2,21.15,Open,Ecomm
157,100091,1,299,70,18,2,63,64,70,,2,1,0,2,11.56,Open,Store
158,100091,2,61,4,14,36,135,136,143,,1,0,0,1,9.37,Open,Store
159,100092,1,70,35,14,16,10,11,14,16.0,3,2,1,2,12.68,Delivered,B2B
160,100093,1,31,118,30,29,66,69,70,71.0,4,2,1,3,12.98,Delivered,Store
161,100094,1,83,119,9,7,47,51,56,,1,0,0,1,89.77,Open,Store
162,100095,1,5,93,32,33,5,6,11,14.0,3,2,1,2,10.08,Delivered,Store
163,100095,2,226,172,1,11,39,41,48,48.0,3,2,1,2,23.46,Delivered,Store
164,100096,1,239,142,18,3,119,123,130,,2,1,0,2,5.64,Open,Ecomm
165,100097,1,167,57,30,38,168,172,174,,3,1,0,3,6.44,Open,Store
166,100098,1,201,138,5,35,138,140,144,,1,0,0,1,15.98,Open,Store
167,100099,1,258,36,23,20,139,143,147,147.0,3,2,1,2,9.51,Delivered,Store
168,100100,1,262,83,1,12,41,45,49,,2,1,0,2,5.57,Open,Store
169,100100,2,126,132,14,35,144,148,152,,2,0,0,2,36.01,Open,Store
170,100101,1,47,129,9,24,99,101,102,103.0,3,2,1,2,3.54,Delivered,Ecomm
171,100101,2,180,68,30,27,38,41,43,,2,1,0,2,11.03,Open,Ecomm
172,100102,1,147,159,1,21,13,15,17,,3,1,0,3,9.32,Open,Store
173,100103,1,249,148,30,37,77,80,86,,1,0,0,1,25.31,Open,Store
174,100104,1,158,113,9,2,48,49,51,,1,0,0,1,17.03,Open,Store
175,100105,1,242,82,5,3,98,101,108,,2,1,0,2,17.68,Open,B2B
176,100106,1,189,123,30,33,16,18,25,,1,0,0,1,6.86,Open,Store
177,100106,2,79,127,30,12,129,133,140,,3,1,0,3,20.06,Open,Store
178,100107,1,230,2,1,27,118,122,127,,4,3,2,2,11.24,PartShipped,B2B
179,100108,1,20,152,18,24,173,174,178,178.0,7,6,5,2,30.06,Delivered,Ecomm
180,100108,2,272,182,23,3,42,46,50,,3,2,1,2,16.86,PartShipped,B2B
181,100109,1,232,85,5,33,110,114,116,115.0,4,3,2,2,4.32,Delivered,Store
182,100110,1,140,44,14,11,74,77,82,84.0,3,2,1,2,13.6,Delivered,Store
183,100111,1,115,147,5,24,63,67,72,,2,1,0,2,58.66,Open,Ecomm
184,100111,2,135,107,31,3,25,28,30,33.0,3,2,1,2,27.51,Delivered,Ecomm
185,100112,1,282,95,1,3,98,102,106,,1,0,0,1,6.81,Open,B2B
186,100113,1,110,92,25,40,20,22,28,,2,1,0,2,12.82,Open,Store
187,100114,1,112,65,30,8,30,34,39,,2,1,0,2,2.87,Open,Store
188,100115,1,198,59,25,24,31,33,38,,2,1,0,2,4.09,Open,Ecomm
189,100116,1,161,23,1,21,124,128,135,135.0,4,3,2,2,4.43,Delivered,Store
190,100116,2,151,44,14,36,5,9,16,,1,0,0,1,12.98,Open,Store
191,100117,1,94,144,18,2,47,51,54,,3,2,1,2,15.62,PartShipped,Store
192,100117,2,103,26,25,13,158,160,161,162.0,4,3,2,2,4.39,Delivered,Store
193,100117,3,45,135,32,24,6,9,14,13.0,3,2,1,2,30.63,Delivered,Ecomm
194,100118,1,65,134,23,36,88,91,93,96.0,3,2,1,2,41.27,Delivered,Store
195,100119,1,248,66,30,24,121,122,128,,3,1,0,3,6.31,Open,Ecomm
196,100119,2,222,166,23,28,122,123,127,130.0,4,2,1,3,29.93,Delivered,Store
197,100120,1,167,149,5,13,178,180,180,,3,2,1,2,19.48,PartShipped,Store
198,100121,1,109,14,1,3,150,152,153,,2,1,0,2,4.75,Open,Ecomm
199,100121,2,22,131,31,3,105,107,110,,2,1,0,2,10.8,Open,Ecomm
200,100122,1,6,14,31,20,38,41,45,,2,1,0,2,4.64,Open,Store
201,100122,2,253,155,5,10,114,116,120,,2,1,0,2,14.4,Open,Store
202,100122,3,100,49,32,29,172,175,176,175.0,4,3,2,2,7.97,Delivered,Store
203,100122,4,87,152,32,29,59,63,68,,2,1,0,2,31.96,Open,Store
204,100123,1,229,14,25,37,110,114,117,,2,1,0,2,4.56,Open,Store
205,100123,2,253,88,23,2,23,24,26,28.0,3,2,1,2,34.32,Delivered,Store
206,100124,1,64,151,32,38,89,90,97,,1,0,0,1,34.11,Open,Store
207,100125,1,175,115,31,3,25,27,34,,2,1,0,2,9.22,Open,Ecomm
208,100126,1,221,19,23,34,171,173,174,,3,1,0,3,17.36,Open,Store
209,100126,2,42,130,25,16,154,155,160,,1,0,0,1,41.35,Open,Ecomm
210,100126,3,259,160,18,27,40,43,45,,2,1,0,2,7.47,Open,Ecomm
211,100127,1,49,17,9,24,169,171,177,,1,0,0,1,4.54,Open,Ecomm
212,100127,2,240,37,23,29,50,52,54,,1,0,0,1,11.0,Open,Store
213,100128,1,202,103,25,22,159,160,166,,1,0,0,1,42.15,Open,Store
214,100129,1,68,34,32,12,125,129,131,,2,1,0,2,37.7,Open,Store
215,100130,1,78,111,25,24,108,110,117,,3,1,0,3,12.27,Open,Ecomm
216,100131,1,3,39,32,40,109,110,113,,2,1,0,2,7.77,Open,Store
217,100131,2,224,117,9,7,100,104,109,,1,0,0,1,23.37,Open,Store
218,100132,1,194,182,18,21,7,11,17,,2,0,0,2,16.93,Open,Store
219,100132,2,166,98,32,39,39,41,47,47.0,3,2,1,2,6.59,Delivered,Store
220,100132,3,24,158,9,16,178,180,180,,1,0,0,1,18.74,Open,Ecomm
221,100132,4,33,84,25,10,164,166,170,,2,0,0,2,4.86,Cancelled,Store
222,100132,5,266,105,25,20,83,86,89,,1,0,0,1,22.08,Open,Store
223,100132,6,98,176,31,2,92,95,98,,2,1,0,2,12.72,Open,Store
224,100132,7,277,91,5,33,77,81,86,,2,1,0,2,10.79,Open,Store
225,100133,1,286,168,31,13,115,116,123,125.0,4,3,2,2,13.41,Delivered,Store
226,100134,1,233,165,9,21,32,33,35,,2,1,0,2,19.83,Open,Store
227,100135,1,32,180,9,33,176,178,179,178.0,6,5,4,2,20.19,Delivered,Store
228,100135,2,164,125,14,34,50,53,60,,3,1,0,3,24.96,Open,Store
229,100135,3,81,174,14,37,71,75,80,,2,1,0,2,8.6,Open,Store
230,100135,4,240,59,23,27,140,141,146,148.0,3,2,1,2,4.14,Delivered,Ecomm
231,100136,1,211,98,14,3,71,73,74,,1,0,0,1,6.51,Cancelled,Ecomm
232,100137,1,48,85,32,35,96,97,104,,4,1,0,4,4.23,Open,Store
233,100138,1,125,46,9,20,126,130,131,132.0,4,3,2,2,12.0,Delivered,Store
234,100139,1,135,19,25,27,32,35,38,,1,0,0,1,15.67,Open,Ecomm
235,100139,2,111,169,30,3,121,122,124,124.0,3,2,1,2,14.0,Delivered,Ecomm
236,100140,1,100,93,23,40,148,150,156,,2,1,0,2,10.95,Open,Store
237,100140,2,201,73,32,24,23,27,32,35.0,3,2,1,2,4.99,Delivered,Ecomm
238,100140,3,11,147,32,28,14,16,22,,1,0,0,1,59.51,Open,Store
239,100141,1,287,194,23,11,38,41,48,,2,1,0,2,13.21,Open,Store
240,100142,1,79,195,30,24,71,73,80,83.0,4,3,2,2,6.41,Delivered,Ecomm
241,100143,1,111,167,30,3,58,59,64,,2,1,0,2,33.25,Open,Ecomm
242,100143,2,64,34,30,16,122,123,129,,1,0,0,1,37.99,Open,Ecomm
243,100143,3,82,100,1,3,4,8,9,11.0,5,4,3,2,4.44,Delivered,B2B
244,100144,1,114,58,30,39,62,64,68,,2,1,0,2,15.94,Open,Store
245,100145,1,21,148,5,27,118,121,126,,1,0,0,1,24.2,Open,B2B
246,100146,1,200,128,23,3,99,103,109,108.0,4,3,2,2,14.78,Delivered,B2B
247,100146,2,276,141,23,34,6,9,12,,5,4,3,2,50.58,PartShipped,Store
248,100147,1,40,29,14,7,63,64,67,,2,1,0,2,3.39,Open,Store
249,100148,1,46,104,1,21,65,67,74,,1,0,0,1,29.42,Open,Store
250,100148,2,18,131,30,16,148,151,158,,2,1,0,2,10.49,Open,Ecomm
251,100149,1,227,115,5,3,25,28,31,,2,1,0,2,9.93,Open,Ecomm
252,100149,2,225,30,31,24,177,180,180,,1,0,0,1,38.89,Open,Ecomm
253,100150,1,136,81,25,27,131,132,133,,4,0,0,4,11.8,Cancelled,Ecomm
254,100151,1,233,42,14,16,27,31,36,,2,1,0,2,26.28,Open,Ecomm
255,100151,2,19,74,23,3,25,27,30,,1,0,0,1,12.55,Open,Ecomm
256,100152,1,271,173,31,39,33,37,44,44.0,3,2,1,2,8.66,Delivered,Store
257,100153,1,175,31,5,39,82,86,87,,1,0,0,1,12.45,Open,Store
258,100154,1,9,178,1,7,146,148,154,,1,0,0,1,32.54,Open,Store
259,100155,1,143,160,30,39,153,156,157,,2,1,0,2,6.96,Open,Store
260,100156,1,55,11,30,24,60,63,70,72.0,3,2,1,2,15.07,Delivered,Ecomm
261,100157,1,86,194,18,36,117,120,126,,1,0,0,1,13.4,Open,Store
262,100157,2,191,57,31,37,47,48,50,52.0,3,2,1,2,6.48,Delivered,Store
263,100158,1,100,26,14,27,16,19,26,,1,0,0,1,4.4,Open,Ecomm
264,100158,2,38,113,9,11,159,162,165,,1,0,0,1,18.19,Open,Store
265,100158,3,135,173,1,12,158,161,168,,2,0,0,2,8.13,Cancelled,Store
266,100158,4,23,37,18,3,70,72,78,,2,1,0,2,10.89,Open,B2B
267,100159,1,277,7,32,33,151,154,161,,1,0,0,1,9.02,Open,Store
268,100160,1,235,54,25,7,39,43,44,,3,2,1,2,10.54,PartShipped,Store
269,100161,1,74,58,1,3,85,87,91,94.0,5,4,3,2,16.15,Delivered,B2B
270,100162,1,260,180,25,40,13,16,22,24.0,3,2,1,2,19.38,Delivered,Store
271,100163,1,156,18,23,13,117,118,119,,2,1,0,2,32.3,Open,Store
272,100164,1,292,38,14,3,173,175,180,,3,2,1,2,12.11,PartShipped,Ecomm
273,100164,2,275,23,23,3,8,10,14,,1,0,0,1,4.65,Open,Ecomm
274,100164,3,170,192,9,28,101,103,105,106.0,4,3,2,2,14.02,Delivered,Store
275,100164,4,226,70,14,20,107,109,113,,2,0,0,2,11.65,Cancelled,Store
276,100164,5,124,184,31,27,114,118,123,,2,1,0,2,17.82,Open,Ecomm
277,100165,1,35,126,9,3,137,141,145,,1,0,0,1,3.2,Open,Ecomm
278,100165,2,17,190,1,16,32,34,39,,1,0,0,1,11.72,Open,Ecomm
279,100166,1,245,43,1,36,37,40,45,,1,0,0,1,18.11,Open,Store
280,100166,2,56,162,1,7,154,158,164,,2,0,0,2,10.32,Open,Store
281,100167,1,178,77,5,27,114,118,125,125.0,3,2,1,2,11.19,Delivered,B2B
282,100167,2,199,185,1,11,47,49,54,,1,0,0,1,22.42,Open,Store
283,100168,1,94,122,23,16,15,16,21,,1,0,0,1,4.39,Open,B2B
284,100168,2,282,132,30,34,26,30,36,,1,0,0,1,35.53,Open,Store
285,100168,3,106,83,30,40,176,178,180,,1,0,0,1,5.78,Open,Store
286,100168,4,148,172,30,10,116,118,125,,2,1,0,2,23.45,Open,Store
287,100168,5,162,162,32,16,141,143,147,,1,0,0,1,9.81,Open,B2B
288,100169,1,180,97,23,39,160,164,171,173.0,4,3,2,2,51.96,Delivered,Store
289,100170,1,52,48,31,3,71,74,76,75.0,4,3,2,2,6.19,Delivered,Ecomm
290,100171,1,79,39,32,27,126,129,135,,1,0,0,1,8.1,Open,B2B
291,100172,1,42,163,31,29,164,165,169,,2,1,0,2,9.17,Open,Store
292,100173,1,195,75,23,27,146,147,150,149.0,3,2,1,2,30.3,Delivered,Ecomm
293,100173,2,49,36,23,27,79,83,90,91.0,4,3,1,3,9.13,Delivered,B2B
294,100173,3,32,35,32,2,63,64,65,,2,1,0,2,13.24,Open,Store
295,100173,4,278,9,31,3,92,96,97,98.0,4,3,2,2,7.24,Delivered,B2B
296,100174,1,56,164,23,40,177,180,180,179.0,4,3,2,2,28.66,Delivered,Store
297,100175,1,81,83,1,16,110,112,115,,2,1,0,2,6.18,Open,Ecomm
298,100176,1,169,61,5,29,114,118,124,124.0,3,2,1,2,22.98,Delivered,Store
299,100177,1,51,164,32,39,104,108,113,,2,1,0,2,28.85,Open,Store
300,100178,1,64,8,25,16,169,171,176,,2,1,0,2,16.15,Open,B2B
301,100178,2,237,136,1,27,22,25,30,,2,1,0,2,24.34,Open,Ecomm
302,100179,1,254,94,18,28,178,180,180,,1,0,0,1,20.37,Open,Store
303,100179,2,230,167,23,33,51,52,58,,1,0,0,1,33.03,Open,Store
304,100179,3,127,80,23,3,174,176,179,,3,1,0,3,5.12,Open,Ecomm
305,100180,1,58,112,5,2,153,156,163,,1,0,0,1,12.72,Open,Store
306,100180,2,254,86,30,3,18,20,22,,2,1,0,2,11.19,Open,B2B
307,100180,3,40,54,25,3,93,96,103,,2,1,0,2,10.35,Open,B2B
308,100181,1,1,109,23,12,120,121,125,124.0,5,2,1,4,12.0,Delivered,Store
309,100182,1,283,117,18,3,178,180,180,,2,1,0,2,23.61,Open,Ecomm
310,100182,2,172,50,30,27,164,167,172,,3,1,0,3,9.07,Open,Ecomm
311,100182,3,107,124,23,13,38,40,47,,1,0,0,1,18.19,Open,Store
312,100183,1,67,104,25,10,139,141,144,,2,1,0,2,29.49,Open,Store
313,100183,2,59,132,25,27,66,67,69,,2,1,0,2,37.55,Open,B2B
314,100184,1,183,116,1,3,53,57,62,65.0,5,4,3,2,28.74,Delivered,Ecomm
315,100185,1,178,74,23,37,160,163,170,,2,1,0,2,13.1,Open,Store
316,100185,2,25,108,9,3,136,139,141,,1,0,0,1,16.02,Open,B2B
317,100186,1,46,14,18,20,146,150,151,,1,0,0,1,4.61,Open,Store
318,100187,1,257,178,18,7,30,32,37,38.0,3,2,1,2,32.72,Delivered,Store
319,100188,1,127,18,25,27,52,54,55,,1,0,0,1,31.49,Open,Ecomm
320,100189,1,176,59,31,28,144,146,151,,1,0,0,1,4.24,Open,Store
321,100189,2,4,159,18,16,24,25,32,,1,0,0,1,9.48,Open,Ecomm
322,100190,1,91,111,14,8,140,142,143,,2,1,0,2,12.43,Open,Store
323,100191,1,102,88,31,29,81,85,92,,2,0,0,2,35.33,Cancelled,Store
