ProductId,Sku,ProductName,Brand,Category,Subcategory,Uom,UnitsPerCase,UnitWeightKg,UnitVolumeM3,TemperatureZone,IsPerishable,ShelfLifeDays,StandardCost,ListPrice,LaunchDate,DiscontinueDate
34,SKU0000034,Product 000034,Harbor,ELECTRONICS,ELECTRONICS_CORE,EA,5,1.462,0.0705,Ambient,False,,33.64,39.74,173,
35,SKU0000035,Product 000035,Northwind,GROCERY,GROCERY_CORE,EA,6,3.075,0.057,Chilled,True,90.0,8.48,13.28,146,
36,SKU0000036,Product 000036,Atlas,GROCERY,GROCERY_CORE,EA,3,1.981,0.1502,Ambient,True,56.0,6.65,10.13,80,
37,SKU0000037,Product 000037,Oak,BEVERAGE,BEVERAGE_CORE,CASE,10,1.901,0.1376,Chilled,True,55.0,8.22,12.06,136,
38,SKU0000038,Product 000038,Oak,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,4,2.089,0.1314,Ambient,False,,7.64,13.24,15,
39,SKU0000039,Product 000039,Harbor,ELECTRONICS,ELECTRONICS_CORE,EA,1,1.148,0.0434,Ambient,False,,7.37,8.79,165,
40,SKU0000040,Product 000040,Atlas,GROCERY,GROCERY_CORE,EA,6,3.225,0.1215,Ambient,True,76.0,7.23,10.93,103,
41,SKU0000041,Product 000041,Verde,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,3,0.802,0.1072,Ambient,False,,10.66,14.36,149,
42,SKU0000042,Product 000042,Atlas,HOUSEHOLD,HOUSEHOLD_CORE,EA,7,3.349,0.0607,Ambient,False,,16.01,28.25,50,
43,SKU0000043,Product 000043,Orion,BEVERAGE,BEVERAGE_CORE,CASE,7,4.325,0.1315,Ambient,True,20.0,14.25,19.38,46,
44,SKU0000044,Product 000044,Oak,BEVERAGE,BEVERAGE_CORE,CASE,6,1.986,0.1579,Ambient,True,109.0,10.67,13.7,168,
45,SKU0000045,Product 000045,Summit,BEVERAGE,BEVERAGE_CORE,CASE,6,2.529,0.1126,Ambient,True,14.0,16.56,20.79,27,
46,SKU0000046,Product 000046,Atlas,GROCERY,GROCERY_CORE,EA,9,4.891,0.0573,Chilled,True,118.0,9.47,12.14,37,
47,SKU0000047,Product 000047,Atlas,APPAREL,APPAREL_CORE,EA,11,6.779,0.0584,Ambient,False,,10.99,17.45,2,
48,SKU0000048,Product 000048,Summit,HOUSEHOLD,HOUSEHOLD_CORE,EA,9,4.173,0.1616,Ambient,False,,3.9,6.38,30,
49,SKU0000049,Product 000049,Verde,HOUSEHOLD,HOUSEHOLD_CORE,EA,1,0.756,0.1518,Ambient,False,,5.62,8.36,134,
50,SKU0000050,Product 000050,Northwind,HOUSEHOLD,HOUSEHOLD_CORE,EA,3,3.12,0.1932,Ambient,False,,7.25,9.65,130,
51,SKU0000051,Product 000051,Harbor,GROCERY,GROCERY_CORE,EA,12,2.191,0.1551,Chilled,True,40.0,7.07,9.69,21,
52,SKU0000052,Product 000052,Oak,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,9,2.686,0.0752,Ambient,False,,3.25,5.45,3,
53,SKU0000053,Product 000053,Oak,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,7,1.016,0.0758,Ambient,False,,7.13,10.86,165,
54,SKU0000054,Product 000054,Atlas,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,4,2.9,0.2382,Ambient,False,,8.17,10.87,40,
55,SKU0000055,Product 000055,Nimbus,HOUSEHOLD,HOUSEHOLD_CORE,EA,3,1.931,0.1072,Ambient,False,,5.91,8.03,150,
56,SKU0000056,Product 000056,Atlas,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,10,1.045,0.1017,Ambient,False,,3.86,5.25,85,
57,SKU0000057,Product 000057,Verde,GROCERY,GROCERY_CORE,EA,8,2.38,0.0392,Ambient,True,78.0,4.98,7.02,146,
58,SKU0000058,Product 000058,Verde,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,6,1.292,0.2003,Ambient,False,,9.79,16.63,8,
59,SKU0000059,Product 000059,Summit,APPAREL,APPAREL_CORE,EA,9,0.416,0.2307,Ambient,False,,3.79,4.45,1,
60,SKU0000060,Product 000060,Nimbus,ELECTRONICS,ELECTRONICS_CORE,EA,10,2.685,0.1449,Ambient,False,,15.61,27.11,123,
61,SKU0000061,Product 000061,Oak,BEVERAGE,BEVERAGE_CORE,CASE,8,1.664,0.1743,Chilled,True,117.0,17.53,23.08,133,
62,SKU0000062,Product 000062,Orion,GROCERY,GROCERY_CORE,EA,12,2.485,0.21,Ambient,True,40.0,4.87,8.6,46,
63,SKU0000063,Product 000063,Summit,ELECTRONICS,ELECTRONICS_CORE,EA,4,3.155,0.1743,Ambient,False,,9.09,11.88,170,
64,SKU0000064,Product 000064,Verde,HOUSEHOLD,HOUSEHOLD_CORE,EA,5,2.324,0.2787,Ambient,False,,8.51,10.77,45,
65,SKU0000065,Product 000065,Orion,GROCERY,GROCERY_CORE,EA,7,1.632,0.2627,Ambient,True,77.0,2.25,2.95,25,
66,SKU0000066,Product 000066,Harbor,HOUSEHOLD,HOUSEHOLD_CORE,EA,7,1.001,0.1059,Ambient,False,,5.23,6.59,171,
67,SKU0000067,Product 000067,Orion,APPAREL,APPAREL_CORE,EA,11,10.788,0.0786,Ambient,False,,15.4,27.42,119,
68,SKU0000068,Product 000068,Atlas,ELECTRONICS,ELECTRONICS_CORE,EA,3,2.933,0.1364,Ambient,False,,7.38,11.95,171,
69,SKU0000069,Product 000069,Orion,GROCERY,GROCERY_CORE,EA,2,3.224,0.1974,Ambient,True,57.0,9.88,13.77,120,
70,SKU0000070,Product 000070,Atlas,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,4,1.597,0.5441,Ambient,False,,7.68,12.25,60,
71,SKU0000071,Product 000071,Atlas,BEVERAGE,BEVERAGE_CORE,CASE,3,1.794,0.2638,Ambient,True,99.0,13.6,21.75,129,
72,SKU0000072,Product 000072,Atlas,GROCERY,GROCERY_CORE,EA,10,3.986,0.1737,Chilled,True,47.0,4.09,6.43,65,
73,SKU0000073,Product 000073,Oak,APPAREL,APPAREL_CORE,EA,9,7.925,0.4148,Ambient,False,,4.3,5.41,96,
74,SKU0000074,Product 000074,Harbor,ELECTRONICS,ELECTRONICS_CORE,EA,2,1.887,0.0673,Ambient,False,,11.37,13.61,110,
75,SKU0000075,Product 000075,Verde,HOUSEHOLD,HOUSEHOLD_CORE,EA,5,1.449,0.1859,Ambient,False,,18.54,32.31,47,
76,SKU0000076,Product 000076,Northwind,HOUSEHOLD,HOUSEHOLD_CORE,EA,3,1.372,0.0761,Ambient,False,,3.8,5.18,26,
77,SKU0000077,Product 000077,Atlas,SEASONAL,SEASONAL_CORE,EA,10,1.011,0.1026,Ambient,False,,7.62,11.43,136,
78,SKU0000078,Product 000078,Oak,GROCERY,GROCERY_CORE,EA,9,4.296,0.2399,Ambient,True,57.0,7.11,12.0,119,
79,SKU0000079,Product 000079,Harbor,SEASONAL,SEASONAL_CORE,EA,10,1.839,0.0893,Ambient,False,,18.19,26.43,94,
80,SKU0000080,Product 000080,Northwind,HOUSEHOLD,HOUSEHOLD_CORE,EA,11,4.213,0.159,Ambient,False,,3.34,5.35,24,
81,SKU0000081,Product 000081,Nimbus,GROCERY,GROCERY_CORE,EA,8,1.728,0.0515,Ambient,True,33.0,7.72,12.56,145,
82,SKU0000082,Product 000082,Harbor,SEASONAL,SEASONAL_CORE,EA,4,0.727,0.1624,Ambient,False,,13.93,18.75,39,
83,SKU0000083,Product 000083,Atlas,BEVERAGE,BEVERAGE_CORE,CASE,12,1.063,0.1528,Ambient,True,91.0,3.6,6.23,39,
84,SKU0000084,Product 000084,Summit,SEASONAL,SEASONAL_CORE,EA,5,2.489,0.0976,Ambient,False,,3.61,5.3,104,
85,SKU0000085,Product 000085,Verde,APPAREL,APPAREL_CORE,EA,6,2.078,0.1241,Ambient,False,,3.48,4.46,110,
86,SKU0000086,Product 000086,Nimbus,BEVERAGE,BEVERAGE_CORE,CASE,5,1.218,0.1644,Chilled,True,9.0,6.95,11.58,173,
87,SKU0000087,Product 000087,Harbor,ELECTRONICS,ELECTRONICS_CORE,EA,7,3.894,0.1098,Ambient,False,,8.74,15.24,162,
88,SKU0000088,Product 000088,Verde,GROCERY,GROCERY_CORE,EA,11,1.393,0.3455,Chilled,True,10.0,22.28,37.53,75,
89,SKU0000089,Product 000089,Orion,ELECTRONICS,ELECTRONICS_CORE,EA,12,2.562,0.377,Ambient,False,,20.51,32.04,119,180.0
90,SKU0000090,Product 000090,Orion,GROCERY,GROCERY_CORE,EA,11,1.511,0.2234,Chilled,True,63.0,10.79,19.34,68,
91,SKU0000091,Product 000091,Harbor,HOUSEHOLD,HOUSEHOLD_CORE,EA,8,5.122,0.0692,Ambient,False,,8.18,11.66,120,
92,SKU0000092,Product 000092,Verde,GROCERY,GROCERY_CORE,EA,3,0.807,0.1844,Ambient,True,73.0,10.03,14.13,168,
93,SKU0000093,Product 000093,Harbor,GROCERY,GROCERY_CORE,EA,7,1.524,0.5458,Ambient,True,76.0,6.92,11.15,178,
94,SKU0000094,Product 000094,Oak,GROCERY,GROCERY_CORE,EA,12,0.582,0.1355,Chilled,True,25.0,14.77,20.4,126,
95,SKU0000095,Product 000095,Nimbus,BEVERAGE,BEVERAGE_CORE,CASE,5,1.003,0.1859,Ambient,True,94.0,5.92,7.51,23,
96,SKU0000096,Product 000096,Nimbus,SEASONAL,SEASONAL_CORE,EA,4,1.871,0.1131,Ambient,False,,8.56,12.83,39,
97,SKU0000097,Product 000097,Atlas,GROCERY,GROCERY_CORE,EA,1,1.658,0.0809,Ambient,True,25.0,37.8,57.92,71,
98,SKU0000098,Product 000098,Summit,GROCERY,GROCERY_CORE,EA,5,0.447,0.0574,Ambient,True,113.0,5.22,7.05,81,
99,SKU0000099,Product 000099,Northwind,APPAREL,APPAREL_CORE,EA,7,1.462,0.1708,Ambient,False,,14.73,17.53,113,
100,SKU0000100,Product 000100,Summit,BEVERAGE,BEVERAGE_CORE,CASE,12,1.443,0.4148,Ambient,True,108.0,2.78,4.79,57,
101,SKU0000101,Product 000101,Verde,BEVERAGE,BEVERAGE_CORE,CASE,7,0.988,0.4079,Ambient,True,15.0,5.43,8.18,28,
102,SKU0000102,Product 000102,Nimbus,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,3,2.133,0.3206,Ambient,False,,22.19,36.51,160,
103,SKU0000103,Product 000103,Nimbus,ELECTRONICS,ELECTRONICS_CORE,EA,8,0.897,0.0332,Ambient,False,,31.75,44.27,176,
104,SKU0000104,Product 000104,Summit,GROCERY,GROCERY_CORE,EA,10,2.217,0.0545,Chilled,True,43.0,20.19,29.66,74,
105,SKU0000105,Product 000105,Orion,SEASONAL,SEASONAL_CORE,EA,7,3.357,0.1043,Ambient,False,,15.75,23.15,97,
106,SKU0000106,Product 000106,Oak,HOUSEHOLD,HOUSEHOLD_CORE,EA,7,2.283,0.2491,Ambient,False,,3.59,4.94,75,
107,SKU0000107,Product 000107,Summit,GROCERY,GROCERY_CORE,EA,3,6.621,0.145,Ambient,True,108.0,21.48,30.16,92,
108,SKU0000108,Product 000108,Northwind,APPAREL,APPAREL_CORE,EA,12,0.301,0.1593,Ambient,False,,9.74,16.76,37,
109,SKU0000109,Product 000109,Northwind,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,12,2.28,0.5453,Ambient,False,,7.96,12.35,29,
110,SKU0000110,Product 000110,Orion,SEASONAL,SEASONAL_CORE,EA,8,0.346,0.1217,Ambient,False,,12.01,14.69,1,
111,SKU0000111,Product 000111,Orion,HOUSEHOLD,HOUSEHOLD_CORE,EA,11,1.699,0.1628,Ambient,False,,10.02,13.38,6,
112,SKU0000112,Product 000112,Northwind,HOUSEHOLD,HOUSEHOLD_CORE,EA,12,1.018,0.0869,Ambient,False,,7.96,13.77,88,
113,SKU0000113,Product 000113,Harbor,APPAREL,APPAREL_CORE,EA,11,0.85,0.3347,Ambient,False,,10.88,19.06,37,
114,SKU0000114,Product 000114,Summit,APPAREL,APPAREL_CORE,EA,5,0.747,0.1209,Ambient,False,,5.13,6.56,68,
115,SKU0000115,Product 000115,Harbor,APPAREL,APPAREL_CORE,EA,4,0.892,0.082,Ambient,False,,7.9,9.98,99,
116,SKU0000116,Product 000116,Northwind,HOUSEHOLD,HOUSEHOLD_CORE,EA,8,1.033,0.1427,Ambient,False,,16.71,29.26,107,
117,SKU0000117,Product 000117,Nimbus,HOUSEHOLD,HOUSEHOLD_CORE,EA,11,1.443,0.0476,Ambient,False,,14.84,24.18,37,135.0
118,SKU0000118,Product 000118,Atlas,BEVERAGE,BEVERAGE_CORE,CASE,10,0.753,0.0575,Ambient,True,52.0,10.4,13.93,104,
119,SKU0000119,Product 000119,Nimbus,ELECTRONICS,ELECTRONICS_CORE,EA,10,0.995,0.548,Ambient,False,,59.91,94.93,155,
120,SKU0000120,Product 000120,Orion,GROCERY,GROCERY_CORE,EA,7,3.469,0.0938,Ambient,True,13.0,2.79,4.52,163,
121,SKU0000121,Product 000121,Orion,BEVERAGE,BEVERAGE_CORE,CASE,11,2.279,0.123,Ambient,True,79.0,6.44,8.76,53,
122,SKU0000122,Product 000122,Northwind,ELECTRONICS,ELECTRONICS_CORE,EA,11,2.146,0.0734,Ambient,False,,2.87,4.6,100,
123,SKU0000123,Product 000123,Verde,BEVERAGE,BEVERAGE_CORE,CASE,2,3.788,0.1368,Ambient,True,96.0,5.64,7.24,75,
124,SKU0000124,Product 000124,Summit,HOUSEHOLD,HOUSEHOLD_CORE,EA,3,3.707,0.2099,Ambient,False,,12.88,18.69,82,
125,SKU0000125,Product 000125,Verde,HOUSEHOLD,HOUSEHOLD_CORE,EA,7,2.173,0.0991,Ambient,False,,16.11,25.11,140,
126,SKU0000126,Product 000126,Orion,ELECTRONICS,ELECTRONICS_CORE,EA,8,3.372,0.1683,Ambient,False,,2.41,3.43,3,
127,SKU0000127,Product 000127,Verde,HOUSEHOLD,HOUSEHOLD_CORE,EA,3,0.407,0.0715,Ambient,False,,16.12,22.04,73,
128,SKU0000128,Product 000128,Nimbus,GROCERY,GROCERY_CORE,EA,8,0.632,0.1119,Chilled,True,89.0,8.92,15.19,29,
129,SKU0000129,Product 000129,Verde,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,12,4.412,0.0663,Ambient,False,,3.3,3.82,105,
130,SKU0000130,Product 000130,Orion,APPAREL,APPAREL_CORE,EA,12,4.189,0.2697,Ambient,False,,32.31,44.78,156,
131,SKU0000131,Product 000131,Oak,HOUSEHOLD,HOUSEHOLD_CORE,EA,7,3.262,0.0562,Ambient,False,,6.72,11.47,140,
132,SKU0000132,Product 000132,Harbor,APPAREL,APPAREL_CORE,EA,5,1.407,0.1739,Ambient,False,,25.24,38.42,9,
133,SKU0000133,Product 000133,Atlas,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,3,0.675,0.2168,Ambient,False,,9.32,14.23,2,
134,SKU0000134,Product 000134,Summit,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,4,1.929,0.0757,Ambient,False,,30.78,45.22,27,
135,SKU0000135,Product 000135,Verde,GROCERY,GROCERY_CORE,EA,8,2.996,0.0332,Ambient,True,31.0,25.13,32.06,80,
136,SKU0000136,Product 000136,Nimbus,SEASONAL,SEASONAL_CORE,EA,7,0.494,0.202,Ambient,False,,20.26,25.01,54,
137,SKU0000137,Product 000137,Atlas,APPAREL,APPAREL_CORE,EA,1,7.245,0.2614,Ambient,False,,3.12,3.62,163,
138,SKU0000138,Product 000138,Northwind,ELECTRONICS,ELECTRONICS_CORE,EA,10,1.395,0.1991,Ambient,False,,10.07,17.37,78,
139,SKU0000139,Product 000139,Summit,SEASONAL,SEASONAL_CORE,EA,3,3.226,0.1574,Ambient,False,,9.72,11.24,94,
140,SKU0000140,Product 000140,Harbor,GROCERY,GROCERY_CORE,EA,11,2.471,0.0709,Chilled,True,104.0,20.92,36.69,120,
141,SKU0000141,Product 000141,Summit,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,3,8.329,0.1254,Ambient,False,,34.95,51.07,70,
142,SKU0000142,Product 000142,Oak,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,4,2.525,0.1829,Ambient,False,,5.28,6.11,174,
143,SKU0000143,Product 000143,Oak,BEVERAGE,BEVERAGE_CORE,CASE,11,1.408,0.2952,Ambient,True,106.0,4.08,7.23,75,
144,SKU0000144,Product 000144,Summit,GROCERY,GROCERY_CORE,EA,3,7.231,0.1249,Chilled,True,20.0,14.47,16.84,16,
145,SKU0000145,Product 000145,Nimbus,ELECTRONICS,ELECTRONICS_CORE,EA,5,2.123,0.1616,Ambient,False,,12.36,18.3,118,180.0
146,SKU0000146,Product 000146,Harbor,ELECTRONICS,ELECTRONICS_CORE,EA,8,1.348,0.0841,Ambient,False,,7.93,10.27,116,
147,SKU0000147,Product 000147,Orion,BEVERAGE,BEVERAGE_CORE,CASE,6,1.177,0.1098,Chilled,True,5.0,41.29,61.2,4,
148,SKU0000148,Product 000148,Oak,ELECTRONICS,ELECTRONICS_CORE,EA,7,2.802,0.1715,Ambient,False,,14.72,26.48,99,
149,SKU0000149,Product 000149,Summit,GROCERY,GROCERY_CORE,EA,6,2.479,0.1639,Ambient,True,25.0,13.0,21.23,120,
150,SKU0000150,Product 000150,Oak,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,8,3.823,0.066,Ambient,False,,6.74,8.09,20,
151,SKU0000151,Product 000151,Oak,GROCERY,GROCERY_CORE,EA,12,7.552,0.2405,Ambient,True,22.0,20.99,36.83,66,
152,SKU0000152,Product 000152,Verde,GROCERY,GROCERY_CORE,EA,11,1.918,0.1079,Ambient,True,24.0,18.32,32.55,101,
153,SKU0000153,Product 000153,Nimbus,GROCERY,GROCERY_CORE,EA,6,3.11,0.1344,Ambient,True,6.0,15.44,20.89,20,
154,SKU0000154,Product 000154,Harbor,APPAREL,APPAREL_CORE,EA,12,1.071,0.1039,Ambient,False,,14.96,20.77,125,
155,SKU0000155,Product 000155,Northwind,HOUSEHOLD,HOUSEHOLD_CORE,EA,8,0.976,0.246,Ambient,False,,11.49,16.21,152,
156,SKU0000156,Product 000156,Atlas,GROCERY,GROCERY_CORE,EA,5,1.928,0.1342,Ambient,True,74.0,19.63,28.79,179,180.0
157,SKU0000157,Product 000157,Harbor,APPAREL,APPAREL_CORE,EA,7,3.039,0.1137,Ambient,False,,7.08,11.59,179,
158,SKU0000158,Product 000158,Summit,HOUSEHOLD,HOUSEHOLD_CORE,EA,2,2.031,0.111,Ambient,False,,13.91,20.05,177,
159,SKU0000159,Product 000159,Orion,HOUSEHOLD,HOUSEHOLD_CORE,EA,3,0.896,0.0962,Ambient,False,,7.21,9.88,9,
160,SKU0000160,Product 000160,Summit,HOUSEHOLD,HOUSEHOLD_CORE,EA,3,2.447,0.1029,Ambient,False,,5.39,7.81,82,
161,SKU0000161,Product 000161,Summit,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,2,3.436,0.1238,Ambient,False,,5.98,10.08,171,
162,SKU0000162,Product 000162,Harbor,BEVERAGE,BEVERAGE_CORE,CASE,6,0.432,0.0933,Ambient,True,100.0,5.98,10.55,85,
163,SKU0000163,Product 000163,Summit,APPAREL,APPAREL_CORE,EA,2,2.194,0.2389,Ambient,False,,7.68,9.84,128,
164,SKU0000164,Product 000164,Nimbus,HOUSEHOLD,HOUSEHOLD_CORE,EA,3,0.391,0.0976,Ambient,False,,20.69,29.27,50,
165,SKU0000165,Product 000165,Orion,GROCERY,GROCERY_CORE,EA,7,5.309,0.099,Ambient,True,110.0,17.04,21.75,55,
166,SKU0000166,Product 000166,Summit,GROCERY,GROCERY_CORE,EA,9,2.531,0.4307,Chilled,True,95.0,20.55,30.73,153,
167,SKU0000167,Product 000167,Orion,APPAREL,APPAREL_CORE,EA,12,1.058,0.083,Ambient,False,,29.75,34.8,103,
168,SKU0000168,Product 000168,Summit,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,7,0.608,0.5115,Ambient,False,,9.71,14.11,174,
169,SKU0000169,Product 000169,Harbor,HOUSEHOLD,HOUSEHOLD_CORE,EA,10,0.592,0.1123,Ambient,False,,10.74,15.04,103,
170,SKU0000170,Product 000170,Orion,APPAREL,APPAREL_CORE,EA,7,1.055,0.2857,Ambient,False,,14.71,22.88,76,
171,SKU0000171,Product 000171,Verde,APPAREL,APPAREL_CORE,EA,3,1.808,0.3432,Ambient,False,,28.54,50.11,33,
172,SKU0000172,Product 000172,Summit,GROCERY,GROCERY_CORE,EA,6,0.43,0.1843,Ambient,True,97.0,19.71,24.57,46,121.0
173,SKU0000173,Product 000173,Oak,APPAREL,APPAREL_CORE,EA,1,0.25,0.3696,Ambient,False,,6.18,8.94,160,
174,SKU0000174,Product 000174,Nimbus,GROCERY,GROCERY_CORE,EA,8,7.849,0.1772,Chilled,True,41.0,6.34,8.73,5,
175,SKU0000175,Product 000175,Summit,ELECTRONICS,ELECTRONICS_CORE,EA,2,13.602,0.217,Ambient,False,,17.18,25.33,35,
176,SKU0000176,Product 000176,Northwind,HOUSEHOLD,HOUSEHOLD_CORE,EA,8,1.458,0.1276,Ambient,False,,7.8,13.62,33,
177,SKU0000177,Product 000177,Atlas,GROCERY,GROCERY_CORE,EA,11,1.083,0.052,Ambient,True,61.0,65.38,77.95,110,
178,SKU0000178,Product 000178,Verde,APPAREL,APPAREL_CORE,EA,2,1.44,0.0753,Ambient,False,,25.4,34.39,58,
179,SKU0000179,Product 000179,Northwind,HOUSEHOLD,HOUSEHOLD_CORE,EA,5,16.507,0.1782,Ambient,False,,7.23,8.88,133,
180,SKU0000180,Product 000180,Orion,BEVERAGE,BEVERAGE_CORE,CASE,7,2.459,0.1846,Ambient,True,103.0,11.55,20.41,34,
181,SKU0000181,Product 000181,Verde,GROCERY,GROCERY_CORE,EA,11,5.263,0.0431,Chilled,True,105.0,5.14,6.96,171,180.0
182,SKU0000182,Product 000182,Oak,APPAREL,APPAREL_CORE,EA,9,0.826,0.3706,Ambient,False,,10.76,18.3,13,
183,SKU0000183,Product 000183,Oak,ELECTRONICS,ELECTRONICS_CORE,EA,11,1.613,0.4971,Ambient,False,,2.63,3.65,49,
184,SKU0000184,Product 000184,Verde,HOUSEHOLD,HOUSEHOLD_CORE,EA,3,0.597,0.1871,Ambient,False,,11.81,20.19,41,
185,SKU0000185,Product 000185,Verde,BEVERAGE,BEVERAGE_CORE,CASE,9,0.584,0.0886,Ambient,True,92.0,12.85,22.52,59,
186,SKU0000186,Product 000186,Northwind,ELECTRONICS,ELECTRONICS_CORE,EA,1,4.059,0.0734,Ambient,False,,26.61,30.86,154,
