ShipmentLineId,ShipmentId,LineNumber,SalesOrderLine,Product,OriginLocation,DestinationLocation,ShipDate,DeliveryDate,ShippedQty,CarrierName,ServiceLevel,PlannedTransitDays,ActualTransitDays,FreightCost,ShipmentStatus,DelayReason
41,500041,1,130,172,5,34,15,19.0,1,LineHaulOne,Economy,1,4.0,4.0,Delayed,Customs
42,500042,1,133,37,31,20,120,124.0,1,LineHaulOne,Economy,5,4.0,4.0,Delivered,
43,500043,1,140,177,1,38,133,134.0,1,ParcelEx,Ground,1,1.0,4.0,Delivered,
44,500044,1,143,97,1,21,46,52.0,2,ParcelEx,Economy,5,6.0,4.0,Delivered,
45,500045,1,144,85,31,10,111,117.0,1,LineHaulOne,Ground,5,6.0,4.0,Delivered,
46,500046,1,148,27,31,24,40,47.0,1,BlueRoad,Express,3,7.0,4.0,Delayed,HubCongestion
47,500047,1,152,49,5,33,97,103.0,1,NorthCarrier,Economy,2,6.0,4.0,Delayed,Weather
48,500048,2,152,49,5,33,98,101.0,1,LineHaulOne,Ground,4,3.0,4.0,Delivered,
49,500049,1,159,35,14,16,10,11.0,1,LineHaulOne,Ground,1,1.0,4.0,Delivered,
50,500050,1,160,118,30,29,69,75.0,1,ParcelEx,Ground,5,6.0,4.0,Delivered,
51,500051,1,162,93,32,33,5,11.0,1,ParcelEx,Economy,5,6.0,4.0,Delayed,Weather
52,500052,1,163,172,1,11,40,42.0,1,LineHaulOne,Express,2,2.0,4.0,Delivered,
53,500053,1,167,36,23,20,143,148.0,1,ParcelEx,Economy,4,5.0,4.0,Delivered,
54,500054,1,170,129,9,24,100,103.0,1,NorthCarrier,Economy,4,3.0,4.0,Delivered,
55,500055,1,178,2,1,27,122,127.0,2,BlueRoad,Ground,4,5.0,4.32,Delayed,HubCongestion
56,500056,1,179,152,18,24,174,178.0,5,BlueRoad,Express,2,4.0,5.17,Delayed,Customs
57,500057,1,180,182,23,3,45,48.0,1,ParcelEx,Express,2,3.0,4.0,Delivered,
58,500058,1,181,85,5,33,114,117.0,2,BlueRoad,Express,4,3.0,4.0,Delivered,
59,500059,1,182,44,14,11,76,82.0,1,BlueRoad,Ground,3,6.0,4.0,Delayed,Customs
60,500060,1,184,107,31,3,27,28.0,1,LineHaulOne,Ground,1,1.0,4.0,Delivered,
61,500061,1,189,23,1,21,127,128.0,2,NorthCarrier,Ground,1,1.0,4.0,Delivered,
62,500062,1,191,144,18,2,50,52.0,1,LineHaulOne,Ground,2,2.0,4.0,Delivered,
63,500063,1,192,26,25,13,160,163.0,2,LineHaulOne,Express,3,3.0,4.0,Delivered,
64,500064,1,193,135,32,24,8,9.0,1,LineHaulOne,Express,1,1.0,4.0,Delivered,
65,500065,1,194,134,23,36,91,95.0,1,NorthCarrier,Express,3,4.0,4.0,Delivered,
66,500066,1,196,166,23,28,122,123.0,1,NorthCarrier,Ground,2,1.0,4.0,Delivered,
67,500067,1,197,149,5,13,180,,1,NorthCarrier,Ground,4,,4.0,InTransit,
68,500068,1,202,49,32,29,174,179.0,2,LineHaulOne,Express,3,5.0,4.0,Delayed,Capacity
69,500069,1,205,88,23,2,24,27.0,1,BlueRoad,Express,4,3.0,4.0,Delivered,
70,500070,1,219,98,32,39,41,46.0,1,ParcelEx,Express,4,5.0,4.0,Delivered,
71,500071,1,225,168,31,13,116,119.0,2,ParcelEx,Express,4,3.0,4.0,Delivered,
72,500072,1,227,180,9,33,178,180.0,4,ParcelEx,Ground,1,2.0,7.02,Delivered,
73,500073,1,230,59,23,27,141,143.0,1,LineHaulOne,Express,3,2.0,4.0,Delivered,
74,500074,1,233,46,9,20,129,136.0,2,ParcelEx,Economy,5,7.0,4.0,Delayed,Capacity
75,500075,1,235,169,30,3,121,124.0,1,ParcelEx,Ground,4,3.0,4.0,Delivered,
76,500076,1,237,73,32,24,27,34.0,1,BlueRoad,Ground,5,7.0,4.0,Delayed,Weather
77,500077,1,240,195,30,24,73,77.0,2,ParcelEx,Ground,4,4.0,4.0,Delivered,
78,500078,1,243,100,1,3,8,11.0,3,ParcelEx,Ground,3,3.0,4.63,Delivered,
79,500079,1,246,128,23,3,102,105.0,2,NorthCarrier,Economy,4,3.0,4.0,Delivered,
80,500080,1,247,141,23,34,8,11.0,3,ParcelEx,Economy,2,3.0,4.0,Delivered,
81,500081,1,256,173,31,39,36,37.0,1,LineHaulOne,Ground,2,1.0,4.0,Delivered,
82,500082,1,260,11,30,24,63,68.0,1,BlueRoad,Express,4,5.0,4.0,Delivered,
83,500083,1,262,57,31,37,48,50.0,1,LineHaulOne,Economy,2,2.0,4.0,Delivered,
84,500084,1,268,54,25,7,43,44.0,1,ParcelEx,Ground,1,1.0,4.0,Delivered,
85,500085,1,269,58,1,3,86,88.0,1,BlueRoad,Ground,3,2.0,4.0,Delivered,
86,500086,2,269,58,1,3,87,89.0,1,ParcelEx,Express,3,2.0,4.0,Delivered,
87,500087,3,269,58,1,3,86,92.0,1,LineHaulOne,Ground,5,6.0,4.0,Delivered,
88,500088,1,270,180,25,40,15,16.0,1,NorthCarrier,Ground,1,1.0,4.0,Delivered,
89,500089,1,272,38,14,3,174,176.0,1,ParcelEx,Ground,3,2.0,4.0,Delivered,
90,500090,1,274,192,9,28,103,108.0,1,BlueRoad,Ground,4,5.0,4.0,Delivered,
91,500091,2,274,192,9,28,103,108.0,1,NorthCarrier,Ground,5,5.0,4.0,Delivered,
92,500092,1,281,77,5,27,117,122.0,1,BlueRoad,Ground,4,5.0,4.0,Delivered,
93,500093,1,288,97,23,39,164,167.0,2,ParcelEx,Ground,2,3.0,4.0,Delivered,
94,500094,1,289,48,31,3,74,78.0,2,LineHaulOne,Ground,3,4.0,4.0,Delivered,
95,500095,1,292,75,23,27,147,148.0,1,NorthCarrier,Express,1,1.0,4.0,Delivered,
96,500096,1,293,36,23,27,83,88.0,1,LineHaulOne,Ground,4,5.0,4.0,Delivered,
97,500097,1,295,9,31,3,96,101.0,1,NorthCarrier,Express,5,5.0,4.0,Delivered,
98,500098,2,295,9,31,3,96,100.0,1,LineHaulOne,Express,4,4.0,4.0,Delivered,
99,500099,1,296,164,23,40,180,,1,LineHaulOne,Ground,2,,4.0,InTransit,
100,500100,2,296,164,23,40,179,180.0,1,BlueRoad,Economy,3,2.0,4.0,Delivered,
101,500101,1,298,61,5,29,118,120.0,1,BlueRoad,Ground,2,2.0,4.0,Delivered,
102,500102,1,308,109,23,12,120,121.0,1,LineHaulOne,Express,1,1.0,4.0,Delivered,
103,500103,1,314,116,1,3,57,61.0,2,ParcelEx,Express,3,4.0,4.0,Delivered,
104,500104,2,314,116,1,3,56,57.0,1,BlueRoad,Ground,1,1.0,4.0,Delivered,
105,500105,1,318,178,18,7,31,34.0,1,BlueRoad,Economy,2,3.0,4.0,Delivered,
106,500106,1,329,200,18,3,110,113.0,1,LineHaulOne,Express,2,3.0,4.0,Delayed,Capacity
107,500107,1,332,147,31,36,118,127.0,2,LineHaulOne,Economy,5,9.0,4.35,Delayed,Capacity
108,500108,1,334,31,23,3,77,81.0,1,ParcelEx,Ground,5,4.0,4.0,Delivered,
109,500109,1,338,64,9,8,75,77.0,3,LineHaulOne,Ground,1,2.0,4.65,Delivered,
110,500110,1,344,21,30,37,91,97.0,2,NorthCarrier,Express,5,6.0,4.32,Delivered,
111,500111,1,349,93,31,27,152,154.0,1,NorthCarrier,Economy,1,2.0,4.0,Delivered,
112,500112,1,350,152,23,39,91,93.0,2,LineHaulOne,Ground,3,2.0,4.0,Delivered,
113,500113,1,351,21,23,16,115,120.0,1,NorthCarrier,Ground,3,5.0,4.0,Delayed,HubCongestion
114,500114,1,352,181,23,16,147,149.0,1,BlueRoad,Ground,1,2.0,4.0,Delayed,HubCongestion
115,500115,2,352,181,23,16,147,151.0,1,BlueRoad,Express,3,4.0,4.0,Delivered,
116,500116,1,353,92,14,12,3,6.0,3,ParcelEx,Express,3,3.0,5.02,Delivered,
117,500117,1,355,76,32,3,147,148.0,1,NorthCarrier,Ground,1,1.0,4.0,Delivered,
118,500118,1,361,146,30,2,109,111.0,1,BlueRoad,Ground,2,2.0,4.0,Delivered,
119,500119,1,364,58,9,3,40,42.0,4,ParcelEx,Express,3,2.0,8.27,Delivered,
120,500120,1,369,93,5,28,37,39.0,1,LineHaulOne,Express,1,2.0,4.0,Delivered,
121,500121,2,369,93,5,28,36,38.0,1,ParcelEx,Ground,3,2.0,4.0,Delivered,
122,500122,3,369,93,5,28,36,37.0,1,NorthCarrier,Economy,2,1.0,4.0,Delivered,
123,500123,1,372,67,9,3,11,12.0,1,ParcelEx,Ground,2,1.0,4.0,Delivered,
124,500124,1,375,144,9,22,157,158.0,1,BlueRoad,Express,1,1.0,4.0,Delivered,
125,500125,1,376,90,25,36,70,71.0,1,BlueRoad,Ground,1,1.0,4.0,Delivered,
126,500126,1,379,65,18,24,117,118.0,1,BlueRoad,Ground,2,1.0,4.0,Delivered,
127,500127,1,381,192,9,3,42,43.0,1,LineHaulOne,Express,2,1.0,4.0,Delivered,
128,500128,1,382,196,5,35,60,62.0,1,NorthCarrier,Ground,1,2.0,4.0,Delivered,
129,500129,1,387,109,31,16,166,169.0,1,BlueRoad,Express,2,3.0,4.0,Delivered,
130,500130,1,391,4,25,40,34,36.0,1,ParcelEx,Ground,3,2.0,4.0,Delivered,
131,500131,1,399,91,23,13,55,61.0,1,NorthCarrier,Ground,2,6.0,4.0,Delayed,Customs
132,500132,1,402,193,23,20,176,,1,LineHaulOne,Ground,5,,4.0,InTransit,
133,500133,1,409,177,32,37,146,147.0,3,NorthCarrier,Ground,2,1.0,4.0,Delivered,
134,500134,1,410,160,30,3,101,104.0,1,LineHaulOne,Ground,3,3.0,4.0,Delivered,
135,500135,1,411,112,30,24,138,141.0,1,ParcelEx,Express,2,3.0,4.0,Delivered,
136,500136,2,411,112,30,24,139,143.0,2,ParcelEx,Ground,4,4.0,4.22,Delivered,
137,500137,1,413,128,32,36,38,45.0,2,NorthCarrier,Ground,4,7.0,4.0,Delayed,Customs
138,500138,1,414,8,32,24,48,53.0,2,NorthCarrier,Ground,5,5.0,4.0,Delivered,
139,500139,1,415,26,32,2,166,168.0,4,LineHaulOne,Ground,3,2.0,8.59,Delivered,
140,500140,1,417,196,9,21,131,133.0,2,LineHaulOne,Ground,1,2.0,4.0,Delivered,
141,500141,1,419,176,25,22,137,142.0,1,ParcelEx,Ground,5,5.0,4.0,Delivered,
142,500142,1,421,86,18,27,135,139.0,3,BlueRoad,Ground,4,4.0,4.0,Delivered,
143,500143,1,426,126,25,11,152,155.0,1,LineHaulOne,Ground,2,3.0,4.0,Delivered,
144,500144,1,427,64,18,38,7,8.0,1,NorthCarrier,Express,2,1.0,4.0,Delivered,
145,500145,1,430,58,23,36,18,20.0,1,BlueRoad,Economy,3,2.0,4.0,Delivered,
146,500146,1,431,71,32,3,112,116.0,1,LineHaulOne,Ground,3,4.0,4.0,Delivered,
147,500147,1,441,54,31,35,124,125.0,2,LineHaulOne,Express,2,1.0,4.0,Delivered,
148,500148,1,444,172,25,27,162,168.0,1,NorthCarrier,Express,5,6.0,4.0,Delivered,
149,500149,1,445,5,23,16,167,171.0,2,LineHaulOne,Express,5,4.0,4.15,Delivered,
150,500150,1,449,86,5,24,46,50.0,1,BlueRoad,Ground,3,4.0,4.0,Delayed,Capacity
151,500151,1,450,5,14,40,31,32.0,2,BlueRoad,Ground,1,1.0,4.0,Delivered,
152,500152,1,451,69,5,7,74,75.0,1,ParcelEx,Express,1,1.0,4.0,Delivered,
153,500153,1,454,2,23,10,175,176.0,3,BlueRoad,Ground,1,1.0,5.0,Delivered,
154,500154,1,458,176,25,20,147,149.0,2,NorthCarrier,Ground,2,2.0,4.0,Delivered,
155,500155,1,460,37,23,24,55,60.0,1,LineHaulOne,Express,4,5.0,4.0,Delivered,
156,500156,1,463,91,25,16,80,85.0,1,ParcelEx,Express,4,5.0,4.0,Delivered,
157,500157,1,464,62,14,40,121,126.0,1,ParcelEx,Ground,1,5.0,4.0,Delayed,HubCongestion
158,500158,1,466,6,1,27,164,168.0,2,NorthCarrier,Express,5,4.0,4.14,Delivered,
159,500159,1,468,95,18,8,140,143.0,2,ParcelEx,Express,4,3.0,4.0,Delivered,
160,500160,1,473,140,9,16,180,180.0,1,NorthCarrier,Ground,3,4.0,4.0,Delivered,
161,500161,1,475,129,5,38,69,74.0,1,LineHaulOne,Express,5,5.0,4.0,Delivered,
162,500162,1,477,62,30,16,139,142.0,1,NorthCarrier,Ground,2,3.0,4.0,Delayed,Weather
163,500163,1,478,54,5,13,132,135.0,1,BlueRoad,Ground,3,3.0,4.0,Delivered,
164,500164,1,482,111,32,3,157,163.0,1,BlueRoad,Ground,5,6.0,4.0,Delivered,
165,500165,1,487,52,32,35,145,150.0,1,LineHaulOne,Ground,4,5.0,4.0,Delivered,
166,500166,1,491,113,25,11,169,172.0,1,ParcelEx,Ground,2,3.0,4.0,Delivered,
167,500167,1,492,64,23,36,64,70.0,2,LineHaulOne,Economy,5,6.0,4.0,Delivered,
168,500168,1,497,72,9,24,180,180.0,1,NorthCarrier,Express,3,4.0,4.0,Delivered,
169,500169,1,500,2,30,13,176,178.0,1,LineHaulOne,Ground,3,2.0,4.0,Delivered,
170,500170,1,501,100,9,24,121,125.0,1,LineHaulOne,Express,5,4.0,4.0,Delivered,
171,500171,1,505,56,31,11,86,88.0,1,ParcelEx,Ground,1,2.0,4.0,Lost,Customs
172,500172,1,506,118,23,3,122,123.0,1,NorthCarrier,Ground,1,1.0,4.0,Delivered,
173,500173,1,522,43,14,13,75,77.0,1,ParcelEx,Express,3,2.0,4.0,Delivered,
174,500174,1,525,200,32,20,146,150.0,1,NorthCarrier,Ground,3,4.0,4.0,Delivered,
175,500175,1,527,179,23,37,135,137.0,1,BlueRoad,Economy,1,2.0,4.0,Delivered,
176,500176,1,530,181,9,20,38,43.0,3,NorthCarrier,Ground,5,5.0,4.0,Delivered,
177,500177,1,539,17,18,10,115,116.0,1,NorthCarrier,Ground,1,1.0,4.0,Delivered,
178,500178,2,539,17,18,10,115,121.0,1,LineHaulOne,Ground,5,6.0,4.0,Delivered,
179,500179,1,542,105,32,24,81,84.0,1,NorthCarrier,Ground,4,3.0,4.0,Delivered,
180,500180,1,543,178,31,27,67,68.0,1,BlueRoad,Economy,2,1.0,4.0,Delivered,
181,500181,1,547,174,18,37,152,155.0,1,LineHaulOne,Express,3,3.0,4.0,Delivered,
182,500182,1,550,177,9,28,54,55.0,1,BlueRoad,Ground,1,1.0,4.0,Delivered,
183,500183,2,550,177,9,28,55,58.0,1,BlueRoad,Economy,3,3.0,4.0,Delivered,
184,500184,1,551,103,14,27,61,67.0,1,ParcelEx,Economy,5,6.0,4.0,Delivered,
185,500185,1,558,72,1,27,59,60.0,2,BlueRoad,Express,2,1.0,4.0,Delivered,
186,500186,1,560,170,30,40,90,92.0,1,NorthCarrier,Ground,2,2.0,4.0,Delivered,
187,500187,1,561,183,31,7,84,86.0,1,ParcelEx,Economy,2,2.0,4.0,Delivered,
188,500188,2,561,183,31,7,85,90.0,1,ParcelEx,Express,5,5.0,4.0,Delivered,
189,500189,1,564,41,23,16,109,113.0,2,BlueRoad,Ground,4,4.0,4.0,Delivered,
190,500190,1,571,158,1,20,87,90.0,1,ParcelEx,Express,2,3.0,4.0,Delivered,
191,500191,1,573,174,30,22,48,49.0,1,ParcelEx,Ground,2,1.0,4.0,Delivered,
192,500192,2,573,174,30,22,47,51.0,1,BlueRoad,Ground,3,4.0,4.0,Delivered,
193,500193,1,579,200,18,12,160,164.0,2,NorthCarrier,Ground,4,4.0,4.0,Delivered,
194,500194,1,580,3,32,27,36,40.0,2,ParcelEx,Ground,4,4.0,4.0,Delivered,
195,500195,1,581,82,30,34,55,61.0,1,NorthCarrier,Ground,5,6.0,4.0,Delivered,
196,500196,1,585,55,25,3,17,21.0,1,ParcelEx,Ground,3,4.0,4.0,Delivered,
197,500197,1,586,49,25,10,23,27.0,1,LineHaulOne,Ground,4,4.0,4.0,Delivered,
198,500198,1,587,182,14,11,93,98.0,2,ParcelEx,Ground,5,5.0,4.0,Delivered,
199,500199,1,594,77,32,11,155,156.0,1,ParcelEx,Express,1,1.0,4.0,Delivered,
200,500200,1,595,36,32,20,12,16.0,1,NorthCarrier,Economy,3,4.0,4.0,Delivered,
201,500201,1,596,122,9,38,74,80.0,1,ParcelEx,Ground,5,6.0,4.0,Delivered,
202,500202,1,597,3,32,3,59,62.0,3,ParcelEx,Express,3,3.0,4.19,Delivered,
203,500203,1,599,75,25,21,151,156.0,2,BlueRoad,Ground,5,5.0,4.0,Delivered,
204,500204,1,602,159,18,12,22,27.0,3,ParcelEx,Ground,5,5.0,5.21,Delivered,
205,500205,2,602,159,18,12,21,27.0,1,BlueRoad,Ground,5,6.0,4.0,Delivered,
206,500206,1,607,62,18,3,7,12.0,1,LineHaulOne,Ground,4,5.0,4.0,Delivered,
207,500207,1,608,178,5,3,35,39.0,1,ParcelEx,Ground,5,4.0,4.0,Delivered,
208,500208,1,611,146,5,8,10,16.0,1,LineHaulOne,Ground,5,6.0,4.0,Delivered,
209,500209,1,612,147,30,3,72,76.0,1,ParcelEx,Express,3,4.0,4.0,Delayed,Capacity
210,500210,1,613,94,14,28,175,179.0,2,BlueRoad,Ground,5,4.0,4.0,Delivered,
211,500211,1,614,78,18,38,6,10.0,1,NorthCarrier,Economy,3,4.0,4.0,Delivered,
212,500212,2,614,78,18,38,6,10.0,1,ParcelEx,Ground,3,4.0,4.0,Delivered,
213,500213,3,614,78,18,38,6,7.0,1,ParcelEx,Ground,2,1.0,4.0,Delivered,
214,500214,1,615,31,32,16,148,151.0,1,LineHaulOne,Ground,2,3.0,4.0,Delivered,
215,500215,1,616,38,1,8,147,149.0,3,ParcelEx,Ground,3,2.0,4.0,Delivered,
216,500216,2,616,38,1,8,147,151.0,1,LineHaulOne,Ground,2,4.0,4.0,Delayed,HubCongestion
217,500217,1,619,75,32,3,87,90.0,1,ParcelEx,Ground,3,3.0,4.0,Delivered,
218,500218,1,622,97,23,27,41,43.0,1,ParcelEx,Economy,3,2.0,4.0,Delivered,
219,500219,2,622,97,23,27,40,45.0,1,LineHaulOne,Ground,4,5.0,4.0,Delayed,Weather
220,500220,1,629,129,5,7,58,62.0,3,NorthCarrier,Express,4,4.0,4.0,Delivered,
221,500221,1,632,57,14,3,178,180.0,1,ParcelEx,Express,5,4.0,4.0,Delivered,
222,500222,1,633,130,32,10,129,130.0,1,BlueRoad,Ground,1,1.0,4.0,Delivered,
223,500223,1,634,15,1,20,174,175.0,1,LineHaulOne,Economy,1,1.0,4.0,Delivered,
224,500224,1,637,158,9,3,131,132.0,2,NorthCarrier,Ground,1,1.0,4.0,Delivered,
225,500225,1,642,174,18,34,84,86.0,1,ParcelEx,Express,1,2.0,4.0,Delayed,HubCongestion
226,500226,1,643,33,23,20,61,64.0,1,ParcelEx,Express,3,3.0,4.0,Delivered,
227,500227,1,648,190,23,33,28,30.0,1,BlueRoad,Ground,1,2.0,4.0,Delivered,
228,500228,1,650,2,25,10,27,35.0,2,NorthCarrier,Ground,5,8.0,4.0,Delayed,HubCongestion
229,500229,1,657,172,32,24,61,65.0,1,ParcelEx,Ground,5,4.0,4.0,Delivered,
230,500230,1,658,110,9,7,61,65.0,1,LineHaulOne,Ground,3,4.0,4.0,Delivered,
231,500231,1,662,156,18,11,22,26.0,4,BlueRoad,Express,5,4.0,8.48,Delivered,
232,500232,1,675,177,9,16,117,124.0,2,NorthCarrier,Ground,4,7.0,4.31,Delayed,HubCongestion
233,500233,1,679,33,5,33,100,103.0,1,LineHaulOne,Express,2,3.0,4.0,Delivered,
234,500234,1,680,4,23,34,47,51.0,1,BlueRoad,Ground,1,4.0,4.0,Delayed,HubCongestion
235,500235,1,682,140,9,21,99,102.0,1,NorthCarrier,Ground,4,3.0,4.0,Delivered,
236,500236,2,682,140,9,21,99,102.0,1,LineHaulOne,Ground,2,3.0,4.0,Delivered,
237,500237,1,686,93,9,24,41,42.0,2,ParcelEx,Ground,1,1.0,4.0,Delivered,
238,500238,1,691,54,30,24,72,75.0,1,ParcelEx,Ground,2,3.0,4.0,Delivered,
239,500239,1,692,192,1,24,116,119.0,3,NorthCarrier,Express,4,3.0,4.0,Delivered,
240,500240,1,694,67,14,12,59,66.0,1,ParcelEx,Ground,5,7.0,4.0,Delayed,HubCongestion
241,500241,1,701,95,23,28,140,144.0,1,BlueRoad,Express,3,4.0,4.0,Delayed,Capacity
242,500242,1,703,139,25,39,63,66.0,1,LineHaulOne,Ground,2,3.0,4.0,Delivered,
243,500243,1,705,78,5,38,112,113.0,2,ParcelEx,Ground,1,1.0,4.0,Delivered,
244,500244,2,705,78,5,38,112,114.0,1,ParcelEx,Economy,3,2.0,4.0,Delivered,
245,500245,1,706,19,32,22,88,91.0,4,BlueRoad,Ground,3,3.0,4.0,Delivered,
246,500246,1,708,76,1,3,5,9.0,1,BlueRoad,Economy,3,4.0,4.0,Delivered,
247,500247,2,708,76,1,3,5,6.0,1,NorthCarrier,Ground,1,1.0,4.0,Delivered,
248,500248,1,713,48,32,38,115,118.0,1,LineHaulOne,Ground,4,3.0,4.0,Delivered,
249,500249,1,716,78,30,3,88,91.0,1,NorthCarrier,Ground,3,3.0,4.0,Delivered,
250,500250,2,716,78,30,3,88,89.0,1,ParcelEx,Ground,1,1.0,4.0,Delivered,
251,500251,3,716,78,30,3,88,90.0,1,ParcelEx,Express,2,2.0,4.0,Delivered,
252,500252,1,720,53,1,40,25,26.0,1,BlueRoad,Ground,2,1.0,4.0,Delivered,
253,500253,1,721,2,25,27,116,118.0,3,NorthCarrier,Express,2,2.0,4.0,Delivered,
254,500254,1,722,26,5,38,122,124.0,1,NorthCarrier,Express,3,2.0,4.0,Delivered,
255,500255,1,729,176,1,22,143,146.0,1,ParcelEx,Ground,3,3.0,4.0,Delivered,
256,500256,1,730,65,23,24,165,171.0,1,NorthCarrier,Ground,5,6.0,4.0,Delivered,
257,500257,1,735,69,14,21,120,124.0,1,BlueRoad,Express,3,4.0,4.0,Delivered,
258,500258,1,738,147,23,3,94,99.0,1,LineHaulOne,Economy,4,5.0,4.0,Delivered,
259,500259,1,741,150,1,24,66,68.0,1,BlueRoad,Ground,2,2.0,4.0,Delivered,
260,500260,1,745,130,30,21,82,85.0,2,ParcelEx,Ground,3,3.0,4.0,Delivered,
261,500261,1,753,129,23,33,95,102.0,1,BlueRoad,Ground,4,7.0,4.0,Delayed,HubCongestion
262,500262,1,761,6,5,22,74,78.0,1,LineHaulOne,Express,4,4.0,4.0,Delivered,
263,500263,1,763,104,18,16,72,77.0,1,LineHaulOne,Ground,5,5.0,4.0,Delivered,
264,500264,1,765,25,5,3,75,80.0,1,LineHaulOne,Ground,4,5.0,4.0,Delivered,
265,500265,1,769,145,32,8,100,104.0,1,BlueRoad,Express,4,4.0,4.0,Delivered,
266,500266,1,770,170,32,8,8,11.0,1,LineHaulOne,Economy,3,3.0,4.0,Delivered,
267,500267,1,772,164,1,3,102,104.0,1,LineHaulOne,Ground,2,2.0,4.0,Delivered,
268,500268,1,774,187,9,11,55,58.0,1,NorthCarrier,Ground,4,3.0,4.0,Delivered,
269,500269,1,775,76,30,16,127,133.0,1,ParcelEx,Ground,2,6.0,4.0,Delayed,Capacity
270,500270,1,777,152,5,3,63,65.0,1,ParcelEx,Ground,2,2.0,4.0,Delivered,
271,500271,1,778,124,31,16,43,47.0,2,ParcelEx,Ground,5,4.0,4.0,Delivered,
