ProductSupplierId,Product,Supplier,IsPrimarySupplier,MinOrderQty,OrderMultipleQty,PackSize,PlannedLeadTimeDays,UnitPurchaseCost,Incoterm,ShipMode
50,20,55,False,60,5,5,10,8.39,DDP,Road
51,20,57,False,20,10,10,10,6.12,EXW,Road
52,21,5,True,10,4,4,4,7.23,EXW,Road
53,21,35,False,100,4,4,6,4.54,FCA,Road
54,22,48,True,60,10,10,2,4.19,FCA,Road
55,23,10,True,40,1,1,11,6.63,DDP,Road
56,23,11,False,20,1,1,17,2.98,FCA,Road
57,23,30,True,20,4,4,21,6.31,DAP,Road
58,23,36,False,60,4,4,15,9.89,FCA,Road
59,24,18,True,10,4,4,13,10.12,FCA,Road
60,24,35,False,100,5,5,8,7.03,DDP,Ocean
61,24,37,False,60,5,5,14,8.28,DDP,Road
62,25,20,True,60,1,1,6,13.45,DDP,Road
63,25,38,True,60,2,2,3,6.58,DAP,Road
64,25,46,True,10,5,5,21,5.97,EXW,Road
65,25,59,False,20,1,1,20,7.56,DAP,Road
66,26,31,True,40,10,10,18,12.64,FCA,Road
67,26,46,False,100,4,4,14,7.79,FCA,Ocean
68,27,54,True,60,2,2,4,4.73,DDP,Ocean
69,27,55,False,20,4,4,9,6.73,DDP,Road
70,27,56,False,60,2,2,6,3.8,EXW,Road
71,28,22,True,60,2,2,18,6.12,DDP,Air
72,28,30,False,60,2,2,3,8.64,EXW,Air
73,28,33,True,100,10,10,11,16.16,FCA,Road
74,29,24,True,40,1,1,12,5.03,EXW,Road
75,29,35,False,20,2,2,14,8.4,FCA,Road
76,29,39,True,20,4,4,4,10.11,FCA,Ocean
77,30,51,True,20,4,4,20,11.58,FCA,Road
78,30,57,False,100,4,4,16,7.14,DDP,Road
79,31,34,True,40,1,1,15,5.88,DDP,Road
80,31,36,False,10,10,10,18,5.57,DDP,Ocean
81,31,43,False,60,4,4,8,10.25,DAP,Road
82,31,46,False,60,2,2,17,10.36,FCA,Road
83,31,56,False,20,4,4,13,14.41,EXW,Road
84,32,29,True,10,5,5,15,12.85,FCA,Road
85,32,32,False,40,10,10,14,6.49,FCA,Road
86,32,58,True,20,5,5,6,7.79,FCA,Ocean
87,33,24,True,20,5,5,14,8.24,DAP,Road
88,33,59,False,100,1,1,21,8.41,DDP,Road
89,34,5,True,40,5,5,11,5.91,FCA,Road
90,34,27,False,40,1,1,10,9.5,DAP,Road
91,35,44,True,20,10,10,12,8.09,FCA,Road
92,36,12,True,10,10,10,12,10.82,DAP,Ocean
93,36,33,False,60,4,4,21,6.05,FCA,Road
94,37,19,True,40,2,2,6,7.65,FCA,Road
95,37,39,False,10,1,1,6,7.23,EXW,Road
96,38,10,True,40,4,4,7,7.33,FCA,Road
97,38,35,True,60,2,2,18,9.21,DDP,Road
98,39,27,True,40,5,5,7,23.44,EXW,Ocean
99,39,43,True,20,1,1,12,3.7,DAP,Road
100,40,6,True,60,5,5,21,3.88,FCA,Road
101,40,15,True,20,1,1,15,7.29,EXW,Road
102,40,28,False,100,4,4,11,5.66,EXW,Road
103,40,49,False,20,5,5,11,6.96,DDP,Road
104,41,34,True,100,10,10,6,8.04,EXW,Road
105,42,44,True,100,5,5,7,7.53,FCA,Air
106,42,59,False,60,1,1,7,4.43,DAP,Road
107,43,20,True,10,5,5,15,13.4,FCA,Road
108,43,42,False,20,4,4,12,5.15,FCA,Air
109,43,54,False,20,5,5,5,18.31,DDP,Road
110,44,6,True,60,1,1,15,14.38,FCA,Road
111,44,43,False,40,10,10,14,9.4,DDP,Road
112,45,32,True,40,10,10,18,8.04,DDP,Road
113,45,38,True,40,4,4,21,3.75,DAP,Road
114,45,52,True,60,2,2,8,4.9,DDP,Road
115,46,29,True,60,2,2,9,11.14,FCA,Road
116,46,53,False,40,10,10,20,9.33,EXW,Ocean
117,47,3,True,20,1,1,15,5.41,FCA,Ocean
118,47,48,False,100,2,2,3,8.23,FCA,Road
119,48,53,True,10,2,2,10,5.91,DAP,Road
120,48,55,False,10,4,4,8,6.55,DAP,Road
121,49,5,True,60,10,10,13,15.59,FCA,Road
122,49,7,False,10,1,1,14,8.22,DAP,Road
123,49,31,False,40,1,1,17,10.33,FCA,Road
124,49,56,False,20,5,5,15,8.54,FCA,Road
125,50,16,True,20,4,4,19,4.25,DAP,Road
126,51,15,True,20,2,2,20,5.49,EXW,Road
127,51,35,True,40,10,10,13,9.12,DDP,Road
128,51,48,False,20,1,1,7,3.23,EXW,Road
129,51,52,True,20,1,1,12,5.47,FCA,Road
130,51,59,False,40,5,5,16,7.89,DDP,Road
131,52,6,True,10,10,10,14,12.93,DDP,Ocean
132,52,32,True,20,5,5,16,8.96,DDP,Road
133,53,12,True,60,2,2,11,9.65,DDP,Road
134,53,24,False,100,4,4,14,7.73,EXW,Road
135,53,32,False,60,2,2,15,7.12,EXW,Road
136,54,22,True,20,1,1,6,3.18,EXW,Road
137,54,52,True,40,2,2,5,7.82,DDP,Road
138,55,7,True,10,5,5,4,3.5,EXW,Road
139,56,14,True,40,1,1,7,12.06,FCA,Road
140,56,43,True,20,2,2,21,6.48,EXW,Air
141,57,1,True,20,2,2,17,9.87,DAP,Road
142,57,8,False,40,2,2,21,11.32,DDP,Ocean
143,57,25,False,20,1,1,15,4.19,EXW,Road
144,57,50,False,20,2,2,5,12.28,FCA,Road
145,57,60,False,20,10,10,2,7.73,DAP,Air
146,58,18,True,60,4,4,21,5.74,DAP,Road
147,58,33,False,20,2,2,17,11.38,DAP,Road
148,59,55,True,20,10,10,3,3.73,EXW,Road
149,59,60,False,100,2,2,13,5.74,EXW,Road
150,60,25,True,10,10,10,9,8.07,DAP,Road
151,60,27,False,20,1,1,13,5.73,DDP,Ocean
152,61,24,True,40,4,4,13,19.03,DAP,Road
153,62,46,True,60,5,5,9,3.91,DAP,Air
154,62,51,True,40,4,4,7,5.12,DAP,Road
155,63,9,True,40,1,1,15,4.77,FCA,Ocean
156,63,45,False,10,5,5,17,9.06,FCA,Road
157,63,60,False,40,2,2,14,9.96,FCA,Road
158,64,7,True,60,4,4,14,13.92,FCA,Road
159,64,33,True,40,1,1,10,11.88,EXW,Road
160,64,45,False,20,5,5,15,8.69,DDP,Road
161,65,3,True,40,2,2,6,8.43,DAP,Road
162,65,4,False,10,1,1,6,14.36,DAP,Road
163,65,45,False,20,10,10,7,4.4,DAP,Air
164,66,35,True,20,10,10,2,6.45,DAP,Road
165,66,49,True,20,10,10,3,9.79,EXW,Road
166,67,29,True,20,2,2,12,13.58,FCA,Air
167,67,54,False,20,4,4,19,10.35,DDP,Road
168,68,10,True,10,2,2,13,14.88,DAP,Road
169,68,58,False,20,5,5,16,6.35,DAP,Road
170,69,30,True,10,5,5,2,6.62,DDP,Ocean
171,69,31,True,20,4,4,10,6.03,DAP,Road
172,69,33,True,20,5,5,20,5.58,DDP,Road
173,70,25,True,40,2,2,21,3.81,DDP,Road
174,70,42,False,10,4,4,4,4.05,DDP,Ocean
175,71,12,True,10,4,4,17,20.74,FCA,Road
176,71,30,True,60,5,5,7,6.34,DAP,Road
177,71,32,True,20,1,1,3,13.87,DAP,Ocean
178,71,37,True,10,2,2,13,5.16,EXW,Road
179,71,49,True,100,1,1,18,9.64,DAP,Road
180,71,53,False,40,10,10,4,5.98,EXW,Road
181,72,31,True,20,10,10,9,5.36,EXW,Road
182,72,47,True,40,5,5,3,6.92,FCA,Road
183,72,51,True,40,10,10,16,4.48,EXW,Road
184,72,53,False,10,10,10,6,5.17,DAP,Road
185,73,11,True,10,10,10,7,4.48,EXW,Air
186,74,24,True,40,10,10,8,11.42,DAP,Road
187,74,41,False,40,1,1,18,3.45,DDP,Ocean
188,74,56,False,20,2,2,14,6.86,EXW,Road
189,75,14,True,10,5,5,16,8.04,EXW,Road
190,76,57,True,100,1,1,7,8.44,DAP,Road
191,77,4,True,60,10,10,7,5.62,FCA,Road
192,77,18,False,20,5,5,2,3.89,DDP,Road
193,77,52,False,20,10,10,21,8.06,EXW,Road
194,77,59,True,10,5,5,16,5.89,FCA,Road
195,78,37,True,10,1,1,19,9.27,DAP,Road
196,79,12,True,100,5,5,3,4.54,EXW,Road
197,80,10,True,40,1,1,14,3.7,EXW,Road
198,80,17,True,40,4,4,2,4.8,FCA,Road
199,80,46,False,10,4,4,13,7.35,FCA,Road
200,80,49,False,10,1,1,11,7.17,DDP,Road
201,81,17,True,20,1,1,14,5.59,EXW,Road
202,81,22,False,20,2,2,10,12.78,EXW,Road
203,82,16,True,100,1,1,18,4.5,FCA,Road
204,82,57,False,20,4,4,16,9.45,DDP,Road
205,83,1,True,60,2,2,4,12.58,DAP,Road
206,83,3,False,10,1,1,9,5.56,DDP,Air
207,83,14,False,40,1,1,12,6.82,EXW,Road
208,84,28,True,10,1,1,6,6.28,EXW,Road
209,84,32,False,10,2,2,21,11.94,DDP,Road
210,84,36,True,20,10,10,6,3.09,FCA,Road
211,84,39,False,20,5,5,8,5.68,EXW,Road
212,84,54,False,40,2,2,4,15.44,DAP,Road
213,85,14,True,60,5,5,6,4.13,EXW,Road
214,85,27,False,10,4,4,6,11.57,EXW,Ocean
215,85,41,False,10,5,5,6,10.93,DDP,Road
216,85,50,True,40,1,1,2,8.12,EXW,Air
217,86,5,True,20,2,2,8,2.02,EXW,Road
218,86,13,False,100,1,1,6,10.2,DDP,Road
219,86,56,True,40,1,1,11,8.32,DAP,Road
220,87,8,True,20,10,10,21,9.49,FCA,Road
221,87,53,True,100,1,1,19,7.37,DAP,Road
222,88,1,True,10,2,2,13,4.08,FCA,Road
223,88,15,False,60,1,1,15,6.59,DDP,Ocean
224,88,16,True,40,4,4,15,14.3,DDP,Air
225,88,35,True,20,4,4,11,6.16,FCA,Road
226,88,54,False,60,5,5,18,6.85,FCA,Road
227,89,37,True,20,2,2,20,5.35,DAP,Road
228,89,41,True,40,5,5,12,6.18,FCA,Ocean
229,89,45,False,20,10,10,18,4.01,DAP,Road
230,89,58,False,40,2,2,12,4.74,DDP,Road
231,90,12,True,40,10,10,16,9.77,EXW,Ocean
232,90,27,False,20,10,10,17,8.41,EXW,Road
233,90,50,False,40,4,4,11,8.4,EXW,Air
234,91,35,True,40,4,4,7,3.38,DDP,Road
235,92,31,True,100,5,5,17,7.84,FCA,Road
236,92,38,False,10,2,2,18,6.56,DDP,Road
237,93,21,True,100,5,5,7,17.85,FCA,Road
238,94,39,True,10,10,10,10,7.84,DDP,Road
239,95,5,True,100,4,4,17,5.21,DDP,Road
240,95,25,False,40,5,5,18,4.03,FCA,Ocean
241,95,30,True,100,1,1,15,19.89,EXW,Road
242,95,46,False,60,2,2,13,8.38,FCA,Road
243,95,47,True,60,2,2,6,3.63,DAP,Road
244,95,52,True,10,1,1,8,3.19,DDP,Ocean
245,96,19,True,100,4,4,3,27.25,DAP,Road
246,96,36,True,20,1,1,13,9.19,FCA,Road
247,96,39,True,100,1,1,6,21.7,FCA,Road
248,97,17,True,40,2,2,11,6.47,DDP,Air
249,97,22,False,40,10,10,9,7.91,DAP,Road
250,98,46,True,20,10,10,4,14.21,DDP,Road
251,99,26,True,60,10,10,12,6.93,DAP,Road
252,100,3,True,40,5,5,9,6.86,FCA,Road
253,100,8,False,10,2,2,8,3.34,EXW,Road
254,100,9,True,100,5,5,8,10.69,DAP,Ocean
255,100,30,False,10,4,4,5,3.83,FCA,Road
256,100,48,True,40,10,10,11,3.11,EXW,Road
257,101,15,True,40,2,2,14,7.39,EXW,Road
258,101,16,False,40,4,4,20,9.15,DAP,Road
259,101,28,False,10,4,4,10,6.84,DDP,Road
260,101,40,True,20,4,4,2,9.1,DDP,Road
261,101,46,True,10,4,4,9,6.22,DDP,Ocean
262,102,27,True,60,10,10,2,7.89,EXW,Road
263,102,31,False,40,2,2,15,9.07,DAP,Road
264,102,32,False,100,4,4,21,11.75,EXW,Road
265,102,35,True,60,1,1,14,4.84,DAP,Road
266,102,43,False,20,4,4,21,3.96,DDP,Road
267,102,46,False,20,10,10,11,12.2,EXW,Road
268,103,19,True,20,4,4,2,7.21,FCA,Road
269,104,14,True,20,1,1,13,4.77,EXW,Road
270,104,38,False,20,2,2,10,24.74,FCA,Road
271,104,55,False,40,1,1,9,8.59,DAP,Road
272,105,8,True,10,2,2,21,4.63,EXW,Road
273,105,22,True,20,10,10,2,5.77,DDP,Road
274,106,15,True,40,5,5,6,13.58,DAP,Road
275,106,35,False,10,5,5,10,4.8,DDP,Road
276,106,41,True,60,10,10,3,4.83,DDP,Road
277,107,34,True,100,1,1,10,1.54,FCA,Road
278,108,11,True,20,10,10,2,8.31,FCA,Road
279,108,43,False,40,5,5,2,12.57,DDP,Ocean
280,108,52,False,100,1,1,21,12.7,FCA,Road
281,109,33,True,10,10,10,2,7.72,DAP,Road
282,110,40,True,60,1,1,14,11.66,DDP,Ocean
283,110,51,False,40,1,1,18,4.89,DDP,Road
284,111,44,True,20,1,1,4,6.9,DAP,Road
285,112,14,True,40,1,1,3,5.52,FCA,Road
286,112,34,False,20,5,5,2,4.96,DDP,Road
287,112,55,False,20,2,2,19,5.81,FCA,Ocean
288,113,27,True,20,1,1,7,10.42,EXW,Road
289,113,31,False,20,4,4,6,11.24,FCA,Road
290,113,40,False,40,4,4,20,8.43,DAP,Road
291,114,4,True,100,1,1,3,7.04,EXW,Ocean
292,114,12,True,40,1,1,15,5.18,FCA,Air
293,114,18,False,20,2,2,3,7.07,EXW,Ocean
294,114,21,False,100,5,5,14,7.04,FCA,Ocean
295,114,23,False,60,1,1,12,3.67,EXW,Road
296,115,25,True,20,1,1,10,4.55,EXW,Road
297,116,43,True,10,4,4,8,5.71,DDP,Road
298,116,44,False,10,10,10,5,6.68,FCA,Road
299,117,21,True,20,1,1,8,5.13,DAP,Road
300,117,53,False,60,1,1,18,9.51,DAP,Air
301,118,18,True,100,1,1,16,13.52,EXW,Road
302,118,42,True,20,4,4,5,8.19,DAP,Ocean
303,118,53,True,20,1,1,10,8.3,DAP,Road
304,119,40,True,40,4,4,8,8.1,EXW,Road
305,119,50,True,20,5,5,6,13.38,FCA,Road
306,119,54,False,60,2,2,12,6.23,EXW,Air
307,120,37,True,40,4,4,7,5.8,DAP,Road
308,120,42,True,20,10,10,18,5.27,EXW,Road
309,120,43,True,20,4,4,12,2.44,EXW,Road
310,121,8,True,20,4,4,13,6.4,EXW,Road
311,121,29,True,40,2,2,4,12.32,DAP,Road
312,121,35,False,10,1,1,15,4.53,FCA,Road
313,122,36,True,20,5,5,13,7.07,DAP,Road
314,122,44,False,40,4,4,20,6.25,FCA,Road
315,123,13,True,10,2,2,3,10.61,EXW,Road
316,123,36,False,20,10,10,21,7.42,EXW,Air
317,124,13,True,20,5,5,14,6.06,EXW,Ocean
318,125,13,True,20,2,2,2,18.13,EXW,Road
319,125,29,False,60,2,2,21,10.49,EXW,Air
320,126,31,True,10,4,4,8,8.68,DDP,Road
321,126,48,False,40,1,1,3,3.5,EXW,Road
322,127,39,True,100,5,5,13,6.08,FCA,Road
323,127,59,False,40,2,2,12,10.68,DAP,Road
324,128,25,True,20,2,2,17,9.65,FCA,Road
325,129,10,True,100,1,1,11,8.85,FCA,Road
326,130,37,True,10,1,1,9,19.04,FCA,Road
327,130,40,True,10,1,1,20,10.87,FCA,Road
328,130,50,False,40,4,4,19,9.15,DAP,Road
329,131,12,True,20,5,5,10,6.31,DDP,Road
330,132,27,True,40,10,10,18,7.32,EXW,Air
331,132,41,False,20,1,1,17,5.17,EXW,Road
332,133,19,True,60,1,1,12,8.88,DDP,Road
333,133,30,False,60,1,1,13,4.96,DDP,Air
334,134,14,True,40,1,1,19,5.61,EXW,Road
335,135,19,True,10,2,2,11,7.9,DDP,Road
336,135,26,True,100,5,5,5,4.66,DDP,Road
337,135,31,False,40,2,2,17,8.49,FCA,Road
338,135,36,False,40,2,2,15,6.96,DAP,Road
339,136,11,True,60,5,5,10,4.18,DDP,Road
340,136,34,True,20,4,4,14,9.19,DDP,Road
341,136,55,False,100,2,2,5,9.46,EXW,Road
342,137,3,True,60,2,2,16,8.4,EXW,Road
343,137,21,False,100,4,4,15,8.64,DDP,Road
344,137,44,False,20,4,4,18,3.46,EXW,Road
345,137,56,False,10,4,4,4,7.59,DAP,Road
346,138,7,True,100,5,5,14,5.0,DAP,Ocean
347,139,36,True,20,4,4,3,2.45,DDP,Road
348,139,46,True,40,4,4,12,7.63,EXW,Road
349,139,51,False,60,2,2,9,5.81,DDP,Road
350,140,1,True,10,4,4,11,4.39,DAP,Air
351,141,29,True,10,1,1,14,10.85,DAP,Air
352,141,42,False,60,5,5,8,4.53,DDP,Road
353,141,57,False,60,5,5,19,13.57,EXW,Road
354,142,17,True,10,4,4,15,5.4,DDP,Ocean
355,142,19,False,100,4,4,10,3.8,FCA,Road
356,142,56,True,20,2,2,21,5.15,EXW,Road
357,143,4,True,20,1,1,10,7.56,FCA,Road
358,143,8,True,40,1,1,2,9.44,EXW,Ocean
359,143,45,False,20,2,2,3,7.38,EXW,Road
360,144,42,True,60,2,2,21,8.41,EXW,Road
361,144,43,False,40,2,2,12,9.96,EXW,Road
362,145,1,True,10,2,2,8,5.58,DDP,Road
363,145,40,True,20,1,1,21,8.1,FCA,Road
364,145,46,False,60,4,4,16,10.73,DAP,Road
365,146,55,True,20,1,1,21,9.11,DDP,Air
366,147,31,True,60,1,1,10,17.94,DDP,Road
367,147,41,True,20,5,5,19,8.35,DDP,Road
368,147,53,False,60,1,1,13,5.92,FCA,Road
369,148,33,True,10,5,5,8,5.47,DDP,Road
370,149,46,True,60,10,10,4,8.8,DAP,Road
371,150,14,True,20,4,4,20,6.87,EXW,Ocean
372,150,26,False,60,2,2,21,11.95,FCA,Road
373,151,36,True,40,4,4,12,8.29,EXW,Road
374,151,52,False,10,2,2,9,8.85,EXW,Road
375,151,54,True,60,1,1,20,6.21,FCA,Air
376,152,1,True,60,1,1,4,11.89,FCA,Road
377,152,6,False,100,1,1,9,1.59,EXW,Road
378,152,46,False,20,4,4,10,8.83,FCA,Road
379,153,23,True,20,4,4,3,16.35,DAP,Road
380,153,27,False,20,5,5,10,12.09,DDP,Road
381,153,45,False,20,2,2,10,2.08,EXW,Ocean
382,154,29,True,40,1,1,4,19.95,DAP,Ocean
383,154,60,False,20,4,4,18,9.03,DAP,Road
384,155,2,True,20,10,10,13,6.23,DAP,Road
385,155,12,False,20,1,1,9,4.65,EXW,Road
386,155,14,True,20,2,2,12,14.09,DAP,Road
387,155,58,False,60,2,2,12,4.04,DAP,Ocean
388,156,11,True,40,1,1,12,6.92,DDP,Road
389,156,12,True,40,5,5,3,11.78,FCA,Road
390,156,14,True,20,4,4,3,4.24,EXW,Road
391,156,16,True,10,10,10,17,8.54,DAP,Road
392,156,41,True,100,5,5,8,4.54,DAP,Road
393,156,44,False,10,2,2,5,3.83,EXW,Ocean
394,157,1,True,20,2,2,21,3.67,DAP,Road
395,157,18,False,40,2,2,21,12.31,FCA,Road
396,157,38,True,60,1,1,13,4.73,DAP,Air
397,157,60,False,20,1,1,11,5.99,DDP,Road
398,158,33,True,60,2,2,11,9.08,EXW,Air
399,159,2,True,40,4,4,6,4.01,FCA,Road
400,159,12,False,20,10,10,7,10.5,EXW,Road
401,159,27,False,100,2,2,5,13.12,EXW,Road
402,160,35,True,20,5,5,14,13.5,DDP,Road
403,161,14,True,100,1,1,19,8.3,DDP,Road
404,162,16,True,20,4,4,8,7.62,FCA,Road
405,163,12,True,40,1,1,15,7.75,DAP,Road
406,163,21,False,20,5,5,12,9.16,DAP,Road
407,164,20,True,40,5,5,17,4.9,DAP,Road
408,164,47,False,40,4,4,18,4.52,DAP,Road
409,165,6,True,100,1,1,19,12.56,DDP,Road
410,165,10,True,60,10,10,7,7.33,FCA,Air
411,165,52,False,10,4,4,6,12.35,FCA,Road
412,166,2,True,10,4,4,10,5.99,DDP,Air
413,166,54,True,40,4,4,12,5.5,DDP,Road
414,167,38,True,20,1,1,12,7.41,EXW,Road
415,167,46,True,20,2,2,11,5.07,FCA,Road
416,167,50,False,20,4,4,2,5.38,EXW,Road
417,168,33,True,20,4,4,2,11.92,DDP,Road
418,169,1,True,20,5,5,6,15.62,EXW,Road
419,169,40,False,100,10,10,7,9.79,EXW,Road
420,169,49,True,40,10,10,15,9.79,DDP,Ocean
421,170,3,True,20,1,1,14,7.07,DAP,Road
422,171,18,True,40,2,2,10,8.08,EXW,Air
423,171,31,True,100,2,2,6,6.22,EXW,Road
424,171,38,True,60,10,10,13,5.47,DDP,Ocean
425,172,40,True,20,2,2,15,11.19,FCA,Road
426,172,49,False,40,4,4,19,9.33,EXW,Ocean
427,172,50,False,40,5,5,5,3.51,DDP,Road
428,172,52,False,20,5,5,4,8.97,FCA,Road
429,173,29,True,10,2,2,15,7.45,DDP,Road
430,173,31,False,100,4,4,7,10.39,EXW,Road
431,173,32,True,60,4,4,18,3.88,DDP,Road
432,173,35,False,20,2,2,19,6.89,DAP,Road
433,174,1,True,20,5,5,7,8.87,DAP,Road
434,175,24,True,60,1,1,3,11.03,DAP,Road
435,175,57,False,100,5,5,8,5.96,EXW,Road
436,176,19,True,100,2,2,9,3.79,DAP,Road
437,176,37,False,40,2,2,9,10.5,EXW,Road
438,176,39,False,20,10,10,19,4.9,FCA,Road
439,177,29,True,20,10,10,4,11.19,FCA,Road
440,177,41,False,20,5,5,10,8.02,FCA,Road
441,177,52,False,20,1,1,13,6.05,FCA,Road
442,178,9,True,20,5,5,19,7.41,DAP,Air
443,178,59,False,40,10,10,21,6.76,DDP,Ocean
444,179,7,True,100,5,5,19,4.35,DDP,Road
445,180,39,True,40,1,1,21,12.64,DDP,Road
446,180,42,False,20,1,1,16,9.9,FCA,Road
447,181,11,True,60,1,1,19,5.77,DAP,Ocean
448,181,32,False,60,4,4,18,18.63,DDP,Road
449,181,36,True,40,4,4,2,5.68,DDP,Road
450,182,28,True,100,5,5,19,10.2,EXW,Road
451,182,43,True,60,2,2,6,3.45,DAP,Road
452,183,35,True,10,4,4,3,9.86,FCA,Ocean
453,184,20,True,20,2,2,5,4.48,FCA,Road
454,184,60,False,20,1,1,9,4.52,EXW,Road
455,185,7,True,60,5,5,17,5.35,FCA,Air
456,185,15,False,10,2,2,7,11.43,EXW,Road
457,186,4,True,20,10,10,21,6.38,DDP,Road
458,186,13,True,40,10,10,5,3.28,EXW,Road
459,186,44,True,20,5,5,6,15.93,FCA,Road
460,186,60,True,20,5,5,9,6.02,EXW,Road
461,187,6,True,20,10,10,18,7.09,FCA,Road
462,188,40,True,40,10,10,13,8.33,DAP,Air
463,189,8,True,40,4,4,16,3.99,FCA,Ocean
464,189,21,True,60,2,2,15,6.7,DDP,Road
465,190,14,True,10,1,1,10,2.0,EXW,Road
466,190,50,False,10,1,1,21,7.2,DDP,Ocean
467,191,3,True,20,10,10,15,23.19,FCA,Road
468,191,31,False,60,5,5,18,5.18,FCA,Road
469,192,14,True,20,5,5,18,7.28,FCA,Road
470,192,21,False,20,4,4,20,8.86,EXW,Road
471,192,47,False,10,2,2,15,4.29,FCA,Road
472,193,1,True,40,2,2,21,4.15,FCA,Road
473,193,3,False,40,2,2,4,12.27,DDP,Road
474,193,36,False,20,2,2,10,2.64,EXW,Road
475,194,2,True,20,1,1,14,9.7,EXW,Road
476,194,17,False,100,10,10,8,7.17,DDP,Ocean
477,194,24,False,10,1,1,13,4.18,FCA,Road
478,195,58,True,100,1,1,11,6.02,FCA,Road
479,196,56,True,60,1,1,8,4.39,FCA,Road
480,197,2,True,40,4,4,21,3.97,EXW,Road
481,197,3,True,20,4,4,19,15.63,EXW,Road
482,197,5,False,60,10,10,14,4.78,DDP,Road
483,197,48,True,10,5,5,2,5.69,DAP,Ocean
484,198,6,True,20,10,10,5,4.29,DAP,Ocean
485,198,21,False,10,4,4,13,9.13,DAP,Road
486,198,35,True,10,5,5,12,4.54,EXW,Road
487,199,9,True,100,1,1,4,6.23,FCA,Road
488,199,13,False,10,1,1,9,6.8,EXW,Road
489,199,14,False,40,5,5,9,12.24,FCA,Road
490,199,20,False,100,10,10,7,8.94,DAP,Road
491,199,29,False,10,10,10,19,7.77,DAP,Ocean
492,199,31,False,40,1,1,12,10.11,DDP,Road
493,199,35,False,10,1,1,13,10.9,DAP,Road
494,199,44,True,10,4,4,9,8.37,DAP,Ocean
495,199,46,False,10,4,4,9,2.82,FCA,Road
496,200,5,True,60,5,5,15,18.62,DAP,Road
497,200,6,True,10,2,2,7,7.38,EXW,Air
498,200,28,False,20,10,10,16,12.18,DDP,Air
499,200,45,False,60,2,2,17,6.94,FCA,Road
500,200,49,False,20,10,10,3,5.92,DDP,Road
