PurchaseOrderLineId,PurchaseOrderId,LineNumber,Supplier,Product,ShipFromLocation,DeliverToLocation,OrderDate,ExpectedReceiptDate,ReceiptDate,OrderedQty,ReceivedQty,UnitPurchaseCost,Status,CancelReason,PlannedLeadTimeDays,ActualLeadTimeDays
23,200017,1,33,148,15,1,98,106,107.0,20,19,5.37,PartReceived,,8,9.0
24,200017,2,43,108,6,18,36,38,37.0,50,25,12.84,PartReceived,,2,1.0
25,200018,1,45,65,17,31,32,39,45.0,50,49,4.5,PartReceived,,7,13.0
26,200019,1,3,83,17,14,89,98,107.0,12,9,5.65,PartReceived,,9,18.0
27,200019,2,33,69,15,32,68,88,,45,0,5.82,Cancelled,SupplierIssue,20,
28,200020,1,15,19,19,18,151,170,170.0,32,31,14.66,PartReceived,,19,19.0
29,200020,2,5,86,4,32,64,72,74.0,26,25,2.1,PartReceived,,8,10.0
30,200021,1,1,157,19,25,73,94,99.0,32,30,3.71,PartReceived,,21,26.0
31,200022,1,14,190,4,14,10,20,19.0,11,10,2.02,PartReceived,,10,9.0
32,200023,1,46,26,15,5,114,128,130.0,120,61,8.03,PartReceived,,14,16.0
33,200023,2,13,186,17,5,142,147,158.0,70,68,3.32,PartReceived,,5,16.0
34,200023,3,46,26,15,30,146,160,166.0,124,118,7.74,PartReceived,,14,20.0
35,200023,4,4,186,19,31,74,95,99.0,30,29,6.57,PartReceived,,21,25.0
36,200023,5,24,74,26,5,161,169,168.0,90,88,11.51,PartReceived,,8,7.0
37,200023,6,19,176,6,5,73,82,82.0,110,107,3.86,PartReceived,,9,9.0
38,200024,1,11,23,6,1,26,43,44.0,25,24,3.06,PartReceived,,17,18.0
39,200024,2,59,33,26,23,137,158,166.0,102,71,8.67,PartReceived,,21,29.0
40,200024,3,43,108,6,9,141,143,143.0,65,50,12.74,PartReceived,,2,2.0
41,200024,4,56,74,4,5,134,148,147.0,22,21,7.18,PartReceived,,14,13.0
42,200025,1,27,85,17,14,106,112,113.0,30,20,11.35,PartReceived,,6,7.0
43,200025,2,34,31,6,25,144,159,158.0,46,45,5.73,PartReceived,,15,14.0
44,200025,3,4,77,19,18,82,89,97.0,70,66,5.79,PartReceived,,7,15.0
45,200026,1,27,34,17,23,124,134,134.0,41,39,9.65,PartReceived,,10,10.0
46,200026,2,31,19,15,9,103,123,123.0,11,10,3.99,PartReceived,,20,20.0
47,200026,3,33,36,15,30,119,140,140.0,72,71,6.14,PartReceived,,21,21.0
48,200027,1,13,124,17,31,90,104,106.0,35,24,5.9,PartReceived,,14,16.0
49,200028,1,45,89,17,31,112,130,130.0,50,49,3.9,PartReceived,,18,18.0
50,200028,2,5,86,4,25,101,109,110.0,22,20,2.01,PartReceived,,8,9.0
51,200029,1,27,60,17,31,85,98,97.0,24,23,5.66,PartReceived,,13,12.0
52,200030,1,8,57,15,1,64,85,86.0,42,41,11.71,PartReceived,,21,22.0
53,200030,2,22,105,15,32,168,170,172.0,60,58,5.97,PartReceived,,2,4.0
54,200031,1,44,122,15,23,72,92,103.0,56,32,6.34,PartReceived,,20,31.0
55,200031,2,50,119,26,14,172,178,180.0,35,34,13.56,PartReceived,,6,8.0
56,200031,3,36,31,6,30,4,22,22.0,40,38,5.45,PartReceived,,18,18.0
57,200031,4,55,59,4,18,173,176,177.0,70,68,3.82,PartReceived,,3,4.0
58,200032,1,8,87,15,25,13,34,33.0,70,68,9.66,PartReceived,,21,20.0
59,200032,2,51,62,6,23,28,35,34.0,44,43,5.06,PartReceived,,7,6.0
60,200032,3,35,198,15,9,21,33,39.0,20,11,4.7,PartReceived,,12,18.0
61,200033,1,36,123,6,18,147,168,167.0,80,77,7.56,PartReceived,,21,20.0
62,200034,1,40,119,17,1,5,13,13.0,64,63,7.86,PartReceived,,8,8.0
63,200035,1,54,151,4,32,67,87,89.0,66,53,6.5,PartReceived,,20,22.0
64,200035,2,52,151,19,5,172,180,179.0,14,8,8.96,PartReceived,,9,7.0
65,200036,1,4,186,19,23,66,87,88.0,60,59,6.49,PartReceived,,21,22.0
66,200036,2,58,68,19,14,81,97,99.0,30,14,6.46,PartReceived,,16,18.0
67,200037,1,28,13,19,25,86,103,102.0,22,21,9.21,PartReceived,,17,16.0
68,200038,1,28,84,19,18,87,93,95.0,14,13,6.21,PartReceived,,6,8.0
69,200039,1,48,47,17,5,179,180,180.0,102,64,8.13,PartReceived,,3,1.0
70,200039,2,6,198,6,5,101,106,114.0,40,38,4.32,PartReceived,,5,13.0
71,200040,1,18,171,15,32,39,49,57.0,52,51,8.3,PartReceived,,10,18.0
72,200041,1,55,19,4,14,105,108,107.0,14,10,12.73,PartReceived,,3,2.0
73,200042,1,22,28,15,25,56,74,73.0,70,38,6.05,PartReceived,,18,17.0
74,200043,1,31,102,15,23,111,126,125.0,46,44,8.93,PartReceived,,15,14.0
75,200043,2,41,85,26,31,57,63,62.0,40,38,10.81,PartReceived,,6,5.0
76,200043,3,44,8,15,9,102,116,118.0,14,13,5.02,PartReceived,,14,16.0
77,200044,1,25,95,17,18,67,85,85.0,65,64,3.94,PartReceived,,18,18.0
78,200045,1,46,101,15,1,150,159,161.0,14,13,6.08,PartReceived,,9,11.0
79,200046,1,38,157,15,9,124,137,136.0,63,44,4.94,PartReceived,,13,12.0
80,200046,2,51,110,6,18,146,164,168.0,43,42,4.78,PartReceived,,18,22.0
81,200047,1,38,92,15,1,164,180,180.0,18,11,6.66,PartReceived,,18,16.0
82,200047,2,8,189,15,14,127,143,142.0,60,58,3.93,PartReceived,,16,15.0
83,200047,3,21,198,19,25,114,127,127.0,22,16,9.28,PartReceived,,13,13.0
84,200048,1,25,115,17,14,94,104,105.0,23,22,4.5,PartReceived,,10,11.0
85,200049,1,13,125,17,32,103,105,106.0,28,27,18.97,PartReceived,,2,3.0
86,200050,1,45,200,17,25,26,43,53.0,72,71,7.14,PartReceived,,17,27.0
87,200051,1,55,146,4,23,64,85,84.0,26,25,8.89,PartReceived,,21,20.0
88,200052,1,37,120,19,18,16,23,22.0,56,53,6.03,PartReceived,,7,6.0
89,200053,1,16,156,6,18,100,117,118.0,20,14,8.92,PartReceived,,17,18.0
90,200053,2,31,147,15,5,3,13,12.0,64,62,17.97,PartReceived,,10,9.0
91,200053,3,38,92,15,25,144,162,164.0,14,13,6.57,PartReceived,,18,20.0
92,200054,1,46,98,15,14,63,67,66.0,60,28,14.42,PartReceived,,4,3.0
93,200054,2,14,112,4,31,70,73,75.0,45,44,5.51,PartReceived,,3,5.0
94,200055,1,1,152,19,18,37,41,41.0,65,64,11.93,PartReceived,,4,4.0
95,200055,2,32,32,26,1,75,89,88.0,90,89,6.43,PartReceived,,14,13.0
96,200056,1,30,23,19,30,167,180,180.0,40,38,6.42,PartReceived,,21,13.0
97,200057,1,58,16,19,14,57,59,63.0,60,58,4.88,PartReceived,,2,6.0
98,200058,1,18,157,15,32,31,52,53.0,52,50,12.5,PartReceived,,21,22.0
99,200059,1,11,108,6,14,33,35,41.0,30,29,8.19,PartReceived,,2,8.0
100,200060,1,36,123,6,25,166,180,180.0,70,67,7.52,PartReceived,,21,14.0
101,200060,2,16,162,6,14,74,82,84.0,44,42,7.97,PartReceived,,8,10.0
102,200061,1,4,114,19,18,107,110,110.0,105,71,6.85,PartReceived,,3,3.0
103,200062,1,54,43,4,32,67,72,71.0,40,38,18.54,PartReceived,,5,4.0
104,200063,1,40,6,17,32,65,78,79.0,115,112,5.59,PartReceived,,13,14.0
105,200064,1,29,32,26,14,58,73,72.0,40,39,13.0,PartReceived,,15,14.0
106,200065,1,52,95,19,14,43,51,51.0,15,14,3.17,PartReceived,,8,8.0
107,200065,2,15,51,19,5,125,145,145.0,24,23,5.65,PartReceived,,20,20.0
108,200065,3,54,43,4,5,154,159,158.0,40,39,18.5,PartReceived,,5,4.0
109,200065,4,1,83,19,9,172,176,176.0,64,62,13.11,PartReceived,,4,4.0
110,200065,5,41,74,26,31,42,60,61.0,41,36,3.35,PartReceived,,18,19.0
111,200065,6,6,44,6,23,175,180,180.0,64,44,14.1,PartReceived,,15,5.0
112,200065,7,31,126,15,14,46,54,53.0,34,33,8.58,PartReceived,,8,7.0
113,200065,8,43,116,6,30,132,140,142.0,14,13,5.87,PartReceived,,8,10.0
114,200066,1,11,181,6,25,171,180,180.0,61,59,5.75,PartReceived,,19,9.0
115,200067,1,56,27,4,32,150,156,160.0,72,69,3.85,PartReceived,,6,10.0
116,200068,1,45,143,17,30,140,143,145.0,22,21,7.61,PartReceived,,3,5.0
117,200069,1,31,49,15,18,36,53,60.0,44,42,10.31,PartReceived,,17,24.0
118,200070,1,31,171,15,25,18,24,26.0,104,101,6.32,PartReceived,,6,8.0
119,200071,1,19,176,6,5,118,127,129.0,104,100,3.92,PartReceived,,9,11.0
120,200072,1,57,141,6,30,98,117,118.0,90,87,14.11,PartReceived,,19,20.0
121,200072,2,50,90,26,32,33,44,52.0,52,50,8.53,PartReceived,,11,19.0
122,200073,1,33,109,15,5,157,159,158.0,20,19,7.73,PartReceived,,2,1.0
123,200074,1,33,109,15,25,174,176,176.0,40,39,7.92,PartReceived,,2,2.0
124,200075,1,3,191,17,32,41,56,58.0,60,58,23.93,PartReceived,,15,17.0
125,200075,2,31,173,15,31,17,24,24.0,116,112,10.49,PartReceived,,7,7.0
126,200075,3,46,149,15,1,110,114,116.0,110,106,8.75,PartReceived,,4,6.0
127,200076,1,33,158,15,18,68,79,79.0,72,71,8.99,PartReceived,,11,11.0
128,200076,2,55,20,4,14,19,29,35.0,85,54,8.31,PartReceived,,10,16.0
129,200077,1,24,29,26,32,26,38,40.0,44,42,5.1,PartReceived,,12,14.0
130,200077,2,33,14,15,23,1,16,16.0,65,63,6.5,PartReceived,,15,15.0
131,200077,3,18,118,15,5,114,130,132.0,102,99,13.74,PartReceived,,16,18.0
132,200078,1,17,142,6,31,156,171,173.0,22,21,5.34,PartReceived,,15,17.0
133,200079,1,35,66,15,25,66,68,68.0,60,58,6.69,PartReceived,,2,2.0
134,200079,2,12,163,17,23,93,108,107.0,41,40,7.94,PartReceived,,15,14.0
135,200080,1,44,42,15,14,46,53,54.0,125,123,7.43,PartReceived,,7,8.0
136,200080,2,27,102,17,14,15,17,18.0,90,65,7.9,PartReceived,,2,3.0
137,200081,1,58,16,19,5,41,43,42.0,50,49,4.67,PartReceived,,2,1.0
138,200081,2,8,105,15,5,123,144,143.0,18,17,4.79,PartReceived,,21,20.0
139,200082,1,31,191,15,1,153,171,177.0,90,85,5.1,PartReceived,,18,24.0
140,200082,2,19,135,6,30,71,82,91.0,22,21,8.17,PartReceived,,11,20.0
141,200083,1,19,96,6,25,171,174,176.0,108,106,27.62,PartReceived,,3,5.0
142,200083,2,52,95,19,5,66,74,73.0,11,10,3.25,PartReceived,,8,7.0
143,200083,3,18,77,15,18,112,114,,25,0,4.05,Cancelled,DemandDrop,2,
144,200084,1,40,145,17,18,51,72,72.0,25,24,7.96,PartReceived,,21,21.0
145,200084,2,30,100,19,1,65,70,79.0,18,11,3.91,PartReceived,,5,14.0
146,200085,1,42,70,6,30,161,165,164.0,14,11,4.23,PartReceived,,4,3.0
147,200086,1,37,71,19,30,180,180,180.0,16,15,5.06,PartReceived,,13,0.0
148,200087,1,22,81,15,32,108,118,118.0,28,26,12.43,PartReceived,,10,10.0
149,200087,2,10,68,17,5,80,93,93.0,12,11,15.11,PartReceived,,13,13.0
150,200087,3,36,151,6,25,160,172,173.0,64,63,8.24,PartReceived,,12,13.0
151,200088,1,10,19,17,5,37,45,45.0,32,30,9.02,PartReceived,,8,8.0
152,200089,1,39,96,4,9,135,141,141.0,103,90,21.51,PartReceived,,6,6.0
153,200089,2,30,69,19,18,33,35,35.0,35,30,6.69,PartReceived,,2,2.0
154,200089,3,55,20,4,5,83,93,92.0,65,62,8.45,PartReceived,,10,9.0
155,200089,4,29,46,26,1,60,69,70.0,72,70,11.25,PartReceived,,9,10.0
156,200089,5,5,200,4,14,12,27,28.0,90,87,18.38,PartReceived,,15,16.0
157,200090,1,41,85,26,30,131,137,,40,0,11.19,Cancelled,DataError,6,
158,200090,2,49,169,4,18,116,131,137.0,70,66,10.07,PartReceived,,15,21.0
159,200090,3,26,135,15,23,149,154,155.0,110,108,4.69,PartReceived,,5,6.0
160,200090,4,19,133,6,30,102,114,115.0,63,60,9.01,PartReceived,,12,13.0
161,200090,5,43,31,6,1,177,180,180.0,68,65,9.99,PartReceived,,8,3.0
162,200091,1,35,51,15,25,160,173,174.0,70,68,8.87,PartReceived,,13,14.0
163,200091,2,57,141,6,9,161,180,180.0,65,62,13.79,PartReceived,,19,19.0
164,200092,1,14,199,4,23,119,128,130.0,65,43,12.39,PartReceived,,9,11.0
165,200093,1,40,188,17,32,75,88,89.0,80,78,8.31,PartReceived,,13,14.0
166,200094,1,8,105,15,23,27,48,47.0,12,11,4.52,PartReceived,,21,20.0
167,200095,1,33,148,15,1,12,20,20.0,25,24,5.32,PartReceived,,8,8.0
168,200096,1,3,191,17,9,27,42,44.0,70,69,23.1,PartReceived,,15,17.0
169,200097,1,59,127,26,31,103,115,115.0,44,42,10.82,PartReceived,,12,12.0
170,200098,1,56,31,4,31,169,180,180.0,24,17,14.74,PartReceived,,13,11.0
171,200098,2,39,94,4,31,44,54,54.0,30,29,7.79,PartReceived,,10,10.0
172,200099,1,48,51,17,32,10,17,24.0,22,21,3.31,PartReceived,,7,14.0
173,200099,2,57,141,6,18,136,155,156.0,80,79,13.63,PartReceived,,19,20.0
174,200099,3,56,49,4,18,169,180,180.0,35,33,8.76,PartReceived,,15,11.0
175,200100,1,52,172,19,1,174,178,178.0,45,43,9.34,PartReceived,,4,4.0
176,200100,2,31,92,15,25,11,28,29.0,105,101,7.63,PartReceived,,17,18.0
177,200101,1,20,164,6,9,143,160,162.0,55,53,4.88,PartReceived,,17,19.0
178,200102,1,49,200,4,32,81,84,84.0,80,76,5.75,PartReceived,,3,3.0
179,200102,2,18,157,15,30,148,169,168.0,44,43,12.6,PartReceived,,21,20.0
180,200103,1,39,96,4,31,128,134,136.0,102,100,22.23,PartReceived,,6,8.0
181,200103,2,56,49,4,5,132,147,147.0,25,24,8.55,PartReceived,,15,15.0
182,200103,3,4,186,19,1,68,89,88.0,50,48,6.68,PartReceived,,21,20.0
183,200103,4,3,170,17,18,102,116,115.0,25,24,6.88,PartReceived,,14,13.0
184,200104,1,31,199,15,30,144,156,157.0,46,44,10.13,PartReceived,,12,13.0
185,200104,2,32,181,26,9,167,180,180.0,68,66,18.76,PartReceived,,18,13.0
186,200105,1,24,11,26,32,161,169,170.0,66,64,20.25,PartReceived,,8,9.0
187,200106,1,30,23,19,1,114,135,134.0,36,34,6.34,PartReceived,,21,20.0
188,200107,1,53,71,19,23,110,114,113.0,60,57,5.83,PartReceived,,4,3.0
189,200108,1,15,185,19,18,45,52,54.0,22,20,11.22,PartReceived,,7,9.0
190,200109,1,38,167,15,30,139,151,151.0,22,21,7.49,PartReceived,,12,12.0
191,200109,2,53,117,19,23,158,176,177.0,63,62,9.56,PartReceived,,18,19.0
192,200110,1,36,193,6,32,153,163,,30,0,2.64,Cancelled,DemandDrop,10,
193,200110,2,28,40,19,14,109,120,125.0,112,111,5.88,PartReceived,,11,16.0
194,200111,1,29,125,26,32,59,80,82.0,72,68,10.54,PartReceived,,21,23.0
195,200112,1,35,51,15,1,153,166,168.0,50,48,8.91,PartReceived,,13,15.0
196,200112,2,9,199,6,9,129,133,135.0,105,104,6.49,PartReceived,,4,6.0
197,200112,3,17,80,6,18,142,144,153.0,48,46,4.68,PartReceived,,2,11.0
198,200113,1,16,50,6,31,41,60,62.0,44,41,4.25,PartReceived,,19,21.0
199,200114,1,20,43,6,30,92,107,,35,0,13.08,Cancelled,SupplierIssue,15,
200,200115,1,59,42,26,18,134,141,142.0,62,61,4.34,PartReceived,,7,8.0
201,200116,1,33,109,15,25,42,44,,70,0,7.84,Cancelled,DemandDrop,2,
202,200117,1,33,158,15,9,142,153,154.0,70,69,9.28,PartReceived,,11,12.0
203,200117,2,9,63,6,30,23,38,40.0,41,40,4.96,PartReceived,,15,17.0
204,200118,1,8,189,15,5,30,46,47.0,44,43,4.02,PartReceived,,16,17.0
205,200118,2,16,162,6,23,177,180,180.0,28,27,7.49,PartReceived,,8,3.0
206,200119,1,21,192,19,1,92,112,114.0,24,23,8.75,PartReceived,,20,22.0
207,200120,1,60,59,15,5,97,110,109.0,102,101,5.64,PartReceived,,13,12.0
208,200121,1,16,82,6,30,103,121,123.0,103,101,4.5,PartReceived,,18,20.0
209,200121,2,46,26,15,31,15,29,28.0,112,106,7.89,PartReceived,,14,13.0
210,200122,1,1,88,19,14,102,115,123.0,22,21,4.26,PartReceived,,13,21.0
211,200123,1,45,143,17,31,133,136,136.0,30,28,7.66,PartReceived,,3,3.0
212,200124,1,53,87,19,9,159,178,180.0,102,80,7.35,PartReceived,,19,21.0
213,200124,2,44,156,15,32,74,79,80.0,18,17,3.87,PartReceived,,5,6.0
214,200125,1,5,21,4,14,97,101,,34,0,7.45,Cancelled,SupplierIssue,4,
215,200126,1,42,70,6,32,136,140,141.0,22,21,3.93,PartReceived,,4,5.0
216,200126,2,54,43,4,18,171,176,175.0,40,38,18.22,PartReceived,,5,4.0
217,200126,3,28,101,19,30,95,105,104.0,14,7,6.89,PartReceived,,10,9.0
218,200126,4,18,24,15,5,19,32,32.0,22,16,10.37,PartReceived,,13,13.0
219,200126,5,35,183,15,1,24,27,29.0,26,25,10.21,PartReceived,,3,5.0
220,200126,6,48,51,17,14,128,135,134.0,21,20,3.22,PartReceived,,7,6.0
221,200126,7,32,181,26,23,17,35,43.0,68,66,18.37,PartReceived,,18,26.0
222,200126,8,56,74,4,14,178,180,179.0,26,24,7.01,PartReceived,,14,1.0
223,200126,9,53,117,19,14,36,54,53.0,63,53,9.97,PartReceived,,18,17.0
224,200127,1,6,198,6,14,30,35,34.0,50,49,4.27,PartReceived,,5,4.0
225,200127,2,48,51,17,18,165,172,180.0,21,20,3.37,PartReceived,,7,15.0
226,200128,1,1,140,19,30,83,94,93.0,30,17,4.37,PartReceived,,11,10.0
227,200128,2,48,197,17,32,74,76,75.0,40,39,5.88,PartReceived,,2,1.0
228,200129,1,51,62,6,1,146,153,153.0,64,61,5.31,PartReceived,,7,7.0
229,200130,1,38,157,15,9,42,55,54.0,64,61,4.63,PartReceived,,13,12.0
230,200131,1,14,161,4,9,60,79,80.0,105,100,8.5,PartReceived,,19,20.0
231,200132,1,49,71,4,18,108,126,126.0,105,104,9.86,PartReceived,,18,18.0
232,200132,2,1,83,19,25,147,151,153.0,64,61,12.44,PartReceived,,4,6.0
233,200132,3,55,104,4,31,2,11,14.0,46,45,8.93,PartReceived,,9,12.0
234,200133,1,31,135,15,5,25,42,42.0,50,48,8.28,PartReceived,,17,17.0
235,200134,1,35,24,15,23,96,104,106.0,120,119,7.07,PartReceived,,8,10.0
236,200134,2,56,74,4,14,62,76,78.0,22,21,6.69,PartReceived,,14,16.0
237,200135,1,21,117,19,25,108,116,116.0,26,24,5.37,PartReceived,,8,8.0
238,200136,1,48,47,17,25,117,120,121.0,104,99,8.07,PartReceived,,3,4.0
239,200136,2,55,19,4,32,36,39,38.0,18,10,12.39,PartReceived,,3,2.0
240,200137,1,27,159,17,5,82,87,88.0,104,102,13.23,PartReceived,,5,6.0
241,200138,1,15,101,19,18,68,82,83.0,46,33,7.28,PartReceived,,14,15.0
242,200139,1,57,175,6,30,43,51,50.0,110,107,6.01,PartReceived,,8,7.0
243,200140,1,16,162,6,30,172,180,,32,0,7.71,Cancelled,DataError,8,
244,200140,2,37,24,19,32,102,116,116.0,70,66,8.63,PartReceived,,14,14.0
245,200141,1,10,23,17,30,62,73,74.0,44,42,6.67,PartReceived,,11,12.0
246,200142,1,2,159,19,5,157,163,163.0,64,61,3.99,PartReceived,,6,6.0
247,200143,1,41,147,26,9,168,180,180.0,40,39,8.69,PartReceived,,19,12.0
248,200144,1,53,118,19,18,7,17,18.0,24,21,8.05,PartReceived,,10,11.0
249,200145,1,21,114,19,9,151,165,167.0,120,117,7.11,PartReceived,,14,16.0
250,200145,2,60,57,15,9,83,85,86.0,50,49,8.02,PartReceived,,2,3.0
251,200145,3,54,67,4,5,109,128,127.0,40,39,10.42,PartReceived,,19,18.0
252,200145,4,31,191,15,31,126,144,144.0,80,52,5.26,PartReceived,,18,18.0
253,200145,5,28,200,19,25,169,180,180.0,80,77,12.57,PartReceived,,16,11.0
254,200146,1,5,197,4,5,81,95,104.0,120,64,4.66,PartReceived,,14,23.0
255,200147,1,15,106,19,18,35,41,41.0,50,48,13.95,PartReceived,,6,6.0
256,200148,1,15,106,19,1,176,180,180.0,65,62,13.97,PartReceived,,6,4.0
257,200149,1,47,164,6,18,122,140,141.0,64,62,4.4,PartReceived,,18,19.0
258,200150,1,14,199,4,25,113,122,123.0,70,49,12.28,PartReceived,,9,10.0
259,200150,2,60,154,15,32,108,126,128.0,32,31,9.02,PartReceived,,18,20.0
260,200151,1,25,57,17,5,127,142,142.0,25,24,4.31,PartReceived,,15,15.0
261,200152,1,30,69,19,1,108,110,118.0,35,34,6.89,PartReceived,,2,10.0
262,200153,1,25,115,17,30,100,110,110.0,25,24,4.66,PartReceived,,10,10.0
263,200154,1,49,80,4,18,137,148,154.0,15,14,7.18,PartReceived,,11,17.0
264,200155,1,35,199,15,23,114,127,136.0,15,14,11.33,PartReceived,,13,22.0
265,200155,2,42,141,6,1,177,180,179.0,65,62,4.67,PartReceived,,8,2.0
266,200156,1,49,200,4,9,13,16,16.0,40,39,5.89,PartReceived,,3,3.0
267,200156,2,55,59,4,14,167,170,170.0,70,37,3.68,PartReceived,,3,3.0
268,200156,3,35,102,15,32,166,180,179.0,66,62,5.01,PartReceived,,14,13.0
269,200156,4,15,40,19,25,46,61,67.0,24,23,7.49,PartReceived,,15,21.0
270,200156,5,4,77,19,9,11,18,20.0,120,119,5.62,PartReceived,,7,9.0
271,200157,1,38,104,15,18,94,104,104.0,28,18,24.43,PartReceived,,10,10.0
272,200158,1,32,181,26,25,6,24,24.0,72,68,18.83,PartReceived,,18,18.0
273,200159,1,60,157,15,23,126,137,138.0,23,22,6.16,PartReceived,,11,12.0
274,200160,1,20,43,6,31,117,132,131.0,35,30,13.57,PartReceived,,15,14.0
275,200160,2,60,154,15,25,107,125,131.0,24,23,8.91,PartReceived,,18,24.0
276,200160,3,1,88,19,30,62,75,77.0,22,21,4.22,PartReceived,,13,15.0
277,200161,1,45,65,17,31,32,39,39.0,50,37,4.39,PartReceived,,7,7.0
278,200162,1,12,36,17,18,179,180,180.0,40,39,10.87,PartReceived,,12,1.0
279,200163,1,55,104,4,32,10,19,18.0,46,43,9.01,PartReceived,,9,8.0
280,200164,1,14,83,4,18,58,70,70.0,46,45,6.82,PartReceived,,12,12.0
281,200165,1,28,84,19,31,8,14,15.0,11,10,6.3,PartReceived,,6,7.0
282,200166,1,41,156,26,23,115,123,123.0,105,100,4.68,PartReceived,,8,8.0
283,200167,1,26,135,15,14,11,16,,125,0,4.83,Cancelled,SupplierIssue,5,
284,200168,1,34,112,6,23,7,9,11.0,40,23,4.95,PartReceived,,2,4.0
285,200169,1,34,41,6,5,99,105,107.0,150,142,8.14,PartReceived,,6,8.0
286,200170,1,58,32,19,18,31,37,36.0,30,28,7.9,PartReceived,,6,5.0
287,200171,1,36,193,6,25,30,40,39.0,22,16,2.62,PartReceived,,10,9.0
288,200171,2,14,104,4,31,163,176,177.0,23,22,4.72,PartReceived,,13,14.0
289,200171,3,22,81,15,25,176,180,180.0,28,26,12.97,PartReceived,,10,4.0
290,200171,4,29,141,26,18,71,85,84.0,15,14,10.67,PartReceived,,14,13.0
291,200171,5,30,133,19,14,132,145,154.0,65,63,4.84,PartReceived,,13,22.0
292,200172,1,23,114,4,32,81,93,94.0,66,58,3.8,PartReceived,,12,13.0
293,200173,1,40,119,17,14,146,154,153.0,60,57,8.32,PartReceived,,8,7.0
294,200173,2,9,178,6,31,75,94,94.0,50,49,7.4,PartReceived,,19,19.0
295,200174,1,10,129,17,18,108,119,118.0,104,102,8.71,PartReceived,,11,10.0
296,200175,1,5,200,4,1,112,127,128.0,90,88,18.44,PartReceived,,15,16.0
297,200176,1,41,147,26,32,17,36,38.0,25,24,8.2,PartReceived,,19,21.0
298,200177,1,58,155,19,18,63,75,75.0,62,59,4.19,PartReceived,,12,12.0
299,200178,1,35,121,15,32,85,100,102.0,13,12,4.68,PartReceived,,15,17.0
300,200179,1,15,2,19,23,100,107,115.0,112,108,4.72,PartReceived,,7,15.0
301,200180,1,3,100,17,9,156,165,165.0,70,68,6.8,PartReceived,,9,9.0
302,200181,1,31,113,15,30,84,90,92.0,40,20,11.14,PartReceived,,6,8.0
303,200182,1,37,120,19,31,84,91,95.0,52,50,5.76,PartReceived,,7,11.0
304,200182,2,25,128,17,32,25,42,42.0,28,27,9.62,PartReceived,,17,17.0
305,200182,3,53,71,19,31,73,77,76.0,80,54,5.93,PartReceived,,4,3.0
306,200183,1,54,27,4,30,132,136,137.0,62,51,4.9,PartReceived,,4,5.0
307,200183,2,55,19,4,9,178,180,180.0,30,29,12.59,PartReceived,,3,2.0
308,200183,3,14,155,4,14,37,49,51.0,22,21,14.53,PartReceived,,12,14.0
309,200184,1,4,114,19,9,37,40,40.0,105,103,7.2,PartReceived,,3,3.0
310,200185,1,31,126,15,25,169,177,177.0,18,14,8.47,PartReceived,,8,8.0
311,200186,1,36,3,6,9,15,18,19.0,15,8,11.82,PartReceived,,3,4.0
